STATE/UT,YEAR,CAUSE,CASES,MALE INJURED,FEMALE INJURED,TOTAL INJURED,MALE KILLED,FEMALE KILLED,TOTAL KILLED
ANDHRA PRADESH,2002,AIR-CRASH,2,0,0,0,5,0,5
ANDHRA PRADESH,2002,COLLAPSE OF STRUCTURE (HOUSE),48,2,1,3,47,12,59
ANDHRA PRADESH,2002,COLLAPSE OF STRUCTURE (BUILDING),30,8,3,11,25,4,29
ANDHRA PRADESH,2002,COLLAPSE OF STRUCTURE (DAM),1,0,0,0,1,0,1
ANDHRA PRADESH,2002,COLLAPSE OF STRUCTURE (BRIDGE),7,0,0,0,7,0,7
ANDHRA PRADESH,2002,COLLAPSE OF STRUCTURE (OTHERS),111,4,1,5,90,24,114
ANDHRA PRADESH,2002,DROWNING (BOAT CAPSIZE),26,7,5,12,29,6,35
ANDHRA PRADESH,2002,DROWNING (OTHER CASES),1404,50,18,68,1085,310,1395
ANDHRA PRADESH,2002,ELECTROCUTION,703,29,13,42,653,65,718
ANDHRA PRADESH,2002,EXPLOSION (BOMB EXPLOSION),21,9,12,21,21,8,29
ANDHRA PRADESH,2002,"EXPLOSION(OTHER EXPLOSION LIKE BOILERS, GAS CYLINDER ETC.)",25,5,6,11,11,8,19
ANDHRA PRADESH,2002,FALLS (FALL FROM HEIGHT),604,40,1,41,528,62,590
ANDHRA PRADESH,2002,FALL INTO PIT/MANHOLE,94,3,1,4,73,22,95
ANDHRA PRADESH,2002,FACTORY/MACHINE ACCIDENTS,51,8,0,8,42,6,48
ANDHRA PRADESH,2002,FIRE (FIREWORKS/CRACKERS),24,13,1,14,30,8,38
ANDHRA PRADESH,2002,FIRE (SHORT-CIRCUIT),198,2,0,2,184,25,209
ANDHRA PRADESH,2002,GAS CYLINDER/STOVE BURST,854,26,64,90,154,639,793
ANDHRA PRADESH,2002,OTHER FIRE ACCIDENTS,779,30,20,50,255,510,765
ANDHRA PRADESH,2002,FIRE-ARMS,6,1,0,1,5,1,6
ANDHRA PRADESH,2002,SUDDEN DEATHS(HEART ATTACKS),335,0,0,0,276,59,335
ANDHRA PRADESH,2002,EPILEPTIC FITS/GIDDINESS,104,3,2,5,87,12,99
ANDHRA PRADESH,2002,ABORTIONS/CHILD BIRTH,10,0,0,0,0,10,10
ANDHRA PRADESH,2002,INFLUENCE OF ALCOHOL,211,3,0,3,202,10,212
ANDHRA PRADESH,2002,KILLED BY ANIMALS,32,2,0,2,27,4,31
ANDHRA PRADESH,2002,MINES OR QUARY DISASTER,23,1,0,1,20,5,25
ANDHRA PRADESH,2002,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,274,6,2,8,217,67,284
ANDHRA PRADESH,2002,SPURIOUS/POISIONOUS LIQUOR,200,0,0,0,116,84,200
ANDHRA PRADESH,2002,LEAKAGE OF POISINOUS GASES ETC.,13,0,0,0,5,9,14
ANDHRA PRADESH,2002,SNAKE BITE/ANIMAL BITE,791,5,1,6,617,184,801
ANDHRA PRADESH,2002,OTHER,813,3,0,3,584,272,856
ANDHRA PRADESH,2002,STAMPEDE,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,SUFFOCATION,5,3,0,3,5,1,6
ANDHRA PRADESH,2002,TRAFFIC ACCIDENTS (ROAD ACCIDENTS),32577,34582,9815,44397,7834,1517,9351
ANDHRA PRADESH,2002,TRAFFIC ACCIDENTS (RAIL-ROAD ACCIDENTS),4,15,5,20,8,1,9
ANDHRA PRADESH,2002,OTHER RAILWAY ACCIDENTS,1185,0,0,0,1017,169,1186
ANDHRA PRADESH,2002,OTHER CAUSES (PLEASE SPECIFY),764,1,2,3,683,180,863
ANDHRA PRADESH,2002,CAUSES NOT KNOWN,691,0,0,0,563,188,751
ANDHRA PRADESH,2002,TOTAL,43020,34861,9973,44834,15506,4482,19988
ANDHRA PRADESH,2002,TOTAL COLLAPSE,197,14,5,19,170,40,210
ANDHRA PRADESH,2002,TOTAL DROWNING,1430,57,23,80,1114,316,1430
ANDHRA PRADESH,2002,TOTAL EXPLOSION,46,14,18,32,32,16,48
ANDHRA PRADESH,2002,TOTAL FALLS,698,43,2,45,601,84,685
ANDHRA PRADESH,2002,TOTAL FIRE,1855,71,85,156,623,1182,1805
ANDHRA PRADESH,2002,TOTAL SUDDEN DEATHS,660,6,2,8,565,91,656
ANDHRA PRADESH,2002,TOTAL POISONING,2091,14,3,17,1539,616,2155
ANDHRA PRADESH,2002,TOTAL TRAFFIC ACCIDENTS,33766,34597,9820,44417,8859,1687,10546
ANDHRA PRADESH,2003,AIR-CRASH,2,0,0,0,4,0,4
ANDHRA PRADESH,2003,COLLAPSE OF STRUCTURE(HOUSE),42,2,2,4,41,15,56
ANDHRA PRADESH,2003,COLLAPSE OF STRUCTURE(BUILDING),22,11,2,13,21,4,25
ANDHRA PRADESH,2003,COLLAPSE OF STRUCTURE(DAM),0,0,0,0,0,0,0
ANDHRA PRADESH,2003,COLLAPSE OF STRUCTURE(BRIDGE),4,0,0,0,5,0,5
ANDHRA PRADESH,2003,COLLAPSE OF STRUCTURE(OTHERS),114,14,3,17,93,19,112
ANDHRA PRADESH,2003,DROWNING (BOAT CAPSIZE),35,3,0,3,48,41,89
ANDHRA PRADESH,2003,DROWNING(OTHER CASES),1553,13,6,19,1224,358,1582
ANDHRA PRADESH,2003,ELECTROCUTION,875,13,0,13,745,104,849
ANDHRA PRADESH,2003,EXPLOSION (BOMB EXPLOSION),3,0,0,0,3,0,3
ANDHRA PRADESH,2003,"EXPLOSION(OTHER EXPLOSION LIKE BOILERS,",161,7,1,8,97,62,159
ANDHRA PRADESH,2003,FALLS (FALL FROM HEIGHT),985,9,2,11,843,148,991
ANDHRA PRADESH,2003,FALL INTO PIT/MANHOLE,109,4,0,4,88,26,114
ANDHRA PRADESH,2003,FACTORY/MACHINE ACCIDENTS,89,7,0,7,70,18,88
ANDHRA PRADESH,2003,FIRE (FIREWORKS/CRACKERS),66,4,4,8,46,20,66
ANDHRA PRADESH,2003,FIRE (SHORT-CIRCUIT),218,4,0,4,167,52,219
ANDHRA PRADESH,2003,GAS CYLINDER/STOVE BURST,846,24,73,97,165,653,818
ANDHRA PRADESH,2003,OTHER FIRE ACCIDENTS,826,8,15,23,313,540,853
ANDHRA PRADESH,2003,FIRE-ARMS,4,0,0,0,4,0,4
ANDHRA PRADESH,2003,SUDDEN DEATHS(HEART ATTACKS),383,0,0,0,295,88,383
ANDHRA PRADESH,2003,EPILEPTIC FITS/GIDDINESS,94,1,0,1,66,28,94
ANDHRA PRADESH,2003,ABORTIONS/CHILD BIRTH,13,0,0,0,0,13,13
ANDHRA PRADESH,2003,INFLUENCE OF ALCOHOL,337,5,0,5,321,16,337
ANDHRA PRADESH,2003,KILLED BY ANIMALS,63,2,0,2,59,5,64
ANDHRA PRADESH,2003,MINES OR QUARY DISASTER,47,2,0,2,64,10,74
ANDHRA PRADESH,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,344,7,8,15,246,102,348
ANDHRA PRADESH,2003,SPURIOUS/POISIONOUS LIQUOR,116,2,0,2,79,38,117
ANDHRA PRADESH,2003,LEAKAGE OF POISINOUS GASES ETC.,8,0,0,0,8,0,8
ANDHRA PRADESH,2003,SNAKE BITE/ANIMAL BITE,711,5,2,7,542,183,725
ANDHRA PRADESH,2003,OTHER,1160,0,1,1,928,339,1267
ANDHRA PRADESH,2003,STAMPEDE,4,0,0,0,4,0,4
ANDHRA PRADESH,2003,SUFFOCATION,16,0,0,0,14,2,16
ANDHRA PRADESH,2003,TRAFFIC ACCIDENTS (ROAD ACCIDENTS),34537,37012,11203,48215,8161,2007,10168
ANDHRA PRADESH,2003,TRAFFIC ACCIDENTS (RAIL-ROAD ACCIDENTS),291,2,0,2,247,43,290
ANDHRA PRADESH,2003,OTHER RAILWAY ACCIDENTS,490,1,0,1,417,72,489
ANDHRA PRADESH,2003,OTHER CAUSES (PLEASE SPECIFY),1007,7,3,10,755,234,989
ANDHRA PRADESH,2003,CAUSES NOT KNOWN,760,19,1,20,596,213,809
ANDHRA PRADESH,2003,TOTAL,46335,37188,11326,48514,16779,5453,22232
ANDHRA PRADESH,2003,TOTAL COLLAPSE,182,27,7,34,160,38,198
ANDHRA PRADESH,2003,TOTAL DROWNING,1588,16,6,22,1272,399,1671
ANDHRA PRADESH,2003,TOTAL EXPLOSION,164,7,1,8,100,62,162
ANDHRA PRADESH,2003,TOTAL FALLS,1094,13,2,15,931,174,1105
ANDHRA PRADESH,2003,TOTAL FIRE,1956,40,92,132,691,1265,1956
ANDHRA PRADESH,2003,TOTAL SUDDEN DEATHS,827,6,0,6,682,145,827
ANDHRA PRADESH,2003,TOTAL POISONING,2339,14,11,25,1803,662,2465
ANDHRA PRADESH,2003,TOTAL TRAFFIC ACCIDENTS,35318,37015,11203,48218,8825,2122,10947
ANDHRA PRADESH,2004,AIR-CRASH,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,COLLAPSE OF STRUCTURE(HOUSE),24,3,4,7,23,16,39
ANDHRA PRADESH,2004,COLLAPSE OF STRUCTURE(BUILDING),32,17,3,20,19,7,26
ANDHRA PRADESH,2004,COLLAPSE OF STRUCTURE(DAM),0,0,0,0,0,0,0
ANDHRA PRADESH,2004,COLLAPSE OF STRUCTURE(BRIDGE),3,1,0,1,3,0,3
ANDHRA PRADESH,2004,COLLAPSE OF STRUCTURE(OTHERS),122,12,8,20,83,29,112
ANDHRA PRADESH,2004,DROWNING (BOAT CAPSIZE),22,0,0,0,20,2,22
ANDHRA PRADESH,2004,DROWNING(OTHER CASES),1146,10,2,12,943,248,1191
ANDHRA PRADESH,2004,ELECTROCUTION,746,4,2,6,669,99,768
ANDHRA PRADESH,2004,EXPLOSION (BOMB EXPLOSION),10,0,0,0,13,1,14
ANDHRA PRADESH,2004,"EXPLOSION(OTHER EXPLOSION LIKE BOILERS,",32,19,4,23,10,3,13
ANDHRA PRADESH,2004,FALLS (FALL FROM HEIGHT),592,14,4,18,516,65,581
ANDHRA PRADESH,2004,FALL INTO PIT/MANHOLE,116,0,0,0,93,28,121
ANDHRA PRADESH,2004,FACTORY/MACHINE ACCIDENTS,31,2,0,2,24,8,32
ANDHRA PRADESH,2004,FIRE (FIREWORKS/CRACKERS),25,15,9,24,9,5,14
ANDHRA PRADESH,2004,FIRE (SHORT-CIRCUIT),259,13,3,16,227,21,248
ANDHRA PRADESH,2004,GAS CYLINDER/STOVE BURST,537,12,58,70,104,422,526
ANDHRA PRADESH,2004,OTHER FIRE ACCIDENTS,688,9,14,23,237,458,695
ANDHRA PRADESH,2004,FIRE-ARMS,3,0,0,0,3,0,3
ANDHRA PRADESH,2004,SUDDEN DEATHS(HEART ATTACKS),409,0,0,0,316,95,411
ANDHRA PRADESH,2004,EPILEPTIC FITS/GIDDINESS,103,1,0,1,70,33,103
ANDHRA PRADESH,2004,ABORTIONS/CHILD BIRTH,32,0,0,0,0,32,32
ANDHRA PRADESH,2004,INFLUENCE OF ALCOHOL,249,7,0,7,233,8,241
ANDHRA PRADESH,2004,KILLED BY ANIMALS,37,2,0,2,29,6,35
ANDHRA PRADESH,2004,MINES OR QUARY DISASTER,31,1,0,1,26,8,34
ANDHRA PRADESH,2004,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,147,14,3,17,95,36,131
ANDHRA PRADESH,2004,SPURIOUS/POISIONOUS LIQUOR,77,0,0,0,72,5,77
ANDHRA PRADESH,2004,LEAKAGE OF POISINOUS GASES ETC.,7,0,0,0,7,0,7
ANDHRA PRADESH,2004,SNAKE BITE/ANIMAL BITE,675,9,3,12,487,178,665
ANDHRA PRADESH,2004,OTHER,824,0,2,2,555,279,834
ANDHRA PRADESH,2004,STAMPEDE,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,SUFFOCATION,2,0,0,0,2,0,2
ANDHRA PRADESH,2004,TRAFFIC ACCIDENTS (ROAD ACCIDENTS),37078,39618,8946,48564,9267,1693,10960
ANDHRA PRADESH,2004,TRAFFIC ACCIDENTS (RAIL-ROAD ACCIDENTS),119,0,0,0,100,20,120
ANDHRA PRADESH,2004,OTHER RAILWAY ACCIDENTS,992,19,2,21,1051,153,1204
ANDHRA PRADESH,2004,OTHER CAUSES (PLEASE SPECIFY),987,17,12,29,691,278,969
ANDHRA PRADESH,2004,CAUSES NOT KNOWN,897,17,9,26,653,256,909
ANDHRA PRADESH,2004,TOTAL,47054,39836,9088,48924,16650,4492,21142
ANDHRA PRADESH,2004,TOTAL COLLAPSE,181,33,15,48,128,52,180
ANDHRA PRADESH,2004,TOTAL DROWNING,1168,10,2,12,963,250,1213
ANDHRA PRADESH,2004,TOTAL EXPLOSION,42,19,4,23,23,4,27
ANDHRA PRADESH,2004,TOTAL FALLS,708,14,4,18,609,93,702
ANDHRA PRADESH,2004,TOTAL FIRE,1509,49,84,133,577,906,1483
ANDHRA PRADESH,2004,TOTAL SUDDEN DEATHS,793,8,0,8,619,168,787
ANDHRA PRADESH,2004,TOTAL POISONING,1730,23,8,31,1216,498,1714
ANDHRA PRADESH,2004,TOTAL TRAFFIC ACCIDENTS,38189,39637,8948,48585,10418,1866,12284
ANDHRA PRADESH,2005,AIR-CRASH,1,0,0,0,1,0,1
ANDHRA PRADESH,2005,COLLAPSE OF STRUCTURE(HOUSE),58,8,5,13,37,25,62
ANDHRA PRADESH,2005,COLLAPSE OF STRUCTURE(BUILDING),21,18,3,21,18,5,23
ANDHRA PRADESH,2005,COLLAPSE OF STRUCTURE(DAM),7,0,0,0,6,1,7
ANDHRA PRADESH,2005,COLLAPSE OF STRUCTURE(BRIDGE),4,2,0,2,2,3,5
ANDHRA PRADESH,2005,COLLAPSE OF STRUCTURE(OTHERS),120,13,3,16,91,47,138
ANDHRA PRADESH,2005,DROWNING (BOAT CAPSIZE),18,0,0,0,28,5,33
ANDHRA PRADESH,2005,DROWNING(OTHER CASES),1706,12,2,14,1407,401,1808
ANDHRA PRADESH,2005,ELECTROCUTION,1085,2,2,4,977,134,1111
ANDHRA PRADESH,2005,EXPLOSION (BOMB EXPLOSION),3,0,0,0,3,0,3
ANDHRA PRADESH,2005,"EXPLOSION(OTHER EXPLOSION LIKE BOILERS,",37,5,0,5,37,5,42
ANDHRA PRADESH,2005,FALLS (FALL FROM HEIGHT),1013,5,2,7,887,166,1053
ANDHRA PRADESH,2005,FALL INTO PIT/MANHOLE,165,2,1,3,138,27,165
ANDHRA PRADESH,2005,FACTORY/MACHINE ACCIDENTS,28,5,0,5,24,2,26
ANDHRA PRADESH,2005,FIRE (FIREWORKS/CRACKERS),28,5,2,7,15,9,24
ANDHRA PRADESH,2005,FIRE (SHORT-CIRCUIT),104,0,0,0,86,19,105
ANDHRA PRADESH,2005,GAS CYLINDER/STOVE BURST,590,6,13,19,135,493,628
ANDHRA PRADESH,2005,OTHER FIRE ACCIDENTS,1231,2,8,10,551,708,1259
ANDHRA PRADESH,2005,FIRE-ARMS,2,0,0,0,2,0,2
ANDHRA PRADESH,2005,SUDDEN DEATHS(HEART ATTACKS),453,12,5,17,407,32,439
ANDHRA PRADESH,2005,EPILEPTIC FITS/GIDDINESS,325,8,6,14,237,75,312
ANDHRA PRADESH,2005,ABORTIONS/CHILD BIRTH,12,0,0,0,0,12,12
ANDHRA PRADESH,2005,INFLUENCE OF ALCOHOL,308,37,2,39,249,29,278
ANDHRA PRADESH,2005,KILLED BY ANIMALS,30,0,0,0,29,2,31
ANDHRA PRADESH,2005,MINES OR QUARY DISASTER,25,7,0,7,27,1,28
ANDHRA PRADESH,2005,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,189,0,0,0,131,61,192
ANDHRA PRADESH,2005,SPURIOUS/POISIONOUS LIQUOR,35,0,0,0,28,10,38
ANDHRA PRADESH,2005,LEAKAGE OF POISINOUS GASES ETC.,13,0,0,0,11,5,16
ANDHRA PRADESH,2005,SNAKE BITE/ANIMAL BITE,902,0,1,1,687,234,921
ANDHRA PRADESH,2005,OTHER,339,0,0,0,271,101,372
ANDHRA PRADESH,2005,STAMPEDE,6,0,0,0,5,1,6
ANDHRA PRADESH,2005,SUFFOCATION,17,0,0,0,14,3,17
ANDHRA PRADESH,2005,TRAFFIC ACCIDENTS (ROAD ACCIDENTS),37289,39180,9679,48859,8880,2064,10944
ANDHRA PRADESH,2005,TRAFFIC ACCIDENTS (RAIL-ROAD ACCIDENTS),6,0,0,0,6,1,7
ANDHRA PRADESH,2005,OTHER RAILWAY ACCIDENTS,1390,153,45,198,974,313,1287
ANDHRA PRADESH,2005,OTHER CAUSES (PLEASE SPECIFY),990,21,6,27,780,258,1038
ANDHRA PRADESH,2005,CAUSES NOT KNOWN,836,69,11,80,622,173,795
ANDHRA PRADESH,2005,TOTAL,49386,39572,9796,49368,17803,5425,23228
ANDHRA PRADESH,2005,TOTAL COLLAPSE,210,41,11,52,154,81,235
ANDHRA PRADESH,2005,TOTAL DROWNING,1724,12,2,14,1435,406,1841
ANDHRA PRADESH,2005,TOTAL EXPLOSION,40,5,0,5,40,5,45
ANDHRA PRADESH,2005,TOTAL FALLS,1178,7,3,10,1025,193,1218
ANDHRA PRADESH,2005,TOTAL FIRE,1953,13,23,36,787,1229,2016
ANDHRA PRADESH,2005,TOTAL SUDDEN DEATHS,1098,57,13,70,893,148,1041
ANDHRA PRADESH,2005,TOTAL POISONING,1478,0,1,1,1128,411,1539
ANDHRA PRADESH,2005,TOTAL TRAFFIC ACCIDENTS,38685,39333,9724,49057,9860,2378,12238
ANDHRA PRADESH,2006,AIR-CRASH,3,0,0,0,0,0,0
ANDHRA PRADESH,2006,COLLAPSE OF STRUCTURE(HOUSE),75,22,9,31,47,21,68
ANDHRA PRADESH,2006,COLLAPSE OF STRUCTURE(BUILDING),40,62,9,71,29,5,34
ANDHRA PRADESH,2006,COLLAPSE OF STRUCTURE(DAM),0,0,0,0,0,0,0
ANDHRA PRADESH,2006,COLLAPSE OF STRUCTURE(BRIDGE),3,0,0,0,3,0,3
ANDHRA PRADESH,2006,COLLAPSE OF STRUCTURE(OTHERS),67,4,3,7,62,29,91
ANDHRA PRADESH,2006,DROWNING (BOAT CAPSIZE),30,1,0,1,40,3,43
ANDHRA PRADESH,2006,DROWNING(OTHER CASES),2309,37,4,41,1943,482,2425
ANDHRA PRADESH,2006,ELECTROCUTION,1318,20,0,20,1213,140,1353
ANDHRA PRADESH,2006,EXPLOSION (BOMB EXPLOSION),4,3,0,3,1,0,1
ANDHRA PRADESH,2006,EXPLOSION(OTHER EXPLOSION LIKE BOIL,34,0,0,0,14,20,34
ANDHRA PRADESH,2006,FALLS (FALL FROM HEIGHT),1052,9,0,9,879,164,1043
ANDHRA PRADESH,2006,FALL INTO PIT/MANHOLE,212,0,0,0,188,35,223
ANDHRA PRADESH,2006,FACTORY/MACHINE ACCIDENTS,35,1,0,1,32,2,34
ANDHRA PRADESH,2006,FIRE (FIREWORKS/CRACKERS),37,5,3,8,28,4,32
ANDHRA PRADESH,2006,FIRE (SHORT-CIRCUIT),270,4,0,4,238,34,272
ANDHRA PRADESH,2006,GAS CYLINDER/STOVE BURST,645,6,9,15,111,537,648
ANDHRA PRADESH,2006,OTHER FIRE ACCIDENTS,667,12,5,17,208,472,680
ANDHRA PRADESH,2006,FIRE-ARMS,4,0,0,0,6,0,6
ANDHRA PRADESH,2006,SUDDEN DEATHS(HEART ATTACKS),512,3,1,4,404,105,509
ANDHRA PRADESH,2006,EPILEPTIC FITS/GIDDINESS,148,2,0,2,115,30,145
ANDHRA PRADESH,2006,ABORTIONS/CHILD BIRTH,3,0,0,0,0,3,3
ANDHRA PRADESH,2006,INFLUENCE OF ALCOHOL,342,4,0,4,319,27,346
ANDHRA PRADESH,2006,KILLED BY ANIMALS,49,0,0,0,39,11,50
ANDHRA PRADESH,2006,MINES OR QUARY DISASTER,19,5,0,5,26,1,27
ANDHRA PRADESH,2006,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,132,6,0,6,78,48,126
ANDHRA PRADESH,2006,SPURIOUS/POISIONOUS LIQUOR,99,0,0,0,85,19,104
ANDHRA PRADESH,2006,LEAKAGE OF POISINOUS GASES ETC.,4,0,0,0,3,1,4
ANDHRA PRADESH,2006,SNAKE BITE/ANIMAL BITE,888,7,0,7,675,214,889
ANDHRA PRADESH,2006,OTHER,524,45,3,48,314,167,481
ANDHRA PRADESH,2006,STAMPEDE,2,0,0,0,1,1,2
ANDHRA PRADESH,2006,SUFFOCATION,8,0,0,0,6,2,8
ANDHRA PRADESH,2006,TRAFFIC ACCIDENTS (ROAD ACCIDENTS),41323,45675,10810,56485,10386,2275,12661
ANDHRA PRADESH,2006,TRAFFIC ACCIDENTS (RAIL-ROAD ACCIDE,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,OTHER RAILWAY ACCIDENTS,1958,176,17,193,1723,235,1958
ANDHRA PRADESH,2006,OTHER CAUSES (PLEASE SPECIFY),1071,35,10,45,798,262,1060
ANDHRA PRADESH,2006,CAUSES NOT KNOWN,1181,17,4,21,898,293,1191
ANDHRA PRADESH,2006,TOTAL,55068,46161,10887,57048,20912,5642,26554
ANDHRA PRADESH,2006,TOTAL COLLAPSE,185,88,21,109,141,55,196
ANDHRA PRADESH,2006,TOTAL DROWNING,2339,38,4,42,1983,485,2468
ANDHRA PRADESH,2006,TOTAL EXPLOSION,38,3,0,3,15,20,35
ANDHRA PRADESH,2006,TOTAL FALLS,1264,9,0,9,1067,199,1266
ANDHRA PRADESH,2006,TOTAL FIRE,1619,27,17,44,585,1047,1632
ANDHRA PRADESH,2006,TOTAL SUDDEN DEATHS,1005,9,1,10,838,165,1003
ANDHRA PRADESH,2006,TOTAL POISONING,1647,58,3,61,1155,449,1604
ANDHRA PRADESH,2006,TOTAL TRAFFIC ACCIDENTS,43281,45851,10827,56678,12109,2510,14619
ANDHRA PRADESH,2007,AIR-CRASH,1,0,0,0,2,0,2
ANDHRA PRADESH,2007,COLLAPSE OF STRUCTURE(HOUSE),57,30,3,33,40,17,57
ANDHRA PRADESH,2007,COLLAPSE OF STRUCTURE(BUILDING),29,41,5,46,18,9,27
ANDHRA PRADESH,2007,COLLAPSE OF STRUCTURE(DAM),12,0,0,0,8,4,12
ANDHRA PRADESH,2007,COLLAPSE OF STRUCTURE(BRIDGE),5,11,3,14,5,0,5
ANDHRA PRADESH,2007,COLLAPSE OF STRUCTURE(OTHERS),92,0,8,8,69,28,97
ANDHRA PRADESH,2007,DROWNING (BOAT CAPSIZE),17,0,0,0,71,21,92
ANDHRA PRADESH,2007,DROWNING(OTHER CASES),2389,10,3,13,2030,495,2525
ANDHRA PRADESH,2007,ELECTROCUTION,1426,6,0,6,1237,181,1418
ANDHRA PRADESH,2007,EXPLOSION (BOMB EXPLOSION),3,101,11,112,35,6,41
ANDHRA PRADESH,2007,EXPLOSION(OTHER EXPLOSION LIKE BOIL,64,1,1,2,33,47,80
ANDHRA PRADESH,2007,FALLS (FALL FROM HEIGHT),1169,7,1,8,1006,154,1160
ANDHRA PRADESH,2007,FALL INTO PIT/MANHOLE,182,0,0,0,166,39,205
ANDHRA PRADESH,2007,FACTORY/MACHINE ACCIDENTS,61,19,0,19,52,5,57
