CAUSE,FEMALE KILLED,FEMALE INJURED,CASES,STATE/UT,TOTAL INJURED,MALE KILLED,MALE INJURED,YEAR,TOTAL KILLED
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,7,0,15,JAMMU & KASHMIR,0,8,0,2009,15
SNAKE BITE/ANIMAL BITE,0,0,0,JAMMU & KASHMIR,0,0,0,2009,0
OTHER,27,0,53,JAMMU & KASHMIR,0,26,0,2009,53
RAILWAY ACCIDENTS,0,0,0,JAMMU & KASHMIR,0,0,0,2009,0
DROWNING,20,2,61,JAMMU & KASHMIR,2,51,0,2009,71
FALLS,12,1,58,JAMMU & KASHMIR,6,43,5,2009,55
FIRE,13,2,42,JAMMU & KASHMIR,4,27,2,2009,40
SUDDEN DEATHS,6,0,62,JAMMU & KASHMIR,0,58,0,2009,64
POISONING,39,0,80,JAMMU & KASHMIR,0,40,0,2009,79
ELECTROCUTION,18,1,75,JHARKHAND,6,101,5,2009,119
GAS CYLINDER/STOVE BURST,38,5,47,JHARKHAND,6,12,1,2009,50
FIRE-ARMS,11,0,12,JHARKHAND,0,3,0,2009,14
SUDDEN DEATHS(HEART ATTACKS),16,1,70,JHARKHAND,4,64,3,2009,80
EPILEPTIC FITS/GIDDINESS,4,0,29,JHARKHAND,1,27,1,2009,31
ABORTIONS/CHILD BIRTH,20,6,27,JHARKHAND,6,0,0,2009,20
INFLUENCE OF ALCOHOL,6,1,78,JHARKHAND,3,77,2,2009,83
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,72,3,196,JHARKHAND,18,114,15,2009,186
SNAKE BITE/ANIMAL BITE,10,0,38,JHARKHAND,1,28,1,2009,38
OTHER,26,0,125,JHARKHAND,5,99,5,2009,125
RAILWAY ACCIDENTS,70,14,543,JHARKHAND,63,418,49,2009,488
DROWNING,81,12,316,JHARKHAND,45,244,33,2009,325
FALLS,33,4,135,JHARKHAND,14,104,10,2009,137
FIRE,156,25,392,JHARKHAND,72,168,47,2009,324
SUDDEN DEATHS,46,8,204,JHARKHAND,14,168,6,2009,214
POISONING,115,3,407,JHARKHAND,26,283,23,2009,398
ELECTROCUTION,53,2,372,KARNATAKA,11,312,9,2009,365
GAS CYLINDER/STOVE BURST,224,13,374,KARNATAKA,34,117,21,2009,341
FIRE-ARMS,10,0,18,KARNATAKA,0,8,0,2009,18
SUDDEN DEATHS(HEART ATTACKS),52,0,613,KARNATAKA,5,557,5,2009,609
EPILEPTIC FITS/GIDDINESS,24,0,182,KARNATAKA,0,159,0,2009,183
ABORTIONS/CHILD BIRTH,15,0,15,KARNATAKA,0,0,0,2009,15
INFLUENCE OF ALCOHOL,9,0,264,KARNATAKA,6,249,6,2009,258
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,77,1,175,KARNATAKA,5,104,4,2009,181
SNAKE BITE/ANIMAL BITE,275,1,720,KARNATAKA,1,447,0,2009,722
OTHER,373,4,1282,KARNATAKA,17,1022,13,2009,1395
RAILWAY ACCIDENTS,228,0,1441,KARNATAKA,0,1221,0,2009,1449
DROWNING,548,3,1926,KARNATAKA,6,1466,3,2009,2014
FALLS,38,5,478,KARNATAKA,14,432,9,2009,470
FIRE,1042,28,1667,KARNATAKA,55,583,27,2009,1625
SUDDEN DEATHS,100,0,1074,KARNATAKA,11,965,11,2009,1065
POISONING,790,6,2372,KARNATAKA,25,1701,19,2009,2491
ELECTROCUTION,41,1,212,KERALA,3,173,2,2009,214
GAS CYLINDER/STOVE BURST,18,0,21,KERALA,0,3,0,2009,21
FIRE-ARMS,0,0,0,KERALA,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),230,0,1445,KERALA,0,1215,0,2009,1445
EPILEPTIC FITS/GIDDINESS,18,0,104,KERALA,0,86,0,2009,104
ABORTIONS/CHILD BIRTH,8,0,7,KERALA,0,0,0,2009,8
INFLUENCE OF ALCOHOL,5,0,93,KERALA,0,88,0,2009,93
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,17,21,KERALA,50,15,33,2009,20
SNAKE BITE/ANIMAL BITE,17,0,53,KERALA,0,36,0,2009,53
OTHER,9,0,47,KERALA,0,38,0,2009,47
RAILWAY ACCIDENTS,76,1,444,KERALA,1,372,0,2009,448
DROWNING,307,6,1617,KERALA,10,1426,4,2009,1733
FALLS,87,0,711,KERALA,0,624,0,2009,711
FIRE,213,4,320,KERALA,23,120,19,2009,333
SUDDEN DEATHS,261,0,1649,KERALA,0,1389,0,2009,1650
POISONING,31,17,121,KERALA,50,89,33,2009,120
ELECTROCUTION,215,2,1140,MADHYA PRADESH,21,934,19,2009,1149
GAS CYLINDER/STOVE BURST,111,14,152,MADHYA PRADESH,18,45,4,2009,156
FIRE-ARMS,19,4,135,MADHYA PRADESH,26,115,22,2009,134
SUDDEN DEATHS(HEART ATTACKS),109,1,808,MADHYA PRADESH,8,723,7,2009,832
EPILEPTIC FITS/GIDDINESS,37,0,155,MADHYA PRADESH,2,119,2,2009,156
ABORTIONS/CHILD BIRTH,176,0,177,MADHYA PRADESH,0,0,0,2009,176
INFLUENCE OF ALCOHOL,8,0,410,MADHYA PRADESH,4,403,4,2009,411
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,835,14,2056,MADHYA PRADESH,34,1245,20,2009,2080
SNAKE BITE/ANIMAL BITE,836,6,2048,MADHYA PRADESH,28,1222,22,2009,2058
OTHER,247,0,613,MADHYA PRADESH,1,378,1,2009,625
RAILWAY ACCIDENTS,247,0,1514,MADHYA PRADESH,0,1269,0,2009,1516
DROWNING,1205,3,3864,MADHYA PRADESH,9,2684,6,2009,3889
FALLS,201,1,927,MADHYA PRADESH,11,735,10,2009,936
FIRE,2059,60,2939,MADHYA PRADESH,93,841,33,2009,2900
SUDDEN DEATHS,330,1,1550,MADHYA PRADESH,14,1245,13,2009,1575
POISONING,1947,20,4817,MADHYA PRADESH,69,2915,49,2009,4862
ELECTROCUTION,201,28,1451,MAHARASHTRA,207,1055,179,2009,1256
GAS CYLINDER/STOVE BURST,300,6,378,MAHARASHTRA,8,74,2,2009,374
FIRE-ARMS,0,0,10,MAHARASHTRA,0,12,0,2009,12
SUDDEN DEATHS(HEART ATTACKS),776,1472,9114,MAHARASHTRA,3552,4786,2080,2009,5562
EPILEPTIC FITS/GIDDINESS,317,149,1992,MAHARASHTRA,466,1209,317,2009,1526
ABORTIONS/CHILD BIRTH,323,31,354,MAHARASHTRA,31,0,0,2009,323
INFLUENCE OF ALCOHOL,20,0,1542,MAHARASHTRA,363,1161,363,2009,1181
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,368,657,2414,MAHARASHTRA,1362,686,705,2009,1054
SNAKE BITE/ANIMAL BITE,484,563,2655,MAHARASHTRA,1537,642,974,2009,1126
OTHER,28,513,1325,MAHARASHTRA,1238,81,725,2009,109
RAILWAY ACCIDENTS,563,435,8226,MAHARASHTRA,3274,4407,2839,2009,4970
DROWNING,1279,41,4810,MAHARASHTRA,111,3519,70,2009,4798
FALLS,317,451,4227,MAHARASHTRA,2083,1860,1632,2009,2177
FIRE,4017,1208,7318,MAHARASHTRA,1842,1519,634,2009,5536
SUDDEN DEATHS,1436,1652,13002,MAHARASHTRA,4412,7156,2760,2009,8592
POISONING,883,1733,6418,MAHARASHTRA,4137,1430,2404,2009,2313
ELECTROCUTION,1,0,5,MANIPUR,0,4,0,2009,5
GAS CYLINDER/STOVE BURST,0,0,0,MANIPUR,0,0,0,2009,0
FIRE-ARMS,0,0,9,MANIPUR,0,9,0,2009,9
SUDDEN DEATHS(HEART ATTACKS),0,0,1,MANIPUR,0,1,0,2009,1
EPILEPTIC FITS/GIDDINESS,0,0,0,MANIPUR,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,MANIPUR,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,0,MANIPUR,0,0,0,2009,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,MANIPUR,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,MANIPUR,0,0,0,2009,0
OTHER,3,0,10,MANIPUR,0,7,0,2009,10
RAILWAY ACCIDENTS,0,0,0,MANIPUR,0,0,0,2009,0
DROWNING,4,0,6,MANIPUR,0,2,0,2009,6
FALLS,0,0,4,MANIPUR,0,4,0,2009,4
FIRE,1,0,1,MANIPUR,0,0,0,2009,1
SUDDEN DEATHS,0,0,1,MANIPUR,0,1,0,2009,1
POISONING,3,0,10,MANIPUR,0,7,0,2009,10
ELECTROCUTION,0,0,13,MEGHALAYA,5,4,5,2009,4
GAS CYLINDER/STOVE BURST,5,0,5,MEGHALAYA,0,0,0,2009,5
FIRE-ARMS,0,0,1,MEGHALAYA,0,1,0,2009,1
SUDDEN DEATHS(HEART ATTACKS),0,0,1,MEGHALAYA,0,1,0,2009,1
EPILEPTIC FITS/GIDDINESS,0,0,0,MEGHALAYA,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,MEGHALAYA,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,6,MEGHALAYA,0,6,0,2009,6
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,MEGHALAYA,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,MEGHALAYA,0,0,0,2009,0
OTHER,1,0,1,MEGHALAYA,0,0,0,2009,1
RAILWAY ACCIDENTS,0,0,0,MEGHALAYA,0,0,0,2009,0
DROWNING,1,0,40,MEGHALAYA,8,42,8,2009,43
FALLS,0,0,13,MEGHALAYA,1,13,1,2009,13
FIRE,11,0,22,MEGHALAYA,3,14,3,2009,25
SUDDEN DEATHS,0,0,7,MEGHALAYA,0,7,0,2009,7
POISONING,1,0,1,MEGHALAYA,0,0,0,2009,1
ELECTROCUTION,0,0,4,MIZORAM,0,4,0,2009,4
GAS CYLINDER/STOVE BURST,0,0,0,MIZORAM,0,0,0,2009,0
FIRE-ARMS,0,0,3,MIZORAM,0,3,0,2009,3
SUDDEN DEATHS(HEART ATTACKS),0,0,1,MIZORAM,0,1,0,2009,1
EPILEPTIC FITS/GIDDINESS,0,0,0,MIZORAM,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,MIZORAM,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,0,MIZORAM,0,0,0,2009,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,MIZORAM,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,MIZORAM,0,0,0,2009,0
OTHER,0,0,0,MIZORAM,0,0,0,2009,0
RAILWAY ACCIDENTS,0,0,0,MIZORAM,0,0,0,2009,0
DROWNING,2,0,20,MIZORAM,0,21,0,2009,23
FALLS,2,0,7,MIZORAM,0,5,0,2009,7
FIRE,0,0,1,MIZORAM,0,1,0,2009,1
SUDDEN DEATHS,0,0,1,MIZORAM,0,1,0,2009,1
POISONING,0,0,0,MIZORAM,0,0,0,2009,0
ELECTROCUTION,0,0,1,NAGALAND,0,1,0,2009,1
GAS CYLINDER/STOVE BURST,0,0,0,NAGALAND,0,0,0,2009,0
FIRE-ARMS,0,0,3,NAGALAND,0,3,0,2009,3
SUDDEN DEATHS(HEART ATTACKS),0,0,0,NAGALAND,0,0,0,2009,0
EPILEPTIC FITS/GIDDINESS,0,0,0,NAGALAND,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,NAGALAND,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,0,NAGALAND,0,0,0,2009,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,NAGALAND,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,0,NAGALAND,0,0,0,2009,0
OTHER,0,0,1,NAGALAND,0,1,0,2009,1
RAILWAY ACCIDENTS,0,0,0,NAGALAND,0,0,0,2009,0
DROWNING,0,0,3,NAGALAND,0,3,0,2009,3
FALLS,0,0,1,NAGALAND,0,1,0,2009,1
FIRE,2,0,2,NAGALAND,0,0,0,2009,2
SUDDEN DEATHS,0,0,0,NAGALAND,0,0,0,2009,0
POISONING,0,0,1,NAGALAND,0,1,0,2009,1
ELECTROCUTION,31,0,216,ODISHA,6,189,6,2009,220
GAS CYLINDER/STOVE BURST,11,0,25,ODISHA,0,14,0,2009,25
FIRE-ARMS,0,0,1,ODISHA,0,1,0,2009,1
SUDDEN DEATHS(HEART ATTACKS),16,0,117,ODISHA,0,102,0,2009,118
EPILEPTIC FITS/GIDDINESS,5,0,21,ODISHA,0,16,0,2009,21
ABORTIONS/CHILD BIRTH,4,0,3,ODISHA,0,0,0,2009,4
INFLUENCE OF ALCOHOL,4,0,22,ODISHA,0,18,0,2009,22
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,53,0,104,ODISHA,0,52,0,2009,105
SNAKE BITE/ANIMAL BITE,144,0,412,ODISHA,0,268,0,2009,412
OTHER,216,0,530,ODISHA,0,315,0,2009,531
RAILWAY ACCIDENTS,49,0,285,ODISHA,0,240,0,2009,289
DROWNING,144,6,642,ODISHA,6,400,0,2009,544
FALLS,55,0,367,ODISHA,11,307,11,2009,362
FIRE,220,1,534,ODISHA,7,311,6,2009,531
SUDDEN DEATHS,29,0,163,ODISHA,0,136,0,2009,165
POISONING,432,0,1114,ODISHA,0,685,0,2009,1117
ELECTROCUTION,15,0,297,PUNJAB,1,282,1,2009,297
GAS CYLINDER/STOVE BURST,113,0,164,PUNJAB,0,51,0,2009,164
FIRE-ARMS,3,0,15,PUNJAB,0,12,0,2009,15
SUDDEN DEATHS(HEART ATTACKS),51,0,535,PUNJAB,0,486,0,2009,537
EPILEPTIC FITS/GIDDINESS,9,0,78,PUNJAB,0,69,0,2009,78
ABORTIONS/CHILD BIRTH,4,0,4,PUNJAB,0,0,0,2009,4
INFLUENCE OF ALCOHOL,14,0,272,PUNJAB,0,258,0,2009,272
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,102,0,323,PUNJAB,0,227,0,2009,329
SNAKE BITE/ANIMAL BITE,11,0,68,PUNJAB,0,57,0,2009,68
OTHER,59,0,192,PUNJAB,0,133,0,2009,192
RAILWAY ACCIDENTS,113,0,832,PUNJAB,1,719,1,2009,832
DROWNING,81,0,592,PUNJAB,0,511,0,2009,592
FALLS,16,0,223,PUNJAB,0,207,0,2009,223
FIRE,223,1,369,PUNJAB,1,148,0,2009,371
SUDDEN DEATHS,78,0,889,PUNJAB,0,813,0,2009,891
POISONING,217,0,785,PUNJAB,0,574,0,2009,791
ELECTROCUTION,61,6,624,RAJASTHAN,15,570,9,2009,631
GAS CYLINDER/STOVE BURST,120,1,159,RAJASTHAN,10,43,9,2009,163
FIRE-ARMS,3,0,8,RAJASTHAN,0,6,0,2009,9
SUDDEN DEATHS(HEART ATTACKS),63,7,581,RAJASTHAN,12,506,5,2009,569
EPILEPTIC FITS/GIDDINESS,21,0,98,RAJASTHAN,0,77,0,2009,98
ABORTIONS/CHILD BIRTH,19,0,19,RAJASTHAN,0,0,0,2009,19
INFLUENCE OF ALCOHOL,0,0,188,RAJASTHAN,0,188,0,2009,188
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,270,1,771,RAJASTHAN,1,561,0,2009,831
SNAKE BITE/ANIMAL BITE,97,0,295,RAJASTHAN,0,198,0,2009,295
