MALE KILLED,FEMALE INJURED,FEMALE KILLED,CAUSE,CASES,MALE INJURED,YEAR,TOTAL INJURED,STATE/UT,TOTAL KILLED
0,0,0,FIRE-ARMS,0,0,2002,0,GOA,0
26,0,7,SUDDEN DEATHS(HEART ATTACKS),17,0,2002,0,GOA,33
3,0,0,EPILEPTIC FITS/GIDDINESS,3,0,2002,0,GOA,3
0,0,2,ABORTIONS/CHILD BIRTH,2,0,2002,0,GOA,2
20,0,0,INFLUENCE OF ALCOHOL,20,0,2002,0,GOA,20
2,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,0,2002,0,GOA,2
1,0,1,SNAKE BITE/ANIMAL BITE,4,0,2002,0,GOA,2
10,0,4,OTHER,15,0,2002,0,GOA,14
34,0,3,RAILWAY ACCIDENTS,38,0,2002,0,GOA,37
170,0,17,DROWNING,163,0,2002,0,GOA,187
79,0,9,FALLS,92,0,2002,0,GOA,88
11,0,34,FIRE,46,2,2002,2,GOA,45
49,0,9,SUDDEN DEATHS,42,0,2002,0,GOA,58
13,0,5,POISONING,20,0,2002,0,GOA,18
362,6,78,ELECTROCUTION,448,8,2002,14,GUJARAT,440
152,17,531,GAS CYLINDER/STOVE BURST,696,15,2002,32,GUJARAT,683
2,0,0,FIRE-ARMS,2,0,2002,0,GUJARAT,2
870,0,124,SUDDEN DEATHS(HEART ATTACKS),994,0,2002,0,GUJARAT,994
244,0,62,EPILEPTIC FITS/GIDDINESS,306,0,2002,0,GUJARAT,306
0,0,18,ABORTIONS/CHILD BIRTH,18,0,2002,0,GUJARAT,18
37,0,1,INFLUENCE OF ALCOHOL,38,0,2002,0,GUJARAT,38
242,38,194,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,511,39,2002,77,GUJARAT,436
188,7,118,SNAKE BITE/ANIMAL BITE,312,8,2002,15,GUJARAT,306
180,8,119,OTHER,317,11,2002,19,GUJARAT,299
1095,0,168,RAILWAY ACCIDENTS,1251,0,2002,0,GUJARAT,1263
871,0,256,DROWNING,1100,0,2002,0,GUJARAT,1127
636,8,151,FALLS,814,22,2002,30,GUJARAT,787
740,58,1823,FIRE,2608,49,2002,107,GUJARAT,2563
1151,0,205,SUDDEN DEATHS,1356,0,2002,0,GUJARAT,1356
629,53,438,POISONING,1161,58,2002,111,GUJARAT,1067
20,0,0,ELECTROCUTION,20,0,2002,0,HARYANA,20
4,0,9,GAS CYLINDER/STOVE BURST,9,0,2002,0,HARYANA,13
0,0,0,FIRE-ARMS,0,0,2002,0,HARYANA,0
4,0,2,SUDDEN DEATHS(HEART ATTACKS),6,0,2002,0,HARYANA,6
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,2002,0,HARYANA,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,HARYANA,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,2002,0,HARYANA,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,HARYANA,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,2002,0,HARYANA,0
28,0,25,OTHER,53,0,2002,0,HARYANA,53
0,0,0,RAILWAY ACCIDENTS,0,0,2002,0,HARYANA,0
41,0,9,DROWNING,50,0,2002,0,HARYANA,50
16,0,2,FALLS,12,1,2002,1,HARYANA,18
10,0,11,FIRE,17,0,2002,0,HARYANA,21
4,0,2,SUDDEN DEATHS,6,0,2002,0,HARYANA,6
28,0,25,POISONING,53,0,2002,0,HARYANA,53
5,0,1,ELECTROCUTION,6,0,2002,0,HIMACHAL PRADESH,6
3,0,9,GAS CYLINDER/STOVE BURST,12,1,2002,1,HIMACHAL PRADESH,12
1,0,0,FIRE-ARMS,1,0,2002,0,HIMACHAL PRADESH,1
81,0,6,SUDDEN DEATHS(HEART ATTACKS),87,0,2002,0,HIMACHAL PRADESH,87
5,0,2,EPILEPTIC FITS/GIDDINESS,7,0,2002,0,HIMACHAL PRADESH,7
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,HIMACHAL PRADESH,0
34,0,0,INFLUENCE OF ALCOHOL,34,0,2002,0,HIMACHAL PRADESH,34
26,0,11,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,37,0,2002,0,HIMACHAL PRADESH,37
7,0,1,SNAKE BITE/ANIMAL BITE,8,0,2002,0,HIMACHAL PRADESH,8
33,0,4,OTHER,37,0,2002,0,HIMACHAL PRADESH,37
1,0,0,RAILWAY ACCIDENTS,1,0,2002,0,HIMACHAL PRADESH,1
59,0,20,DROWNING,78,0,2002,0,HIMACHAL PRADESH,79
122,0,9,FALLS,131,3,2002,3,HIMACHAL PRADESH,131
23,3,18,FIRE,40,4,2002,7,HIMACHAL PRADESH,41
120,0,8,SUDDEN DEATHS,128,0,2002,0,HIMACHAL PRADESH,128
86,0,36,POISONING,122,0,2002,0,HIMACHAL PRADESH,122
10,0,2,ELECTROCUTION,9,0,2002,0,JAMMU & KASHMIR,12
0,0,3,GAS CYLINDER/STOVE BURST,2,0,2002,0,JAMMU & KASHMIR,3
301,105,97,FIRE-ARMS,575,542,2002,647,JAMMU & KASHMIR,398
64,0,9,SUDDEN DEATHS(HEART ATTACKS),73,0,2002,0,JAMMU & KASHMIR,73
1,0,0,EPILEPTIC FITS/GIDDINESS,1,0,2002,0,JAMMU & KASHMIR,1
0,0,3,ABORTIONS/CHILD BIRTH,3,0,2002,0,JAMMU & KASHMIR,3
2,0,0,INFLUENCE OF ALCOHOL,2,0,2002,0,JAMMU & KASHMIR,2
3,0,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,4,0,2002,0,JAMMU & KASHMIR,5
1,0,0,SNAKE BITE/ANIMAL BITE,1,0,2002,0,JAMMU & KASHMIR,1
8,0,4,OTHER,8,0,2002,0,JAMMU & KASHMIR,12
0,0,0,RAILWAY ACCIDENTS,0,0,2002,0,JAMMU & KASHMIR,0
21,0,8,DROWNING,26,2,2002,2,JAMMU & KASHMIR,29
41,9,17,FALLS,69,65,2002,74,JAMMU & KASHMIR,58
6,0,9,FIRE,14,0,2002,0,JAMMU & KASHMIR,15
67,0,12,SUDDEN DEATHS,79,0,2002,0,JAMMU & KASHMIR,79
21,0,13,POISONING,29,0,2002,0,JAMMU & KASHMIR,34
0,0,0,ELECTROCUTION,0,0,2002,0,JHARKHAND,0
0,0,0,GAS CYLINDER/STOVE BURST,0,0,2002,0,JHARKHAND,0
1,0,0,FIRE-ARMS,1,1,2002,1,JHARKHAND,1
6,0,4,SUDDEN DEATHS(HEART ATTACKS),10,0,2002,0,JHARKHAND,10
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,2002,0,JHARKHAND,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,JHARKHAND,0
7,1,3,INFLUENCE OF ALCOHOL,12,1,2002,2,JHARKHAND,10
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,JHARKHAND,0
2,2,3,SNAKE BITE/ANIMAL BITE,8,1,2002,3,JHARKHAND,5
0,0,0,OTHER,0,0,2002,0,JHARKHAND,0
118,72,19,RAILWAY ACCIDENTS,142,75,2002,147,JHARKHAND,137
0,0,0,DROWNING,0,0,2002,0,JHARKHAND,0
8,1,6,FALLS,16,1,2002,2,JHARKHAND,14
1,1,3,FIRE,5,1,2002,2,JHARKHAND,4
13,1,7,SUDDEN DEATHS,22,1,2002,2,JHARKHAND,20
6,2,4,POISONING,14,2,2002,4,JHARKHAND,10
228,0,30,ELECTROCUTION,257,0,2002,0,KARNATAKA,258
59,0,153,GAS CYLINDER/STOVE BURST,209,0,2002,0,KARNATAKA,212
6,0,7,FIRE-ARMS,12,0,2002,0,KARNATAKA,13
370,0,41,SUDDEN DEATHS(HEART ATTACKS),404,0,2002,0,KARNATAKA,411
48,0,24,EPILEPTIC FITS/GIDDINESS,72,0,2002,0,KARNATAKA,72
0,0,10,ABORTIONS/CHILD BIRTH,10,0,2002,0,KARNATAKA,10
234,0,21,INFLUENCE OF ALCOHOL,260,3,2002,3,KARNATAKA,255
109,0,43,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,145,0,2002,0,KARNATAKA,152
280,0,132,SNAKE BITE/ANIMAL BITE,407,0,2002,0,KARNATAKA,412
659,0,228,OTHER,903,1,2002,1,KARNATAKA,887
523,0,90,RAILWAY ACCIDENTS,600,0,2002,0,KARNATAKA,613
972,13,455,DROWNING,1426,30,2002,43,KARNATAKA,1427
413,1,51,FALLS,460,4,2002,5,KARNATAKA,464
396,0,723,FIRE,1238,6,2002,6,KARNATAKA,1119
652,0,96,SUDDEN DEATHS,746,3,2002,3,KARNATAKA,748
1084,0,410,POISONING,1499,1,2002,1,KARNATAKA,1494
111,0,19,ELECTROCUTION,130,0,2002,0,KERALA,130
12,0,40,GAS CYLINDER/STOVE BURST,50,0,2002,0,KERALA,52
1,0,0,FIRE-ARMS,2,1,2002,1,KERALA,1
487,0,56,SUDDEN DEATHS(HEART ATTACKS),544,0,2002,0,KERALA,543
25,0,11,EPILEPTIC FITS/GIDDINESS,34,0,2002,0,KERALA,36
0,0,8,ABORTIONS/CHILD BIRTH,8,0,2002,0,KERALA,8
53,0,0,INFLUENCE OF ALCOHOL,53,0,2002,0,KERALA,53
3,0,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,4,0,2002,0,KERALA,5
12,0,10,SNAKE BITE/ANIMAL BITE,22,0,2002,0,KERALA,22
86,0,29,OTHER,115,0,2002,0,KERALA,115
278,0,40,RAILWAY ACCIDENTS,316,1,2002,1,KERALA,318
942,2,306,DROWNING,1184,4,2002,6,KERALA,1248
402,1,23,FALLS,416,1,2002,2,KERALA,425
63,0,151,FIRE,202,2,2002,2,KERALA,214
565,0,75,SUDDEN DEATHS,639,0,2002,0,KERALA,640
105,0,42,POISONING,144,0,2002,0,KERALA,147
673,7,156,ELECTROCUTION,847,18,2002,25,MADHYA PRADESH,829
65,13,205,GAS CYLINDER/STOVE BURST,292,11,2002,24,MADHYA PRADESH,270
113,4,7,FIRE-ARMS,171,57,2002,61,MADHYA PRADESH,120
364,0,61,SUDDEN DEATHS(HEART ATTACKS),426,1,2002,1,MADHYA PRADESH,425
99,0,44,EPILEPTIC FITS/GIDDINESS,144,1,2002,1,MADHYA PRADESH,143
0,2,82,ABORTIONS/CHILD BIRTH,84,0,2002,2,MADHYA PRADESH,82
294,0,23,INFLUENCE OF ALCOHOL,318,1,2002,1,MADHYA PRADESH,317
1013,15,766,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1820,20,2002,35,MADHYA PRADESH,1779
832,30,620,SNAKE BITE/ANIMAL BITE,1509,27,2002,57,MADHYA PRADESH,1452
348,0,212,OTHER,559,0,2002,0,MADHYA PRADESH,560
960,0,163,RAILWAY ACCIDENTS,1121,1,2002,1,MADHYA PRADESH,1123
2174,7,1301,DROWNING,3441,17,2002,24,MADHYA PRADESH,3475
606,3,157,FALLS,779,16,2002,19,MADHYA PRADESH,763
688,47,1601,FIRE,2365,50,2002,97,MADHYA PRADESH,2289
757,2,210,SUDDEN DEATHS,972,3,2002,5,MADHYA PRADESH,967
2260,45,1616,POISONING,3973,47,2002,92,MADHYA PRADESH,3876
814,8,144,ELECTROCUTION,990,33,2002,41,MAHARASHTRA,958
21,7,51,GAS CYLINDER/STOVE BURST,80,4,2002,11,MAHARASHTRA,72
49,0,0,FIRE-ARMS,39,3,2002,3,MAHARASHTRA,49
2961,25,549,SUDDEN DEATHS(HEART ATTACKS),3577,42,2002,67,MAHARASHTRA,3510
910,74,272,EPILEPTIC FITS/GIDDINESS,1449,193,2002,267,MAHARASHTRA,1182
0,1,267,ABORTIONS/CHILD BIRTH,268,0,2002,1,MAHARASHTRA,267
1190,5,43,INFLUENCE OF ALCOHOL,1283,45,2002,50,MAHARASHTRA,1233
990,218,554,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1935,393,2002,611,MAHARASHTRA,1544
736,97,385,SNAKE BITE/ANIMAL BITE,1374,160,2002,257,MAHARASHTRA,1121
38,17,19,OTHER,111,37,2002,54,MAHARASHTRA,57
4153,285,599,RAILWAY ACCIDENTS,7297,2280,2002,2565,MAHARASHTRA,4752
3376,4,1673,DROWNING,4973,16,2002,20,MAHARASHTRA,5049
1477,36,262,FALLS,1929,162,2002,198,MAHARASHTRA,1739
1691,287,4057,FIRE,6191,225,2002,512,MAHARASHTRA,5748
5061,105,1131,SUDDEN DEATHS,6577,280,2002,385,MAHARASHTRA,6192
1850,332,982,POISONING,3518,597,2002,929,MAHARASHTRA,2832
6,0,0,ELECTROCUTION,5,0,2002,0,MANIPUR,6
1,0,0,GAS CYLINDER/STOVE BURST,1,0,2002,0,MANIPUR,1
6,0,0,FIRE-ARMS,6,0,2002,0,MANIPUR,6
8,0,1,SUDDEN DEATHS(HEART ATTACKS),9,0,2002,0,MANIPUR,9
1,0,1,EPILEPTIC FITS/GIDDINESS,2,0,2002,0,MANIPUR,2
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,MANIPUR,0
2,0,0,INFLUENCE OF ALCOHOL,2,0,2002,0,MANIPUR,2
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,MANIPUR,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,2002,0,MANIPUR,0
5,0,0,OTHER,5,0,2002,0,MANIPUR,5
0,0,0,RAILWAY ACCIDENTS,0,0,2002,0,MANIPUR,0
10,0,1,DROWNING,11,0,2002,0,MANIPUR,11
3,0,0,FALLS,3,0,2002,0,MANIPUR,3
1,0,0,FIRE,1,0,2002,0,MANIPUR,1
11,0,2,SUDDEN DEATHS,13,0,2002,0,MANIPUR,13
5,0,0,POISONING,5,0,2002,0,MANIPUR,5
5,0,0,ELECTROCUTION,5,0,2002,0,MEGHALAYA,5
0,0,1,GAS CYLINDER/STOVE BURST,1,0,2002,0,MEGHALAYA,1
2,0,0,FIRE-ARMS,2,0,2002,0,MEGHALAYA,2
5,0,0,SUDDEN DEATHS(HEART ATTACKS),5,0,2002,0,MEGHALAYA,5
2,0,0,EPILEPTIC FITS/GIDDINESS,2,0,2002,0,MEGHALAYA,2
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,MEGHALAYA,0
3,0,0,INFLUENCE OF ALCOHOL,3,0,2002,0,MEGHALAYA,3
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,MEGHALAYA,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,2002,0,MEGHALAYA,0
0,0,0,OTHER,0,0,2002,0,MEGHALAYA,0
0,0,0,RAILWAY ACCIDENTS,0,0,2002,0,MEGHALAYA,0
19,1,8,DROWNING,30,2,2002,3,MEGHALAYA,27
9,0,1,FALLS,9,0,2002,0,MEGHALAYA,10
5,0,5,FIRE,10,0,2002,0,MEGHALAYA,10
10,0,0,SUDDEN DEATHS,10,0,2002,0,MEGHALAYA,10
0,0,0,POISONING,0,0,2002,0,MEGHALAYA,0
7,0,0,ELECTROCUTION,7,0,2002,0,MIZORAM,7
0,0,3,GAS CYLINDER/STOVE BURST,1,0,2002,0,MIZORAM,3
0,0,1,FIRE-ARMS,1,0,2002,0,MIZORAM,1
0,0,0,SUDDEN DEATHS(HEART ATTACKS),0,0,2002,0,MIZORAM,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,2002,0,MIZORAM,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,MIZORAM,0
1,0,0,INFLUENCE OF ALCOHOL,1,0,2002,0,MIZORAM,1
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,MIZORAM,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,2002,0,MIZORAM,0
0,0,0,OTHER,0,0,2002,0,MIZORAM,0
0,0,0,RAILWAY ACCIDENTS,0,0,2002,0,MIZORAM,0
21,0,2,DROWNING,23,0,2002,0,MIZORAM,23
15,0,1,FALLS,16,0,2002,0,MIZORAM,16
0,0,3,FIRE,1,0,2002,0,MIZORAM,3
1,0,0,SUDDEN DEATHS,1,0,2002,0,MIZORAM,1
0,0,0,POISONING,0,0,2002,0,MIZORAM,0
2,0,0,ELECTROCUTION,2,0,2002,0,NAGALAND,2
0,0,0,GAS CYLINDER/STOVE BURST,0,0,2002,0,NAGALAND,0
5,0,0,FIRE-ARMS,5,0,2002,0,NAGALAND,5
0,0,0,SUDDEN DEATHS(HEART ATTACKS),0,0,2002,0,NAGALAND,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,2002,0,NAGALAND,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,NAGALAND,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,2002,0,NAGALAND,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,NAGALAND,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,2002,0,NAGALAND,0
0,0,0,OTHER,0,0,2002,0,NAGALAND,0
5,0,1,RAILWAY ACCIDENTS,6,0,2002,0,NAGALAND,6
2,0,1,DROWNING,3,0,2002,0,NAGALAND,3
3,0,0,FALLS,3,0,2002,0,NAGALAND,3
0,0,0,FIRE,0,0,2002,0,NAGALAND,0
0,0,0,SUDDEN DEATHS,0,0,2002,0,NAGALAND,0
0,0,0,POISONING,0,0,2002,0,NAGALAND,0
133,0,25,ELECTROCUTION,155,0,2002,0,ODISHA,158
13,0,61,GAS CYLINDER/STOVE BURST,74,0,2002,0,ODISHA,74
6,0,1,FIRE-ARMS,6,0,2002,0,ODISHA,7
63,0,17,SUDDEN DEATHS(HEART ATTACKS),92,14,2002,14,ODISHA,80
32,0,9,EPILEPTIC FITS/GIDDINESS,41,0,2002,0,ODISHA,41
0,0,11,ABORTIONS/CHILD BIRTH,11,0,2002,0,ODISHA,11
30,0,7,INFLUENCE OF ALCOHOL,37,0,2002,0,ODISHA,37
116,2,77,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,180,7,2002,9,ODISHA,193
294,1,121,SNAKE BITE/ANIMAL BITE,414,2,2002,3,ODISHA,415
258,0,106,OTHER,360,0,2002,0,ODISHA,364
287,0,57,RAILWAY ACCIDENTS,341,0,2002,0,ODISHA,344
274,6,109,DROWNING,400,15,2002,21,ODISHA,383
231,10,65,FALLS,327,22,2002,32,ODISHA,296
122,3,157,FIRE,273,2,2002,5,ODISHA,279
125,0,44,SUDDEN DEATHS,181,14,2002,14,ODISHA,169
673,3,306,POISONING,961,9,2002,12,ODISHA,979
142,0,10,ELECTROCUTION,152,0,2002,0,PUNJAB,152
34,4,131,GAS CYLINDER/STOVE BURST,169,0,2002,4,PUNJAB,165
232,0,29,FIRE-ARMS,261,0,2002,0,PUNJAB,261
38,0,6,SUDDEN DEATHS(HEART ATTACKS),44,0,2002,0,PUNJAB,44
0,0,3,EPILEPTIC FITS/GIDDINESS,3,0,2002,0,PUNJAB,3
0,0,101,ABORTIONS/CHILD BIRTH,101,0,2002,0,PUNJAB,101
6,0,0,INFLUENCE OF ALCOHOL,6,0,2002,0,PUNJAB,6
111,0,30,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,141,0,2002,0,PUNJAB,141
19,0,4,SNAKE BITE/ANIMAL BITE,23,0,2002,0,PUNJAB,23
205,0,66,OTHER,271,0,2002,0,PUNJAB,271
340,0,31,RAILWAY ACCIDENTS,371,0,2002,0,PUNJAB,371
262,0,36,DROWNING,298,0,2002,0,PUNJAB,298
75,0,7,FALLS,82,0,2002,0,PUNJAB,82
117,4,145,FIRE,266,0,2002,4,PUNJAB,262
44,0,110,SUDDEN DEATHS,154,0,2002,0,PUNJAB,154
484,1,140,POISONING,627,2,2002,3,PUNJAB,624
321,0,44,ELECTROCUTION,354,1,2002,1,RAJASTHAN,365
31,2,92,GAS CYLINDER/STOVE BURST,124,1,2002,3,RAJASTHAN,123
10,0,0,FIRE-ARMS,10,0,2002,0,RAJASTHAN,10
306,0,49,SUDDEN DEATHS(HEART ATTACKS),355,0,2002,0,RAJASTHAN,355
164,0,33,EPILEPTIC FITS/GIDDINESS,197,0,2002,0,RAJASTHAN,197
0,0,24,ABORTIONS/CHILD BIRTH,24,0,2002,0,RAJASTHAN,24
198,0,1,INFLUENCE OF ALCOHOL,198,0,2002,0,RAJASTHAN,199
550,0,324,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,871,2,2002,2,RAJASTHAN,874
67,0,42,SNAKE BITE/ANIMAL BITE,108,2,2002,2,RAJASTHAN,109
126,0,47,OTHER,172,0,2002,0,RAJASTHAN,173
