CASES,FEMALE KILLED,STATE/UT,TOTAL INJURED,YEAR,CAUSE,MALE INJURED,TOTAL KILLED,MALE KILLED,FEMALE INJURED
1003,114,GUJARAT,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,1003,889,0
440,74,GUJARAT,0,2003,EPILEPTIC FITS/GIDDINESS,0,440,366,0
18,18,GUJARAT,0,2003,ABORTIONS/CHILD BIRTH,0,18,0,0
30,1,GUJARAT,0,2003,INFLUENCE OF ALCOHOL,0,30,29,0
294,96,GUJARAT,4,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,290,194,1
497,142,GUJARAT,66,2003,SNAKE BITE/ANIMAL BITE,38,431,289,28
276,82,GUJARAT,0,2003,OTHER,0,276,194,0
1234,171,GUJARAT,1,2003,OTHER RAILWAY ACCIDENTS,1,1238,1067,0
1294,234,GUJARAT,0,2003,TOTAL DROWNING,0,1354,1120,0
826,114,GUJARAT,17,2003,TOTAL FALLS,11,815,701,6
2431,1703,GUJARAT,113,2003,TOTAL FIRE,26,2359,656,87
1491,207,GUJARAT,0,2003,TOTAL SUDDEN DEATHS,0,1491,1284,0
1111,336,GUJARAT,70,2003,TOTAL POISONING,41,1041,705,29
179,20,HARYANA,0,2003,ELECTROCUTION,0,180,160,0
116,86,HARYANA,0,2003,GAS CYLINDER/STOVE BURST,0,116,30,0
40,14,HARYANA,2,2003,FIRE-ARMS,2,40,26,0
248,22,HARYANA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,249,227,0
33,3,HARYANA,0,2003,EPILEPTIC FITS/GIDDINESS,0,33,30,0
8,8,HARYANA,0,2003,ABORTIONS/CHILD BIRTH,0,8,0,0
133,2,HARYANA,0,2003,INFLUENCE OF ALCOHOL,0,133,131,0
275,63,HARYANA,45,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,25,230,167,20
10,2,HARYANA,0,2003,SNAKE BITE/ANIMAL BITE,0,10,8,0
322,100,HARYANA,0,2003,OTHER,0,332,232,0
0,0,HARYANA,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
317,58,HARYANA,0,2003,TOTAL DROWNING,0,318,260,0
136,19,HARYANA,0,2003,TOTAL FALLS,0,136,117,0
349,184,HARYANA,8,2003,TOTAL FIRE,0,345,161,8
422,35,HARYANA,0,2003,TOTAL SUDDEN DEATHS,0,423,388,0
620,165,HARYANA,45,2003,TOTAL POISONING,25,585,420,20
8,0,HIMACHAL PRADESH,0,2003,ELECTROCUTION,0,8,8,0
5,2,HIMACHAL PRADESH,0,2003,GAS CYLINDER/STOVE BURST,0,6,4,0
3,1,HIMACHAL PRADESH,0,2003,FIRE-ARMS,0,3,2,0
104,6,HIMACHAL PRADESH,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,104,98,0
21,4,HIMACHAL PRADESH,0,2003,EPILEPTIC FITS/GIDDINESS,0,21,17,0
2,2,HIMACHAL PRADESH,0,2003,ABORTIONS/CHILD BIRTH,0,2,0,0
45,1,HIMACHAL PRADESH,0,2003,INFLUENCE OF ALCOHOL,0,45,44,0
49,17,HIMACHAL PRADESH,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,49,32,0
8,1,HIMACHAL PRADESH,0,2003,SNAKE BITE/ANIMAL BITE,0,8,7,0
54,9,HIMACHAL PRADESH,0,2003,OTHER,0,54,45,0
16,0,HIMACHAL PRADESH,0,2003,OTHER RAILWAY ACCIDENTS,0,16,16,0
104,10,HIMACHAL PRADESH,0,2003,TOTAL DROWNING,0,115,105,0
142,6,HIMACHAL PRADESH,0,2003,TOTAL FALLS,0,142,136,0
34,13,HIMACHAL PRADESH,0,2003,TOTAL FIRE,0,35,22,0
172,13,HIMACHAL PRADESH,0,2003,TOTAL SUDDEN DEATHS,0,172,159,0
119,28,HIMACHAL PRADESH,0,2003,TOTAL POISONING,0,119,91,0
20,4,JAMMU & KASHMIR,2,2003,ELECTROCUTION,2,20,16,0
14,9,JAMMU & KASHMIR,0,2003,GAS CYLINDER/STOVE BURST,0,18,9,0
358,13,JAMMU & KASHMIR,408,2003,FIRE-ARMS,386,339,326,22
69,7,JAMMU & KASHMIR,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,69,62,0
14,8,JAMMU & KASHMIR,0,2003,EPILEPTIC FITS/GIDDINESS,0,14,6,0
15,12,JAMMU & KASHMIR,0,2003,ABORTIONS/CHILD BIRTH,0,12,0,0
17,7,JAMMU & KASHMIR,0,2003,INFLUENCE OF ALCOHOL,0,17,10,0
13,9,JAMMU & KASHMIR,1,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,15,6,1
9,4,JAMMU & KASHMIR,0,2003,SNAKE BITE/ANIMAL BITE,0,9,5,0
52,23,JAMMU & KASHMIR,18,2003,OTHER,6,33,10,12
44,2,JAMMU & KASHMIR,0,2003,OTHER RAILWAY ACCIDENTS,0,44,42,0
49,14,JAMMU & KASHMIR,0,2003,TOTAL DROWNING,0,63,49,0
59,14,JAMMU & KASHMIR,0,2003,TOTAL FALLS,0,67,53,0
30,18,JAMMU & KASHMIR,0,2003,TOTAL FIRE,0,40,22,0
115,34,JAMMU & KASHMIR,0,2003,TOTAL SUDDEN DEATHS,0,112,78,0
76,36,JAMMU & KASHMIR,19,2003,TOTAL POISONING,6,59,23,13
0,0,JHARKHAND,0,2003,ELECTROCUTION,0,0,0,0
0,0,JHARKHAND,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
1,0,JHARKHAND,1,2003,FIRE-ARMS,1,1,1,0
10,4,JHARKHAND,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,10,6,0
0,0,JHARKHAND,0,2003,EPILEPTIC FITS/GIDDINESS,0,0,0,0
0,0,JHARKHAND,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
12,3,JHARKHAND,2,2003,INFLUENCE OF ALCOHOL,1,10,7,1
0,0,JHARKHAND,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
8,3,JHARKHAND,3,2003,SNAKE BITE/ANIMAL BITE,1,5,2,2
0,0,JHARKHAND,0,2003,OTHER,0,0,0,0
142,19,JHARKHAND,147,2003,OTHER RAILWAY ACCIDENTS,75,137,118,72
0,0,JHARKHAND,0,2003,TOTAL DROWNING,0,0,0,0
16,6,JHARKHAND,2,2003,TOTAL FALLS,1,14,8,1
5,3,JHARKHAND,2,2003,TOTAL FIRE,1,4,1,1
22,7,JHARKHAND,2,2003,TOTAL SUDDEN DEATHS,1,20,13,1
14,4,JHARKHAND,4,2003,TOTAL POISONING,2,10,6,2
323,46,KARNATAKA,6,2003,ELECTROCUTION,5,329,283,1
279,225,KARNATAKA,7,2003,GAS CYLINDER/STOVE BURST,4,280,55,3
13,1,KARNATAKA,0,2003,FIRE-ARMS,0,13,12,0
382,39,KARNATAKA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,380,341,0
71,12,KARNATAKA,0,2003,EPILEPTIC FITS/GIDDINESS,0,71,59,0
7,7,KARNATAKA,0,2003,ABORTIONS/CHILD BIRTH,0,7,0,0
257,15,KARNATAKA,6,2003,INFLUENCE OF ALCOHOL,4,251,236,2
107,38,KARNATAKA,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,110,72,0
476,133,KARNATAKA,0,2003,SNAKE BITE/ANIMAL BITE,0,480,347,0
720,190,KARNATAKA,0,2003,OTHER,0,731,541,0
579,87,KARNATAKA,0,2003,OTHER RAILWAY ACCIDENTS,0,579,492,0
1337,385,KARNATAKA,0,2003,TOTAL DROWNING,0,1387,1002,0
433,47,KARNATAKA,3,2003,TOTAL FALLS,3,440,393,0
1395,939,KARNATAKA,12,2003,TOTAL FIRE,8,1391,452,4
717,73,KARNATAKA,6,2003,TOTAL SUDDEN DEATHS,4,709,636,2
1367,373,KARNATAKA,0,2003,TOTAL POISONING,0,1385,1012,0
153,21,KERALA,4,2003,ELECTROCUTION,4,153,132,0
21,18,KERALA,0,2003,GAS CYLINDER/STOVE BURST,0,21,3,0
1,0,KERALA,0,2003,FIRE-ARMS,0,1,1,0
580,56,KERALA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,582,526,0
46,11,KERALA,0,2003,EPILEPTIC FITS/GIDDINESS,0,48,37,0
5,5,KERALA,0,2003,ABORTIONS/CHILD BIRTH,0,5,0,0
48,0,KERALA,1,2003,INFLUENCE OF ALCOHOL,0,47,47,1
7,2,KERALA,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,7,5,0
34,10,KERALA,0,2003,SNAKE BITE/ANIMAL BITE,0,34,24,0
125,33,KERALA,6,2003,OTHER,6,125,92,0
156,35,KERALA,0,2003,OTHER RAILWAY ACCIDENTS,0,157,122,0
1111,256,KERALA,13,2003,TOTAL DROWNING,11,1140,884,2
478,41,KERALA,12,2003,TOTAL FALLS,9,483,442,3
215,140,KERALA,16,2003,TOTAL FIRE,13,219,79,3
679,72,KERALA,1,2003,TOTAL SUDDEN DEATHS,0,682,610,1
172,47,KERALA,6,2003,TOTAL POISONING,6,172,125,0
1109,212,MADHYA PRADESH,41,2003,ELECTROCUTION,31,1074,862,10
227,145,MADHYA PRADESH,26,2003,GAS CYLINDER/STOVE BURST,8,211,66,18
144,16,MADHYA PRADESH,38,2003,FIRE-ARMS,36,104,88,2
590,101,MADHYA PRADESH,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,586,485,0
175,54,MADHYA PRADESH,0,2003,EPILEPTIC FITS/GIDDINESS,0,175,121,0
109,109,MADHYA PRADESH,0,2003,ABORTIONS/CHILD BIRTH,0,109,0,0
298,10,MADHYA PRADESH,0,2003,INFLUENCE OF ALCOHOL,0,298,288,0
1739,688,MADHYA PRADESH,10,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,1742,1054,5
1453,573,MADHYA PRADESH,44,2003,SNAKE BITE/ANIMAL BITE,19,1409,836,25
449,138,MADHYA PRADESH,9,2003,OTHER,9,449,311,0
1262,212,MADHYA PRADESH,0,2003,OTHER RAILWAY ACCIDENTS,0,1262,1050,0
3765,1276,MADHYA PRADESH,66,2003,TOTAL DROWNING,43,3719,2443,23
740,147,MADHYA PRADESH,31,2003,TOTAL FALLS,22,715,568,9
1877,1182,MADHYA PRADESH,112,2003,TOTAL FIRE,41,1784,602,71
1172,274,MADHYA PRADESH,0,2003,TOTAL SUDDEN DEATHS,0,1168,894,0
3687,1414,MADHYA PRADESH,63,2003,TOTAL POISONING,33,3647,2233,30
1040,161,MAHARASHTRA,82,2003,ELECTROCUTION,56,976,815,26
358,297,MAHARASHTRA,12,2003,GAS CYLINDER/STOVE BURST,3,359,62,9
31,0,MAHARASHTRA,1,2003,FIRE-ARMS,1,43,43,0
4128,591,MAHARASHTRA,60,2003,SUDDEN DEATHS(HEART ATTACKS),44,4066,3475,16
1385,253,MAHARASHTRA,254,2003,EPILEPTIC FITS/GIDDINESS,185,1133,880,69
278,278,MAHARASHTRA,0,2003,ABORTIONS/CHILD BIRTH,0,278,0,0
1138,21,MAHARASHTRA,35,2003,INFLUENCE OF ALCOHOL,35,1104,1083,0
2941,594,MAHARASHTRA,2018,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1009,1797,1203,1009
1812,387,MAHARASHTRA,769,2003,SNAKE BITE/ANIMAL BITE,471,1051,664,298
61,11,MAHARASHTRA,2,2003,OTHER,2,59,48,0
7630,563,MAHARASHTRA,2756,2003,OTHER RAILWAY ACCIDENTS,2421,5036,4473,335
4597,1435,MAHARASHTRA,44,2003,TOTAL DROWNING,33,4761,3326,11
2115,220,MAHARASHTRA,244,2003,TOTAL FALLS,196,1876,1656,48
5754,3814,MAHARASHTRA,731,2003,TOTAL FIRE,334,5218,1404,397
6929,1143,MAHARASHTRA,349,2003,TOTAL SUDDEN DEATHS,264,6581,5438,85
4837,997,MAHARASHTRA,2789,2003,TOTAL POISONING,1482,2933,1936,1307
5,2,MANIPUR,5,2003,ELECTROCUTION,5,5,3,0
0,0,MANIPUR,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
1,0,MANIPUR,0,2003,FIRE-ARMS,0,1,1,0
8,1,MANIPUR,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,8,7,0
1,0,MANIPUR,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
0,0,MANIPUR,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
0,0,MANIPUR,0,2003,INFLUENCE OF ALCOHOL,0,0,0,0
0,0,MANIPUR,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
0,0,MANIPUR,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
7,0,MANIPUR,0,2003,OTHER,0,7,7,0
0,0,MANIPUR,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
15,1,MANIPUR,0,2003,TOTAL DROWNING,0,15,14,0
5,0,MANIPUR,0,2003,TOTAL FALLS,0,5,5,0
1,0,MANIPUR,0,2003,TOTAL FIRE,0,1,1,0
9,1,MANIPUR,0,2003,TOTAL SUDDEN DEATHS,0,9,8,0
7,0,MANIPUR,0,2003,TOTAL POISONING,0,7,7,0
4,0,MEGHALAYA,3,2003,ELECTROCUTION,3,1,1,0
2,2,MEGHALAYA,0,2003,GAS CYLINDER/STOVE BURST,0,2,0,0
0,0,MEGHALAYA,0,2003,FIRE-ARMS,0,0,0,0
3,0,MEGHALAYA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,3,3,0
2,0,MEGHALAYA,0,2003,EPILEPTIC FITS/GIDDINESS,0,2,2,0
0,0,MEGHALAYA,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
7,1,MEGHALAYA,1,2003,INFLUENCE OF ALCOHOL,1,6,5,0
0,0,MEGHALAYA,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
0,0,MEGHALAYA,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
0,0,MEGHALAYA,0,2003,OTHER,0,0,0,0
0,0,MEGHALAYA,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
10,1,MEGHALAYA,0,2003,TOTAL DROWNING,0,10,9,0
2,0,MEGHALAYA,0,2003,TOTAL FALLS,0,2,2,0
11,5,MEGHALAYA,2,2003,TOTAL FIRE,2,11,6,0
12,1,MEGHALAYA,1,2003,TOTAL SUDDEN DEATHS,1,11,10,0
0,0,MEGHALAYA,0,2003,TOTAL POISONING,0,0,0,0
2,0,MIZORAM,0,2003,ELECTROCUTION,0,2,2,0
0,0,MIZORAM,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
6,0,MIZORAM,0,2003,FIRE-ARMS,0,6,6,0
7,2,MIZORAM,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,7,5,0
1,0,MIZORAM,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
0,0,MIZORAM,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
1,1,MIZORAM,0,2003,INFLUENCE OF ALCOHOL,0,1,0,0
0,0,MIZORAM,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
0,0,MIZORAM,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
0,0,MIZORAM,0,2003,OTHER,0,0,0,0
0,0,MIZORAM,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
15,0,MIZORAM,0,2003,TOTAL DROWNING,0,16,16,0
13,2,MIZORAM,0,2003,TOTAL FALLS,0,13,11,0
3,0,MIZORAM,0,2003,TOTAL FIRE,0,7,7,0
9,3,MIZORAM,0,2003,TOTAL SUDDEN DEATHS,0,9,6,0
0,0,MIZORAM,0,2003,TOTAL POISONING,0,0,0,0
0,0,NAGALAND,0,2003,ELECTROCUTION,0,0,0,0
0,0,NAGALAND,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
4,0,NAGALAND,0,2003,FIRE-ARMS,0,5,5,0
4,0,NAGALAND,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,4,4,0
0,0,NAGALAND,0,2003,EPILEPTIC FITS/GIDDINESS,0,0,0,0
0,0,NAGALAND,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
0,0,NAGALAND,0,2003,INFLUENCE OF ALCOHOL,0,0,0,0
0,0,NAGALAND,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,0
0,0,NAGALAND,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
1,0,NAGALAND,0,2003,OTHER,0,1,1,0
5,0,NAGALAND,0,2003,OTHER RAILWAY ACCIDENTS,0,5,5,0
4,0,NAGALAND,0,2003,TOTAL DROWNING,0,7,7,0
0,0,NAGALAND,0,2003,TOTAL FALLS,0,0,0,0
1,0,NAGALAND,0,2003,TOTAL FIRE,0,1,1,0
4,0,NAGALAND,0,2003,TOTAL SUDDEN DEATHS,0,4,4,0
1,0,NAGALAND,0,2003,TOTAL POISONING,0,1,1,0
173,37,ODISHA,8,2003,ELECTROCUTION,5,178,141,3
25,24,ODISHA,0,2003,GAS CYLINDER/STOVE BURST,0,25,1,0
1,0,ODISHA,0,2003,FIRE-ARMS,0,3,3,0
119,38,ODISHA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,122,84,0
50,14,ODISHA,0,2003,EPILEPTIC FITS/GIDDINESS,0,50,36,0
15,15,ODISHA,0,2003,ABORTIONS/CHILD BIRTH,0,15,0,0
29,0,ODISHA,0,2003,INFLUENCE OF ALCOHOL,0,29,29,0
386,138,ODISHA,40,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,31,390,252,9
462,186,ODISHA,0,2003,SNAKE BITE/ANIMAL BITE,0,489,303,0
336,95,ODISHA,0,2003,OTHER,0,340,245,0
407,108,ODISHA,11,2003,OTHER RAILWAY ACCIDENTS,9,409,301,2
409,149,ODISHA,3,2003,TOTAL DROWNING,3,432,283,0
341,52,ODISHA,50,2003,TOTAL FALLS,39,369,317,11
370,183,ODISHA,21,2003,TOTAL FIRE,17,381,198,4
213,67,ODISHA,0,2003,TOTAL SUDDEN DEATHS,0,216,149,0
1186,419,ODISHA,40,2003,TOTAL POISONING,31,1221,802,9
194,21,PUNJAB,0,2003,ELECTROCUTION,0,194,173,0
109,66,PUNJAB,0,2003,GAS CYLINDER/STOVE BURST,0,109,43,0
14,1,PUNJAB,0,2003,FIRE-ARMS,0,14,13,0
257,26,PUNJAB,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,257,231,0
53,3,PUNJAB,0,2003,EPILEPTIC FITS/GIDDINESS,0,53,50,0
2,2,PUNJAB,0,2003,ABORTIONS/CHILD BIRTH,0,2,0,0
82,0,PUNJAB,0,2003,INFLUENCE OF ALCOHOL,0,82,82,0
143,34,PUNJAB,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,143,109,0
28,5,PUNJAB,0,2003,SNAKE BITE/ANIMAL BITE,0,28,23,0
256,66,PUNJAB,0,2003,OTHER,0,256,190,0
701,141,PUNJAB,0,2003,OTHER RAILWAY ACCIDENTS,0,701,560,0
