STATE/UT,CASES,MALE INJURED,TOTAL INJURED,TOTAL KILLED,FEMALE KILLED,YEAR,FEMALE INJURED,CAUSE,MALE KILLED
MIZORAM,0,0,0,0,0,2004,0,SUDDEN DEATHS(HEART ATTACKS),0
MIZORAM,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
MIZORAM,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
MIZORAM,3,0,0,3,1,2004,0,INFLUENCE OF ALCOHOL,2
MIZORAM,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
MIZORAM,2,0,0,2,0,2004,0,SNAKE BITE/ANIMAL BITE,2
MIZORAM,0,0,0,0,0,2004,0,OTHER,0
MIZORAM,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
MIZORAM,21,0,0,21,2,2004,0,TOTAL DROWNING,19
MIZORAM,12,0,0,12,1,2004,0,TOTAL FALLS,11
MIZORAM,3,0,0,4,2,2004,0,TOTAL FIRE,2
MIZORAM,3,0,0,3,1,2004,0,TOTAL SUDDEN DEATHS,2
MIZORAM,4,1,2,2,0,2004,1,TOTAL POISONING,2
NAGALAND,1,0,0,1,0,2004,0,ELECTROCUTION,1
NAGALAND,0,0,0,0,0,2004,0,GAS CYLINDER/STOVE BURST,0
NAGALAND,0,0,0,0,0,2004,0,FIRE-ARMS,0
NAGALAND,0,0,0,0,0,2004,0,SUDDEN DEATHS(HEART ATTACKS),0
NAGALAND,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
NAGALAND,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
NAGALAND,0,0,0,0,0,2004,0,INFLUENCE OF ALCOHOL,0
NAGALAND,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
NAGALAND,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
NAGALAND,0,0,0,0,0,2004,0,OTHER,0
NAGALAND,1,0,0,1,0,2004,0,OTHER RAILWAY ACCIDENTS,1
NAGALAND,4,0,0,4,1,2004,0,TOTAL DROWNING,3
NAGALAND,0,0,0,0,0,2004,0,TOTAL FALLS,0
NAGALAND,0,0,0,0,0,2004,0,TOTAL FIRE,0
NAGALAND,0,0,0,0,0,2004,0,TOTAL SUDDEN DEATHS,0
NAGALAND,0,0,0,0,0,2004,0,TOTAL POISONING,0
ODISHA,154,10,12,156,25,2004,2,ELECTROCUTION,131
ODISHA,28,0,0,29,25,2004,0,GAS CYLINDER/STOVE BURST,4
ODISHA,6,0,0,6,0,2004,0,FIRE-ARMS,6
ODISHA,121,0,0,121,33,2004,0,SUDDEN DEATHS(HEART ATTACKS),88
ODISHA,32,0,1,32,7,2004,1,EPILEPTIC FITS/GIDDINESS,25
ODISHA,12,0,0,12,12,2004,0,ABORTIONS/CHILD BIRTH,0
ODISHA,43,1,1,43,4,2004,0,INFLUENCE OF ALCOHOL,39
ODISHA,358,4,15,356,124,2004,11,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,232
ODISHA,426,6,9,428,163,2004,3,SNAKE BITE/ANIMAL BITE,265
ODISHA,350,19,40,352,117,2004,21,OTHER,235
ODISHA,384,0,0,384,57,2004,0,OTHER RAILWAY ACCIDENTS,327
ODISHA,562,30,41,584,198,2004,11,TOTAL DROWNING,386
ODISHA,256,5,5,258,54,2004,0,TOTAL FALLS,204
ODISHA,354,14,27,366,192,2004,13,TOTAL FIRE,174
ODISHA,208,1,2,208,56,2004,1,TOTAL SUDDEN DEATHS,152
ODISHA,1142,29,64,1147,405,2004,35,TOTAL POISONING,742
PUNJAB,206,0,0,206,8,2004,0,ELECTROCUTION,198
PUNJAB,137,0,0,137,96,2004,0,GAS CYLINDER/STOVE BURST,41
PUNJAB,18,0,0,18,1,2004,0,FIRE-ARMS,17
PUNJAB,264,0,0,264,30,2004,0,SUDDEN DEATHS(HEART ATTACKS),234
PUNJAB,57,0,0,57,11,2004,0,EPILEPTIC FITS/GIDDINESS,46
PUNJAB,5,0,0,5,5,2004,0,ABORTIONS/CHILD BIRTH,0
PUNJAB,147,0,0,147,0,2004,0,INFLUENCE OF ALCOHOL,147
PUNJAB,244,0,0,244,56,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,188
PUNJAB,37,0,0,37,5,2004,0,SNAKE BITE/ANIMAL BITE,32
PUNJAB,293,0,0,293,79,2004,0,OTHER,214
PUNJAB,682,27,28,719,88,2004,1,OTHER RAILWAY ACCIDENTS,631
