FEMALE INJURED,CASES,TOTAL KILLED,CAUSE,MALE INJURED,MALE KILLED,STATE/UT,YEAR,TOTAL INJURED,FEMALE KILLED
25,339,353,TOTAL FIRE,15,106,BIHAR,2001,40,247
0,117,118,TOTAL SUDDEN DEATHS,0,102,BIHAR,2001,0,16
18,566,589,TOTAL POISONING,35,344,BIHAR,2001,53,245
0,250,252,ELECTROCUTION,0,202,CHHATTISGARH,2001,0,50
0,13,13,GAS CYLINDER/STOVE BURST,0,2,CHHATTISGARH,2001,0,11
0,16,16,FIRE-ARMS,0,15,CHHATTISGARH,2001,0,1
0,222,222,SUDDEN DEATHS(HEART ATTACKS),0,176,CHHATTISGARH,2001,0,46
0,99,99,EPILEPTIC FITS/GIDDINESS,0,71,CHHATTISGARH,2001,0,28
0,34,34,ABORTIONS/CHILD BIRTH,0,0,CHHATTISGARH,2001,0,34
0,187,187,INFLUENCE OF ALCOHOL,0,153,CHHATTISGARH,2001,0,34
1,666,663,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,417,CHHATTISGARH,2001,3,246
0,851,851,SNAKE BITE/ANIMAL BITE,0,454,CHHATTISGARH,2001,0,397
0,241,241,OTHER,0,157,CHHATTISGARH,2001,0,84
0,270,269,OTHER RAILWAY ACCIDENTS,1,216,CHHATTISGARH,2001,1,53
0,1271,1271,TOTAL DROWNING,0,837,CHHATTISGARH,2001,0,434
0,318,318,TOTAL FALLS,0,248,CHHATTISGARH,2001,0,70
10,642,650,TOTAL FIRE,3,222,CHHATTISGARH,2001,13,428
0,542,542,TOTAL SUDDEN DEATHS,0,400,CHHATTISGARH,2001,0,142
1,1773,1770,TOTAL POISONING,3,1043,CHHATTISGARH,2001,4,727
0,22,22,ELECTROCUTION,0,19,GOA,2001,0,3
0,29,29,GAS CYLINDER/STOVE BURST,0,3,GOA,2001,0,26
0,1,1,FIRE-ARMS,0,1,GOA,2001,0,0
0,12,12,SUDDEN DEATHS(HEART ATTACKS),0,10,GOA,2001,0,2
0,2,2,EPILEPTIC FITS/GIDDINESS,0,2,GOA,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,GOA,2001,0,0
0,6,6,INFLUENCE OF ALCOHOL,0,6,GOA,2001,0,0
0,3,3,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,3,GOA,2001,0,0
0,2,2,SNAKE BITE/ANIMAL BITE,0,2,GOA,2001,0,0
0,12,12,OTHER,0,9,GOA,2001,0,3
0,22,23,OTHER RAILWAY ACCIDENTS,0,21,GOA,2001,0,2
0,155,158,TOTAL DROWNING,0,141,GOA,2001,0,17
0,78,78,TOTAL FALLS,0,69,GOA,2001,0,9
0,62,62,TOTAL FIRE,0,15,GOA,2001,0,47
0,20,20,TOTAL SUDDEN DEATHS,0,18,GOA,2001,0,2
0,17,17,TOTAL POISONING,0,14,GOA,2001,0,3
4,465,464,ELECTROCUTION,8,390,GUJARAT,2001,12,74
6,632,631,GAS CYLINDER/STOVE BURST,4,176,GUJARAT,2001,10,455
0,2,5,FIRE-ARMS,0,5,GUJARAT,2001,0,0
0,1033,1033,SUDDEN DEATHS(HEART ATTACKS),0,914,GUJARAT,2001,0,119
0,305,305,EPILEPTIC FITS/GIDDINESS,0,245,GUJARAT,2001,0,60
0,25,25,ABORTIONS/CHILD BIRTH,0,0,GUJARAT,2001,0,25
0,41,41,INFLUENCE OF ALCOHOL,0,36,GUJARAT,2001,0,5
51,551,450,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,55,267,GUJARAT,2001,106,183
28,369,286,SNAKE BITE/ANIMAL BITE,56,199,GUJARAT,2001,84,87
0,264,265,OTHER,0,164,GUJARAT,2001,0,101
2,1103,1116,OTHER RAILWAY ACCIDENTS,2,968,GUJARAT,2001,4,148
0,902,918,TOTAL DROWNING,1,759,GUJARAT,2001,1,159
8,855,834,TOTAL FALLS,17,714,GUJARAT,2001,25,120
101,2444,2352,TOTAL FIRE,178,710,GUJARAT,2001,279,1642
0,1404,1404,TOTAL SUDDEN DEATHS,0,1195,GUJARAT,2001,0,209
79,1229,1046,TOTAL POISONING,111,664,GUJARAT,2001,190,382
0,149,150,ELECTROCUTION,0,142,HARYANA,2001,0,8
0,92,92,GAS CYLINDER/STOVE BURST,0,27,HARYANA,2001,0,65
0,20,20,FIRE-ARMS,0,18,HARYANA,2001,0,2
0,343,343,SUDDEN DEATHS(HEART ATTACKS),0,306,HARYANA,2001,0,37
0,40,40,EPILEPTIC FITS/GIDDINESS,0,28,HARYANA,2001,0,12
0,7,7,ABORTIONS/CHILD BIRTH,0,0,HARYANA,2001,0,7
0,143,143,INFLUENCE OF ALCOHOL,0,142,HARYANA,2001,0,1
0,422,438,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,299,HARYANA,2001,0,139
0,31,31,SNAKE BITE/ANIMAL BITE,0,19,HARYANA,2001,0,12
0,141,141,OTHER,0,101,HARYANA,2001,0,40
0,1231,1231,OTHER RAILWAY ACCIDENTS,0,1099,HARYANA,2001,0,132
2,288,282,TOTAL DROWNING,4,232,HARYANA,2001,6,50
0,110,110,TOTAL FALLS,0,96,HARYANA,2001,0,14
0,465,480,TOTAL FIRE,0,216,HARYANA,2001,0,264
0,533,533,TOTAL SUDDEN DEATHS,0,476,HARYANA,2001,0,57
0,596,612,TOTAL POISONING,0,421,HARYANA,2001,0,191
0,8,7,ELECTROCUTION,0,7,HIMACHAL PRADESH,2001,0,0
0,7,7,GAS CYLINDER/STOVE BURST,0,3,HIMACHAL PRADESH,2001,0,4
0,1,1,FIRE-ARMS,0,1,HIMACHAL PRADESH,2001,0,0
0,59,59,SUDDEN DEATHS(HEART ATTACKS),0,55,HIMACHAL PRADESH,2001,0,4
0,17,17,EPILEPTIC FITS/GIDDINESS,0,11,HIMACHAL PRADESH,2001,0,6
0,0,0,ABORTIONS/CHILD BIRTH,0,0,HIMACHAL PRADESH,2001,0,0
0,28,28,INFLUENCE OF ALCOHOL,0,28,HIMACHAL PRADESH,2001,0,0
3,48,44,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,31,HIMACHAL PRADESH,2001,4,13
0,4,4,SNAKE BITE/ANIMAL BITE,0,4,HIMACHAL PRADESH,2001,0,0
0,67,67,OTHER,0,48,HIMACHAL PRADESH,2001,0,19
0,10,10,OTHER RAILWAY ACCIDENTS,0,10,HIMACHAL PRADESH,2001,0,0
0,92,93,TOTAL DROWNING,0,70,HIMACHAL PRADESH,2001,0,23
3,103,101,TOTAL FALLS,0,90,HIMACHAL PRADESH,2001,3,11
0,58,58,TOTAL FIRE,0,37,HIMACHAL PRADESH,2001,0,21
0,104,104,TOTAL SUDDEN DEATHS,0,94,HIMACHAL PRADESH,2001,0,10
3,129,125,TOTAL POISONING,1,93,HIMACHAL PRADESH,2001,4,32
6,10,13,ELECTROCUTION,8,10,JAMMU & KASHMIR,2001,14,3
0,1,0,GAS CYLINDER/STOVE BURST,0,0,JAMMU & KASHMIR,2001,0,0
16,213,178,FIRE-ARMS,101,159,JAMMU & KASHMIR,2001,117,19
0,62,62,SUDDEN DEATHS(HEART ATTACKS),0,51,JAMMU & KASHMIR,2001,0,11
0,2,2,EPILEPTIC FITS/GIDDINESS,0,1,JAMMU & KASHMIR,2001,0,1
0,1,1,ABORTIONS/CHILD BIRTH,0,0,JAMMU & KASHMIR,2001,0,1
0,5,5,INFLUENCE OF ALCOHOL,0,3,JAMMU & KASHMIR,2001,0,2
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,JAMMU & KASHMIR,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,JAMMU & KASHMIR,2001,0,0
0,12,13,OTHER,0,8,JAMMU & KASHMIR,2001,0,5
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,JAMMU & KASHMIR,2001,0,0
5,28,50,TOTAL DROWNING,13,36,JAMMU & KASHMIR,2001,18,14
3,33,66,TOTAL FALLS,0,46,JAMMU & KASHMIR,2001,3,20
0,22,7,TOTAL FIRE,0,6,JAMMU & KASHMIR,2001,0,1
0,70,70,TOTAL SUDDEN DEATHS,0,55,JAMMU & KASHMIR,2001,0,15
0,23,24,TOTAL POISONING,0,16,JAMMU & KASHMIR,2001,0,8
0,1,1,ELECTROCUTION,0,0,JHARKHAND,2001,0,1
0,8,8,GAS CYLINDER/STOVE BURST,0,0,JHARKHAND,2001,0,8
0,1,1,FIRE-ARMS,0,1,JHARKHAND,2001,0,0
0,8,8,SUDDEN DEATHS(HEART ATTACKS),0,5,JHARKHAND,2001,0,3
0,1,1,EPILEPTIC FITS/GIDDINESS,0,0,JHARKHAND,2001,0,1
0,0,0,ABORTIONS/CHILD BIRTH,0,0,JHARKHAND,2001,0,0
0,9,6,INFLUENCE OF ALCOHOL,0,5,JHARKHAND,2001,0,1
0,26,26,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,JHARKHAND,2001,0,26
0,9,9,SNAKE BITE/ANIMAL BITE,0,4,JHARKHAND,2001,0,5
0,63,63,OTHER,0,0,JHARKHAND,2001,0,63
0,152,235,OTHER RAILWAY ACCIDENTS,0,206,JHARKHAND,2001,0,29
0,45,45,TOTAL DROWNING,0,0,JHARKHAND,2001,0,45
0,22,18,TOTAL FALLS,0,10,JHARKHAND,2001,0,8
0,50,50,TOTAL FIRE,0,2,JHARKHAND,2001,0,48
0,18,15,TOTAL SUDDEN DEATHS,0,10,JHARKHAND,2001,0,5
0,105,105,TOTAL POISONING,0,7,JHARKHAND,2001,0,98
1,293,294,ELECTROCUTION,4,262,KARNATAKA,2001,5,32
4,274,281,GAS CYLINDER/STOVE BURST,1,67,KARNATAKA,2001,5,214
0,89,118,FIRE-ARMS,9,54,KARNATAKA,2001,9,64
0,411,411,SUDDEN DEATHS(HEART ATTACKS),2,361,KARNATAKA,2001,2,50
1,88,92,EPILEPTIC FITS/GIDDINESS,3,72,KARNATAKA,2001,4,20
1,6,6,ABORTIONS/CHILD BIRTH,0,0,KARNATAKA,2001,1,6
0,232,234,INFLUENCE OF ALCOHOL,4,220,KARNATAKA,2001,4,14
3,114,111,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,4,69,KARNATAKA,2001,7,42
5,377,360,SNAKE BITE/ANIMAL BITE,3,258,KARNATAKA,2001,8,102
4,1166,1174,OTHER,4,850,KARNATAKA,2001,8,324
0,563,661,OTHER RAILWAY ACCIDENTS,0,561,KARNATAKA,2001,0,100
0,1507,1625,TOTAL DROWNING,0,1059,KARNATAKA,2001,0,566
1,435,436,TOTAL FALLS,3,378,KARNATAKA,2001,4,58
9,1608,1642,TOTAL FIRE,17,499,KARNATAKA,2001,26,1143
2,737,743,TOTAL SUDDEN DEATHS,9,653,KARNATAKA,2001,11,90
15,1697,1684,TOTAL POISONING,15,1202,KARNATAKA,2001,30,482
1,164,172,ELECTROCUTION,1,134,KERALA,2001,2,38
3,35,35,GAS CYLINDER/STOVE BURST,1,5,KERALA,2001,4,30
0,0,0,FIRE-ARMS,0,0,KERALA,2001,0,0
0,465,465,SUDDEN DEATHS(HEART ATTACKS),0,397,KERALA,2001,0,68
1,37,44,EPILEPTIC FITS/GIDDINESS,2,36,KERALA,2001,3,8
0,13,13,ABORTIONS/CHILD BIRTH,0,0,KERALA,2001,0,13
0,22,22,INFLUENCE OF ALCOHOL,0,22,KERALA,2001,0,0
3,49,56,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,48,KERALA,2001,6,8
0,28,28,SNAKE BITE/ANIMAL BITE,0,17,KERALA,2001,0,11
5,110,111,OTHER,10,85,KERALA,2001,15,26
58,282,338,OTHER RAILWAY ACCIDENTS,198,288,KERALA,2001,256,50
11,1192,1224,TOTAL DROWNING,22,929,KERALA,2001,33,295
2,348,355,TOTAL FALLS,5,323,KERALA,2001,7,32
17,324,327,TOTAL FIRE,13,116,KERALA,2001,30,211
1,537,544,TOTAL SUDDEN DEATHS,2,455,KERALA,2001,3,89
8,187,195,TOTAL POISONING,13,150,KERALA,2001,21,45
9,984,960,ELECTROCUTION,14,801,MADHYA PRADESH,2001,23,159
19,313,292,GAS CYLINDER/STOVE BURST,9,47,MADHYA PRADESH,2001,28,245
0,81,79,FIRE-ARMS,4,69,MADHYA PRADESH,2001,4,10
1,505,503,SUDDEN DEATHS(HEART ATTACKS),4,405,MADHYA PRADESH,2001,5,98
0,104,104,EPILEPTIC FITS/GIDDINESS,0,83,MADHYA PRADESH,2001,0,21
5,98,93,ABORTIONS/CHILD BIRTH,0,0,MADHYA PRADESH,2001,5,93
1,361,361,INFLUENCE OF ALCOHOL,0,348,MADHYA PRADESH,2001,1,13
1,2188,2211,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,1292,MADHYA PRADESH,2001,6,919
23,1340,1295,SNAKE BITE/ANIMAL BITE,22,762,MADHYA PRADESH,2001,45,533
0,503,510,OTHER,0,318,MADHYA PRADESH,2001,0,192
0,1070,1070,OTHER RAILWAY ACCIDENTS,0,903,MADHYA PRADESH,2001,0,167
3,3466,3488,TOTAL DROWNING,6,2295,MADHYA PRADESH,2001,9,1193
3,739,718,TOTAL FALLS,27,551,MADHYA PRADESH,2001,30,167
61,2556,2450,TOTAL FIRE,37,748,MADHYA PRADESH,2001,98,1702
7,1068,1061,TOTAL SUDDEN DEATHS,4,836,MADHYA PRADESH,2001,11,225
24,4052,4037,TOTAL POISONING,27,2393,MADHYA PRADESH,2001,51,1644
9,887,863,ELECTROCUTION,26,723,MAHARASHTRA,2001,35,140
11,186,190,GAS CYLINDER/STOVE BURST,9,41,MAHARASHTRA,2001,20,149
0,75,99,FIRE-ARMS,0,99,MAHARASHTRA,2001,0,0
9,3348,3319,SUDDEN DEATHS(HEART ATTACKS),20,2700,MAHARASHTRA,2001,29,619
56,1219,1009,EPILEPTIC FITS/GIDDINESS,154,768,MAHARASHTRA,2001,210,241
0,239,239,ABORTIONS/CHILD BIRTH,0,0,MAHARASHTRA,2001,0,239
0,1137,1092,INFLUENCE OF ALCOHOL,46,1060,MAHARASHTRA,2001,46,32
589,2328,2113,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,949,1355,MAHARASHTRA,2001,1538,758
90,1189,1162,SNAKE BITE/ANIMAL BITE,130,762,MAHARASHTRA,2001,220,400
22,531,488,OTHER,34,323,MAHARASHTRA,2001,56,165
314,7451,4764,OTHER RAILWAY ACCIDENTS,2406,4164,MAHARASHTRA,2001,2720,600
40,4829,4875,TOTAL DROWNING,27,3272,MAHARASHTRA,2001,67,1603
59,1826,1481,TOTAL FALLS,308,1234,MAHARASHTRA,2001,367,247
408,6443,6041,TOTAL FIRE,355,1782,MAHARASHTRA,2001,763,4259
65,5943,5659,TOTAL SUDDEN DEATHS,220,4528,MAHARASHTRA,2001,285,1131
701,4094,3808,TOTAL POISONING,1120,2477,MAHARASHTRA,2001,1821,1331
0,15,15,ELECTROCUTION,0,14,MANIPUR,2001,0,1
0,0,0,GAS CYLINDER/STOVE BURST,0,0,MANIPUR,2001,0,0
0,1,1,FIRE-ARMS,0,1,MANIPUR,2001,0,0
0,9,9,SUDDEN DEATHS(HEART ATTACKS),0,9,MANIPUR,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,MANIPUR,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,MANIPUR,2001,0,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,MANIPUR,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,MANIPUR,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,MANIPUR,2001,0,0
0,3,3,OTHER,0,3,MANIPUR,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,MANIPUR,2001,0,0
0,6,6,TOTAL DROWNING,0,5,MANIPUR,2001,0,1
0,5,5,TOTAL FALLS,0,5,MANIPUR,2001,0,0
1,6,3,TOTAL FIRE,3,1,MANIPUR,2001,4,2
0,9,9,TOTAL SUDDEN DEATHS,0,9,MANIPUR,2001,0,0
0,3,3,TOTAL POISONING,0,3,MANIPUR,2001,0,0
1,5,4,ELECTROCUTION,1,3,MEGHALAYA,2001,2,1
0,1,2,GAS CYLINDER/STOVE BURST,0,0,MEGHALAYA,2001,0,2
0,3,3,FIRE-ARMS,0,3,MEGHALAYA,2001,0,0
0,3,3,SUDDEN DEATHS(HEART ATTACKS),0,3,MEGHALAYA,2001,0,0
0,1,1,EPILEPTIC FITS/GIDDINESS,0,1,MEGHALAYA,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,MEGHALAYA,2001,0,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,MEGHALAYA,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,MEGHALAYA,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,MEGHALAYA,2001,0,0
0,0,0,OTHER,0,0,MEGHALAYA,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,MEGHALAYA,2001,0,0
0,12,15,TOTAL DROWNING,3,12,MEGHALAYA,2001,3,3
0,3,2,TOTAL FALLS,1,2,MEGHALAYA,2001,1,0
1,2,2,TOTAL FIRE,0,0,MEGHALAYA,2001,1,2
0,4,4,TOTAL SUDDEN DEATHS,0,4,MEGHALAYA,2001,0,0
0,0,0,TOTAL POISONING,0,0,MEGHALAYA,2001,0,0
0,4,4,ELECTROCUTION,0,2,MIZORAM,2001,0,2
0,1,1,GAS CYLINDER/STOVE BURST,0,1,MIZORAM,2001,0,0
0,0,0,FIRE-ARMS,0,0,MIZORAM,2001,0,0
0,5,5,SUDDEN DEATHS(HEART ATTACKS),0,5,MIZORAM,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,MIZORAM,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,MIZORAM,2001,0,0
0,1,1,INFLUENCE OF ALCOHOL,0,1,MIZORAM,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,MIZORAM,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,MIZORAM,2001,0,0
0,0,0,OTHER,0,0,MIZORAM,2001,0,0
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,MIZORAM,2001,0,0
0,10,12,TOTAL DROWNING,0,11,MIZORAM,2001,0,1
0,11,11,TOTAL FALLS,0,9,MIZORAM,2001,0,2
0,1,1,TOTAL FIRE,0,1,MIZORAM,2001,0,0
0,6,6,TOTAL SUDDEN DEATHS,0,6,MIZORAM,2001,0,0
0,2,3,TOTAL POISONING,0,3,MIZORAM,2001,0,0
0,1,1,ELECTROCUTION,0,1,NAGALAND,2001,0,0
0,0,0,GAS CYLINDER/STOVE BURST,0,0,NAGALAND,2001,0,0
0,8,9,FIRE-ARMS,0,9,NAGALAND,2001,0,0
0,1,1,SUDDEN DEATHS(HEART ATTACKS),0,1,NAGALAND,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,NAGALAND,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,NAGALAND,2001,0,0
0,0,0,INFLUENCE OF ALCOHOL,0,0,NAGALAND,2001,0,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,NAGALAND,2001,0,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,NAGALAND,2001,0,0
0,0,0,OTHER,0,0,NAGALAND,2001,0,0
0,4,4,OTHER RAILWAY ACCIDENTS,0,3,NAGALAND,2001,0,1
0,5,5,TOTAL DROWNING,0,5,NAGALAND,2001,0,0
0,2,3,TOTAL FALLS,0,3,NAGALAND,2001,0,0
0,0,0,TOTAL FIRE,0,0,NAGALAND,2001,0,0
0,1,1,TOTAL SUDDEN DEATHS,0,1,NAGALAND,2001,0,0
0,0,0,TOTAL POISONING,0,0,NAGALAND,2001,0,0
0,158,160,ELECTROCUTION,2,127,ODISHA,2001,2,33
0,30,31,GAS CYLINDER/STOVE BURST,0,9,ODISHA,2001,0,22
0,3,4,FIRE-ARMS,0,4,ODISHA,2001,0,0
0,102,102,SUDDEN DEATHS(HEART ATTACKS),0,81,ODISHA,2001,0,21
0,56,56,EPILEPTIC FITS/GIDDINESS,0,43,ODISHA,2001,0,13
0,2,2,ABORTIONS/CHILD BIRTH,0,0,ODISHA,2001,0,2
0,37,37,INFLUENCE OF ALCOHOL,0,30,ODISHA,2001,0,7
0,111,118,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,75,ODISHA,2001,0,43
0,388,388,SNAKE BITE/ANIMAL BITE,0,233,ODISHA,2001,0,155
0,468,475,OTHER,1,294,ODISHA,2001,1,181
0,339,342,OTHER RAILWAY ACCIDENTS,0,281,ODISHA,2001,0,61
12,654,639,TOTAL DROWNING,20,455,ODISHA,2001,32,184
12,325,310,TOTAL FALLS,15,230,ODISHA,2001,27,80
3,248,249,TOTAL FIRE,7,97,ODISHA,2001,10,152
0,197,197,TOTAL SUDDEN DEATHS,0,154,ODISHA,2001,0,43
0,1000,1014,TOTAL POISONING,1,617,ODISHA,2001,1,397
0,148,148,ELECTROCUTION,0,142,PUNJAB,2001,0,6
5,179,172,GAS CYLINDER/STOVE BURST,2,42,PUNJAB,2001,7,130
0,30,29,FIRE-ARMS,1,25,PUNJAB,2001,1,4
0,182,182,SUDDEN DEATHS(HEART ATTACKS),0,174,PUNJAB,2001,0,8
0,89,89,EPILEPTIC FITS/GIDDINESS,0,79,PUNJAB,2001,0,10
0,0,0,ABORTIONS/CHILD BIRTH,0,0,PUNJAB,2001,0,0
0,96,96,INFLUENCE OF ALCOHOL,0,96,PUNJAB,2001,0,0
0,143,143,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,115,PUNJAB,2001,0,28
0,34,34,SNAKE BITE/ANIMAL BITE,0,28,PUNJAB,2001,0,6
0,277,277,OTHER,0,201,PUNJAB,2001,0,76
0,572,572,OTHER RAILWAY ACCIDENTS,0,505,PUNJAB,2001,0,67
