CAUSE,FEMALE KILLED,YEAR,TOTAL INJURED,FEMALE INJURED,TOTAL KILLED,STATE/UT,CASES,MALE KILLED,MALE INJURED
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,ARUNACHAL PRADESH,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,ARUNACHAL PRADESH,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,2,ARUNACHAL PRADESH,2,2,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,2010,0,0,1,ARUNACHAL PRADESH,1,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,ARUNACHAL PRADESH,0,0,0
OTHER,16,2010,0,0,41,ARUNACHAL PRADESH,28,25,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,ARUNACHAL PRADESH,0,0,0
TOTAL DROWNING,3,2010,0,0,26,ARUNACHAL PRADESH,24,23,0
TOTAL FALLS,0,2010,0,0,20,ARUNACHAL PRADESH,20,20,0
TOTAL FIRE,2,2010,0,0,6,ARUNACHAL PRADESH,5,4,0
TOTAL SUDDEN DEATHS,0,2010,0,0,13,ARUNACHAL PRADESH,13,13,0
TOTAL POISONING,17,2010,0,0,42,ARUNACHAL PRADESH,29,25,0
ELECTROCUTION,10,2010,0,0,84,ASSAM,84,74,0
GAS CYLINDER/STOVE BURST,10,2010,0,0,11,ASSAM,11,1,0
FIRE-ARMS,0,2010,0,0,13,ASSAM,12,13,0
SUDDEN DEATHS(HEART ATTACKS),8,2010,0,0,44,ASSAM,42,36,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,3,ASSAM,4,3,0
ABORTIONS/CHILD BIRTH,10,2010,0,0,10,ASSAM,10,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,1,ASSAM,1,1,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,16,2010,0,0,35,ASSAM,33,19,0
SNAKE BITE/ANIMAL BITE,1,2010,0,0,5,ASSAM,5,4,0
OTHER,77,2010,0,0,202,ASSAM,191,125,0
OTHER RAILWAY ACCIDENTS,64,2010,6,1,441,ASSAM,441,377,5
TOTAL DROWNING,126,2010,2,0,505,ASSAM,493,379,2
TOTAL FALLS,6,2010,0,0,37,ASSAM,37,31,0
TOTAL FIRE,72,2010,0,0,129,ASSAM,124,57,0
TOTAL SUDDEN DEATHS,18,2010,0,0,58,ASSAM,57,40,0
TOTAL POISONING,94,2010,1,0,245,ASSAM,232,151,1
ELECTROCUTION,23,2010,18,5,160,BIHAR,161,137,13
GAS CYLINDER/STOVE BURST,133,2010,23,19,164,BIHAR,185,31,4
FIRE-ARMS,5,2010,31,5,23,BIHAR,49,18,26
SUDDEN DEATHS(HEART ATTACKS),20,2010,2,0,93,BIHAR,93,73,2
EPILEPTIC FITS/GIDDINESS,12,2010,8,4,29,BIHAR,35,17,4
ABORTIONS/CHILD BIRTH,8,2010,1,1,8,BIHAR,9,0,0
INFLUENCE OF ALCOHOL,3,2010,19,3,102,BIHAR,114,99,16
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,233,2010,70,29,435,BIHAR,411,202,41
SNAKE BITE/ANIMAL BITE,13,2010,4,1,34,BIHAR,37,21,3
OTHER,78,2010,24,5,244,BIHAR,225,166,19
OTHER RAILWAY ACCIDENTS,221,2010,0,0,1228,BIHAR,1224,1007,0
TOTAL DROWNING,84,2010,34,13,323,BIHAR,336,239,21
TOTAL FALLS,23,2010,28,9,115,BIHAR,127,92,19
TOTAL FIRE,353,2010,119,67,586,BIHAR,612,233,52
TOTAL SUDDEN DEATHS,43,2010,30,8,232,BIHAR,251,189,22
TOTAL POISONING,328,2010,104,35,739,BIHAR,698,411,69
ELECTROCUTION,79,2010,0,0,512,CHHATTISGARH,512,433,0
GAS CYLINDER/STOVE BURST,38,2010,0,0,47,CHHATTISGARH,47,9,0
FIRE-ARMS,6,2010,6,0,221,CHHATTISGARH,221,215,6
SUDDEN DEATHS(HEART ATTACKS),36,2010,0,0,244,CHHATTISGARH,244,208,0
EPILEPTIC FITS/GIDDINESS,17,2010,0,0,70,CHHATTISGARH,70,53,0
ABORTIONS/CHILD BIRTH,27,2010,0,0,27,CHHATTISGARH,27,0,0
INFLUENCE OF ALCOHOL,31,2010,0,0,296,CHHATTISGARH,296,265,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,209,2010,0,0,541,CHHATTISGARH,441,332,0
SNAKE BITE/ANIMAL BITE,286,2010,0,0,712,CHHATTISGARH,702,426,0
OTHER,107,2010,0,0,313,CHHATTISGARH,313,206,0
OTHER RAILWAY ACCIDENTS,105,2010,0,0,563,CHHATTISGARH,563,458,0
TOTAL DROWNING,403,2010,0,0,1474,CHHATTISGARH,1474,1071,0
TOTAL FALLS,73,2010,1,0,413,CHHATTISGARH,413,340,1
TOTAL FIRE,640,2010,0,0,924,CHHATTISGARH,923,284,0
TOTAL SUDDEN DEATHS,111,2010,0,0,637,CHHATTISGARH,637,526,0
TOTAL POISONING,606,2010,0,0,1590,CHHATTISGARH,1480,984,0
ELECTROCUTION,4,2010,0,0,17,GOA,17,13,0
GAS CYLINDER/STOVE BURST,6,2010,0,0,11,GOA,10,5,0
FIRE-ARMS,0,2010,0,0,0,GOA,0,0,0
SUDDEN DEATHS(HEART ATTACKS),1,2010,0,0,21,GOA,21,20,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,9,GOA,9,9,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,GOA,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,10,GOA,10,10,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,2010,0,0,4,GOA,4,2,0
SNAKE BITE/ANIMAL BITE,4,2010,0,0,5,GOA,5,1,0
OTHER,4,2010,0,0,6,GOA,6,2,0
OTHER RAILWAY ACCIDENTS,9,2010,0,0,55,GOA,55,46,0
TOTAL DROWNING,24,2010,0,0,185,GOA,175,161,0
TOTAL FALLS,15,2010,0,0,120,GOA,120,105,0
TOTAL FIRE,25,2010,0,0,37,GOA,36,12,0
TOTAL SUDDEN DEATHS,1,2010,0,0,40,GOA,40,39,0
TOTAL POISONING,10,2010,0,0,15,GOA,15,5,0
ELECTROCUTION,116,2010,5,0,728,GUJARAT,726,612,5
GAS CYLINDER/STOVE BURST,645,2010,19,12,882,GUJARAT,897,237,7
FIRE-ARMS,2,2010,0,0,7,GUJARAT,7,5,0
SUDDEN DEATHS(HEART ATTACKS),244,2010,0,0,2271,GUJARAT,2270,2027,0
EPILEPTIC FITS/GIDDINESS,135,2010,3,1,615,GUJARAT,615,480,2
ABORTIONS/CHILD BIRTH,40,2010,0,0,40,GUJARAT,40,0,0
INFLUENCE OF ALCOHOL,3,2010,0,0,18,GUJARAT,18,15,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,189,2010,83,33,479,GUJARAT,540,290,50
SNAKE BITE/ANIMAL BITE,263,2010,121,54,646,GUJARAT,765,383,67
OTHER,102,2010,0,0,377,GUJARAT,372,275,0
OTHER RAILWAY ACCIDENTS,141,2010,0,0,1011,GUJARAT,1011,870,0
TOTAL DROWNING,338,2010,7,2,1892,GUJARAT,1846,1554,5
TOTAL FALLS,217,2010,59,13,1344,GUJARAT,1394,1127,46
TOTAL FIRE,1723,2010,65,40,2651,GUJARAT,2693,928,25
TOTAL SUDDEN DEATHS,422,2010,3,1,2944,GUJARAT,2943,2522,2
TOTAL POISONING,594,2010,204,87,1622,GUJARAT,1797,1028,117
ELECTROCUTION,17,2010,0,0,373,HARYANA,373,356,0
GAS CYLINDER/STOVE BURST,149,2010,0,0,210,HARYANA,210,61,0
FIRE-ARMS,0,2010,0,0,2,HARYANA,2,2,0
SUDDEN DEATHS(HEART ATTACKS),32,2010,0,0,472,HARYANA,472,440,0
EPILEPTIC FITS/GIDDINESS,6,2010,0,0,75,HARYANA,76,69,0
ABORTIONS/CHILD BIRTH,11,2010,0,0,11,HARYANA,11,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,269,HARYANA,269,269,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,83,2010,0,0,353,HARYANA,353,270,0
SNAKE BITE/ANIMAL BITE,9,2010,0,0,79,HARYANA,80,70,0
OTHER,36,2010,0,0,201,HARYANA,201,165,0
OTHER RAILWAY ACCIDENTS,133,2010,0,0,1195,HARYANA,1195,1062,0
TOTAL DROWNING,82,2010,0,0,631,HARYANA,631,549,0
TOTAL FALLS,26,2010,0,0,277,HARYANA,277,251,0
TOTAL FIRE,249,2010,0,0,440,HARYANA,440,191,0
TOTAL SUDDEN DEATHS,49,2010,0,0,827,HARYANA,828,778,0
TOTAL POISONING,134,2010,0,0,663,HARYANA,664,529,0
ELECTROCUTION,0,2010,0,0,18,HIMACHAL PRADESH,18,18,0
GAS CYLINDER/STOVE BURST,11,2010,10,3,16,HIMACHAL PRADESH,20,5,7
FIRE-ARMS,0,2010,0,0,1,HIMACHAL PRADESH,1,1,0
SUDDEN DEATHS(HEART ATTACKS),13,2010,0,0,150,HIMACHAL PRADESH,150,137,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,4,HIMACHAL PRADESH,4,4,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,HIMACHAL PRADESH,0,0,0
INFLUENCE OF ALCOHOL,2,2010,3,0,69,HIMACHAL PRADESH,72,67,3
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,30,2010,7,4,64,HIMACHAL PRADESH,71,34,3
SNAKE BITE/ANIMAL BITE,11,2010,2,2,24,HIMACHAL PRADESH,26,13,0
OTHER,39,2010,0,0,127,HIMACHAL PRADESH,127,88,0
OTHER RAILWAY ACCIDENTS,3,2010,0,0,20,HIMACHAL PRADESH,20,17,0
TOTAL DROWNING,30,2010,3,1,143,HIMACHAL PRADESH,144,113,2
TOTAL FALLS,32,2010,3,1,339,HIMACHAL PRADESH,341,307,2
TOTAL FIRE,38,2010,15,4,71,HIMACHAL PRADESH,79,33,11
TOTAL SUDDEN DEATHS,15,2010,3,0,223,HIMACHAL PRADESH,226,208,3
TOTAL POISONING,80,2010,9,6,215,HIMACHAL PRADESH,224,135,3
ELECTROCUTION,0,2010,0,0,13,JAMMU & KASHMIR,13,13,0
GAS CYLINDER/STOVE BURST,15,2010,16,14,19,JAMMU & KASHMIR,79,4,2
FIRE-ARMS,1,2010,11,0,26,JAMMU & KASHMIR,17,25,11
SUDDEN DEATHS(HEART ATTACKS),4,2010,0,0,40,JAMMU & KASHMIR,40,36,0
EPILEPTIC FITS/GIDDINESS,1,2010,0,0,5,JAMMU & KASHMIR,5,4,0
ABORTIONS/CHILD BIRTH,2,2010,0,0,2,JAMMU & KASHMIR,2,0,0
INFLUENCE OF ALCOHOL,1,2010,0,0,10,JAMMU & KASHMIR,10,9,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,2,JAMMU & KASHMIR,2,2,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,1,JAMMU & KASHMIR,1,1,0
OTHER,5,2010,2,1,18,JAMMU & KASHMIR,18,13,1
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,JAMMU & KASHMIR,0,0,0
TOTAL DROWNING,21,2010,0,0,60,JAMMU & KASHMIR,57,39,0
TOTAL FALLS,10,2010,5,1,51,JAMMU & KASHMIR,52,41,4
TOTAL FIRE,20,2010,25,15,45,JAMMU & KASHMIR,110,25,10
TOTAL SUDDEN DEATHS,8,2010,0,0,57,JAMMU & KASHMIR,57,49,0
TOTAL POISONING,8,2010,4,3,24,JAMMU & KASHMIR,29,16,1
ELECTROCUTION,19,2010,6,1,104,JHARKHAND,102,85,5
GAS CYLINDER/STOVE BURST,34,2010,9,9,54,JHARKHAND,55,20,0
FIRE-ARMS,8,2010,2,0,16,JHARKHAND,11,8,2
SUDDEN DEATHS(HEART ATTACKS),14,2010,12,0,60,JHARKHAND,71,46,12
EPILEPTIC FITS/GIDDINESS,5,2010,3,0,24,JHARKHAND,27,19,3
ABORTIONS/CHILD BIRTH,15,2010,0,0,15,JHARKHAND,15,0,0
INFLUENCE OF ALCOHOL,7,2010,14,0,61,JHARKHAND,66,54,14
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,110,2010,12,12,227,JHARKHAND,232,117,0
SNAKE BITE/ANIMAL BITE,5,2010,3,1,28,JHARKHAND,28,23,2
OTHER,36,2010,2,2,137,JHARKHAND,140,101,0
OTHER RAILWAY ACCIDENTS,49,2010,1,0,289,JHARKHAND,289,240,1
TOTAL DROWNING,86,2010,20,7,306,JHARKHAND,311,220,13
TOTAL FALLS,39,2010,14,3,146,JHARKHAND,143,107,11
TOTAL FIRE,180,2010,26,18,306,JHARKHAND,289,126,8
TOTAL SUDDEN DEATHS,41,2010,29,0,160,JHARKHAND,179,119,29
TOTAL POISONING,161,2010,17,15,421,JHARKHAND,427,260,2
ELECTROCUTION,61,2010,4,0,349,KARNATAKA,342,288,4
GAS CYLINDER/STOVE BURST,296,2010,12,8,384,KARNATAKA,410,88,4
FIRE-ARMS,12,2010,1,0,25,KARNATAKA,24,13,1
SUDDEN DEATHS(HEART ATTACKS),48,2010,0,0,523,KARNATAKA,521,475,0
EPILEPTIC FITS/GIDDINESS,19,2010,0,0,92,KARNATAKA,92,73,0
ABORTIONS/CHILD BIRTH,9,2010,0,0,9,KARNATAKA,16,0,0
INFLUENCE OF ALCOHOL,14,2010,0,0,325,KARNATAKA,325,311,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,56,2010,0,0,173,KARNATAKA,168,117,0
SNAKE BITE/ANIMAL BITE,288,2010,6,3,842,KARNATAKA,805,554,3
OTHER,458,2010,31,6,1439,KARNATAKA,1407,981,25
OTHER RAILWAY ACCIDENTS,252,2010,0,0,1568,KARNATAKA,1555,1316,0
TOTAL DROWNING,504,2010,8,2,2141,KARNATAKA,2061,1637,6
TOTAL FALLS,82,2010,11,2,496,KARNATAKA,531,414,9
TOTAL FIRE,1052,2010,35,16,1551,KARNATAKA,1572,499,19
TOTAL SUDDEN DEATHS,90,2010,0,0,949,KARNATAKA,954,859,0
TOTAL POISONING,883,2010,37,9,2727,KARNATAKA,2653,1844,28
ELECTROCUTION,47,2010,1,0,239,KERALA,233,192,1
GAS CYLINDER/STOVE BURST,39,2010,0,0,41,KERALA,41,2,0
FIRE-ARMS,0,2010,0,0,1,KERALA,1,1,0
SUDDEN DEATHS(HEART ATTACKS),270,2010,0,0,1799,KERALA,1799,1529,0
EPILEPTIC FITS/GIDDINESS,38,2010,0,0,150,KERALA,150,112,0
ABORTIONS/CHILD BIRTH,8,2010,0,0,8,KERALA,8,0,0
INFLUENCE OF ALCOHOL,4,2010,0,0,92,KERALA,89,88,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,11,2010,0,0,22,KERALA,21,11,0
SNAKE BITE/ANIMAL BITE,11,2010,0,0,60,KERALA,60,49,0
OTHER,18,2010,0,0,71,KERALA,69,53,0
OTHER RAILWAY ACCIDENTS,75,2010,0,0,437,KERALA,432,362,0
TOTAL DROWNING,323,2010,13,3,1732,KERALA,1694,1409,10
TOTAL FALLS,56,2010,3,0,695,KERALA,694,639,3
TOTAL FIRE,207,2010,0,0,335,KERALA,331,128,0
TOTAL SUDDEN DEATHS,320,2010,0,0,2049,KERALA,2046,1729,0
TOTAL POISONING,40,2010,0,0,153,KERALA,150,113,0
ELECTROCUTION,265,2010,4,1,1273,MADHYA PRADESH,1265,1008,3
GAS CYLINDER/STOVE BURST,82,2010,17,8,122,MADHYA PRADESH,130,40,9
FIRE-ARMS,11,2010,49,6,141,MADHYA PRADESH,181,130,43
SUDDEN DEATHS(HEART ATTACKS),122,2010,0,0,804,MADHYA PRADESH,804,682,0
EPILEPTIC FITS/GIDDINESS,48,2010,0,0,167,MADHYA PRADESH,167,119,0
ABORTIONS/CHILD BIRTH,164,2010,0,0,164,MADHYA PRADESH,168,0,0
INFLUENCE OF ALCOHOL,17,2010,0,0,480,MADHYA PRADESH,480,463,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1054,2010,45,16,2572,MADHYA PRADESH,2568,1518,29
SNAKE BITE/ANIMAL BITE,1095,2010,0,0,2346,MADHYA PRADESH,2346,1251,0
OTHER,198,2010,0,0,440,MADHYA PRADESH,440,242,0
OTHER RAILWAY ACCIDENTS,321,2010,0,0,1798,MADHYA PRADESH,1797,1477,0
TOTAL DROWNING,1412,2010,28,10,4459,MADHYA PRADESH,4475,3047,18
TOTAL FALLS,198,2010,25,9,852,MADHYA PRADESH,872,654,16
TOTAL FIRE,2211,2010,77,30,3215,MADHYA PRADESH,3138,1004,47
TOTAL SUDDEN DEATHS,351,2010,0,0,1615,MADHYA PRADESH,1619,1264,0
TOTAL POISONING,2350,2010,57,20,5428,MADHYA PRADESH,5476,3078,37
ELECTROCUTION,196,2010,201,34,1313,MAHARASHTRA,1505,1117,167
GAS CYLINDER/STOVE BURST,479,2010,56,25,596,MAHARASHTRA,609,117,31
FIRE-ARMS,0,2010,2,0,11,MAHARASHTRA,13,11,2
SUDDEN DEATHS(HEART ATTACKS),829,2010,3826,1530,6196,MAHARASHTRA,10018,5367,2296
EPILEPTIC FITS/GIDDINESS,380,2010,430,147,1896,MAHARASHTRA,2321,1516,283
ABORTIONS/CHILD BIRTH,328,2010,54,54,328,MAHARASHTRA,382,0,0
INFLUENCE OF ALCOHOL,29,2010,362,3,1437,MAHARASHTRA,1798,1408,359
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,437,2010,1334,625,1254,MAHARASHTRA,2529,817,709
SNAKE BITE/ANIMAL BITE,413,2010,3720,1617,1067,MAHARASHTRA,4774,654,2103
OTHER,38,2010,1345,598,139,MAHARASHTRA,1463,101,747
OTHER RAILWAY ACCIDENTS,596,2010,3370,459,5005,MAHARASHTRA,8369,4409,2911
TOTAL DROWNING,1339,2010,182,95,5388,MAHARASHTRA,5421,4049,87
TOTAL FALLS,323,2010,1829,528,2309,MAHARASHTRA,4129,1986,1301
TOTAL FIRE,4088,2010,1916,1228,5536,MAHARASHTRA,7337,1448,688
TOTAL SUDDEN DEATHS,1566,2010,4672,1734,9857,MAHARASHTRA,14519,8291,2938
TOTAL POISONING,891,2010,6399,2840,2484,MAHARASHTRA,8784,1593,3559
ELECTROCUTION,1,2010,0,0,9,MANIPUR,9,8,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,MANIPUR,0,0,0
FIRE-ARMS,0,2010,0,0,0,MANIPUR,0,0,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,5,MANIPUR,5,5,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,MANIPUR,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,MANIPUR,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,1,MANIPUR,1,1,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,1,MANIPUR,1,1,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,MANIPUR,0,0,0
OTHER,0,2010,0,0,0,MANIPUR,0,0,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,MANIPUR,0,0,0
TOTAL DROWNING,1,2010,0,0,13,MANIPUR,13,12,0
TOTAL FALLS,0,2010,0,0,6,MANIPUR,6,6,0
TOTAL FIRE,1,2010,0,0,5,MANIPUR,4,4,0
TOTAL SUDDEN DEATHS,0,2010,0,0,6,MANIPUR,6,6,0
TOTAL POISONING,0,2010,0,0,1,MANIPUR,1,1,0
ELECTROCUTION,2,2010,0,0,10,MEGHALAYA,10,8,0
GAS CYLINDER/STOVE BURST,2,2010,0,0,2,MEGHALAYA,2,0,0
FIRE-ARMS,0,2010,0,0,0,MEGHALAYA,0,0,0
SUDDEN DEATHS(HEART ATTACKS),3,2010,0,0,12,MEGHALAYA,12,9,0
EPILEPTIC FITS/GIDDINESS,1,2010,0,0,1,MEGHALAYA,1,0,0
ABORTIONS/CHILD BIRTH,1,2010,0,0,1,MEGHALAYA,1,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,9,MEGHALAYA,9,9,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,1,MEGHALAYA,1,1,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,MEGHALAYA,0,0,0
OTHER,2,2010,0,0,4,MEGHALAYA,4,2,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,MEGHALAYA,0,0,0
TOTAL DROWNING,8,2010,0,0,35,MEGHALAYA,33,27,0
TOTAL FALLS,1,2010,0,0,28,MEGHALAYA,28,27,0
TOTAL FIRE,7,2010,0,0,16,MEGHALAYA,15,9,0
TOTAL SUDDEN DEATHS,5,2010,0,0,23,MEGHALAYA,23,18,0
TOTAL POISONING,2,2010,0,0,5,MEGHALAYA,5,3,0
ELECTROCUTION,1,2010,0,0,7,MIZORAM,7,6,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,MIZORAM,0,0,0
FIRE-ARMS,0,2010,0,0,2,MIZORAM,2,2,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,10,MIZORAM,10,10,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,MIZORAM,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,MIZORAM,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,0,MIZORAM,0,0,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,2010,0,0,2,MIZORAM,2,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,4,MIZORAM,4,4,0
OTHER,0,2010,0,0,1,MIZORAM,1,1,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,MIZORAM,0,0,0
TOTAL DROWNING,6,2010,0,0,25,MIZORAM,23,19,0
TOTAL FALLS,0,2010,0,0,7,MIZORAM,7,7,0
TOTAL FIRE,4,2010,0,0,12,MIZORAM,9,8,0
TOTAL SUDDEN DEATHS,0,2010,0,0,10,MIZORAM,10,10,0
TOTAL POISONING,2,2010,0,0,7,MIZORAM,7,5,0
ELECTROCUTION,0,2010,2,0,2,NAGALAND,1,2,2
GAS CYLINDER/STOVE BURST,0,2010,0,0,1,NAGALAND,1,1,0
FIRE-ARMS,0,2010,0,0,0,NAGALAND,0,0,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,1,NAGALAND,1,1,0
EPILEPTIC FITS/GIDDINESS,0,2010,0,0,0,NAGALAND,0,0,0
ABORTIONS/CHILD BIRTH,0,2010,0,0,0,NAGALAND,0,0,0
INFLUENCE OF ALCOHOL,0,2010,0,0,0,NAGALAND,0,0,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2010,0,0,0,NAGALAND,0,0,0
SNAKE BITE/ANIMAL BITE,0,2010,0,0,0,NAGALAND,0,0,0
OTHER,0,2010,0,0,1,NAGALAND,1,1,0
OTHER RAILWAY ACCIDENTS,0,2010,0,0,0,NAGALAND,0,0,0
TOTAL DROWNING,1,2010,0,0,4,NAGALAND,4,3,0
TOTAL FALLS,0,2010,0,0,3,NAGALAND,3,3,0
TOTAL FIRE,0,2010,0,0,2,NAGALAND,2,2,0
TOTAL SUDDEN DEATHS,0,2010,0,0,1,NAGALAND,1,1,0
TOTAL POISONING,0,2010,0,0,1,NAGALAND,1,1,0
ELECTROCUTION,27,2010,0,0,184,ODISHA,184,157,0
GAS CYLINDER/STOVE BURST,113,2010,5,0,185,ODISHA,182,72,5
FIRE-ARMS,0,2010,0,0,1,ODISHA,1,1,0
SUDDEN DEATHS(HEART ATTACKS),14,2010,0,0,112,ODISHA,105,98,0
EPILEPTIC FITS/GIDDINESS,11,2010,0,0,23,ODISHA,23,12,0
ABORTIONS/CHILD BIRTH,3,2010,0,0,3,ODISHA,3,0,0
INFLUENCE OF ALCOHOL,4,2010,0,0,30,ODISHA,30,26,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,100,2010,0,0,172,ODISHA,172,72,0
SNAKE BITE/ANIMAL BITE,164,2010,5,0,414,ODISHA,414,250,5
OTHER,168,2010,0,0,415,ODISHA,409,247,0
OTHER RAILWAY ACCIDENTS,11,2010,0,0,37,ODISHA,36,26,0
TOTAL DROWNING,113,2010,8,4,444,ODISHA,429,331,4
TOTAL FALLS,93,2010,1,0,430,ODISHA,427,337,1
TOTAL FIRE,319,2010,8,1,532,ODISHA,528,213,7
TOTAL SUDDEN DEATHS,32,2010,0,0,168,ODISHA,161,136,0
TOTAL POISONING,435,2010,5,0,1016,ODISHA,1010,581,5
ELECTROCUTION,23,2010,9,5,338,PUNJAB,340,315,4
GAS CYLINDER/STOVE BURST,123,2010,6,6,171,PUNJAB,177,48,0
FIRE-ARMS,3,2010,12,0,22,PUNJAB,34,19,12
SUDDEN DEATHS(HEART ATTACKS),59,2010,0,0,557,PUNJAB,555,498,0
EPILEPTIC FITS/GIDDINESS,10,2010,0,0,67,PUNJAB,67,57,0
ABORTIONS/CHILD BIRTH,6,2010,0,0,6,PUNJAB,6,0,0
INFLUENCE OF ALCOHOL,8,2010,0,0,234,PUNJAB,234,226,0
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,115,2010,0,0,313,PUNJAB,312,198,0
SNAKE BITE/ANIMAL BITE,6,2010,0,0,70,PUNJAB,70,64,0
OTHER,58,2010,0,0,199,PUNJAB,199,141,0
