TOTAL KILLED,CASES,FEMALE KILLED,CAUSE,YEAR,MALE INJURED,MALE KILLED,TOTAL INJURED,STATE/UT,FEMALE INJURED
64,61,2,INFLUENCE OF ALCOHOL,2007,2,62,3,BIHAR,1
347,339,167,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,8,180,14,BIHAR,6
72,75,32,SNAKE BITE/ANIMAL BITE,2007,7,40,9,BIHAR,2
246,271,83,OTHER,2007,35,163,60,BIHAR,25
1320,1319,216,RAILWAY ACCIDENTS,2007,63,1104,79,BIHAR,16
514,415,153,DROWNING,2007,47,361,62,BIHAR,15
79,89,21,FALLS,2007,6,58,10,BIHAR,4
390,396,267,FIRE,2007,38,123,87,BIHAR,49
153,160,31,SUDDEN DEATHS,2007,13,122,23,BIHAR,10
746,759,315,POISONING,2007,58,431,91,BIHAR,33
415,416,69,ELECTROCUTION,2007,0,346,0,CHHATTISGARH,0
14,14,9,GAS CYLINDER/STOVE BURST,2007,0,5,0,CHHATTISGARH,0
232,226,11,FIRE-ARMS,2007,4,221,4,CHHATTISGARH,0
226,230,39,SUDDEN DEATHS(HEART ATTACKS),2007,0,187,0,CHHATTISGARH,0
98,98,27,EPILEPTIC FITS/GIDDINESS,2007,0,71,0,CHHATTISGARH,0
29,29,29,ABORTIONS/CHILD BIRTH,2007,0,0,0,CHHATTISGARH,0
211,211,16,INFLUENCE OF ALCOHOL,2007,0,195,0,CHHATTISGARH,0
437,434,175,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,262,0,CHHATTISGARH,0
783,783,344,SNAKE BITE/ANIMAL BITE,2007,0,439,0,CHHATTISGARH,0
269,269,82,OTHER,2007,0,187,0,CHHATTISGARH,0
493,493,95,RAILWAY ACCIDENTS,2007,0,398,0,CHHATTISGARH,0
1425,1424,449,DROWNING,2007,1,976,2,CHHATTISGARH,1
413,413,66,FALLS,2007,2,347,2,CHHATTISGARH,0
574,575,409,FIRE,2007,0,165,0,CHHATTISGARH,0
564,568,111,SUDDEN DEATHS,2007,0,453,0,CHHATTISGARH,0
1535,1532,618,POISONING,2007,0,917,0,CHHATTISGARH,0
29,29,2,ELECTROCUTION,2007,1,27,2,GOA,1
15,15,12,GAS CYLINDER/STOVE BURST,2007,0,3,0,GOA,0
0,0,0,FIRE-ARMS,2007,0,0,0,GOA,0
7,7,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,7,0,GOA,0
3,3,1,EPILEPTIC FITS/GIDDINESS,2007,0,2,0,GOA,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,GOA,0
6,6,0,INFLUENCE OF ALCOHOL,2007,0,6,0,GOA,0
4,4,4,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,GOA,0
2,2,0,SNAKE BITE/ANIMAL BITE,2007,0,2,0,GOA,0
11,11,4,OTHER,2007,0,7,0,GOA,0
27,27,1,RAILWAY ACCIDENTS,2007,0,26,0,GOA,0
214,206,28,DROWNING,2007,0,186,0,GOA,0
104,103,5,FALLS,2007,0,99,0,GOA,0
52,52,39,FIRE,2007,0,13,0,GOA,0
16,16,1,SUDDEN DEATHS,2007,0,15,0,GOA,0
17,17,8,POISONING,2007,0,9,0,GOA,0
472,471,84,ELECTROCUTION,2007,2,388,2,GUJARAT,0
782,780,581,GAS CYLINDER/STOVE BURST,2007,0,201,7,GUJARAT,7
3,3,2,FIRE-ARMS,2007,0,1,0,GUJARAT,0
1412,1412,171,SUDDEN DEATHS(HEART ATTACKS),2007,0,1241,0,GUJARAT,0
578,577,126,EPILEPTIC FITS/GIDDINESS,2007,0,452,0,GUJARAT,0
46,45,46,ABORTIONS/CHILD BIRTH,2007,0,0,0,GUJARAT,0
38,38,4,INFLUENCE OF ALCOHOL,2007,0,34,0,GUJARAT,0
391,425,158,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,18,233,40,GUJARAT,22
527,593,214,SNAKE BITE/ANIMAL BITE,2007,29,313,68,GUJARAT,39
343,343,100,OTHER,2007,2,243,2,GUJARAT,0
1196,1196,124,RAILWAY ACCIDENTS,2007,3,1072,3,GUJARAT,0
1957,1898,328,DROWNING,2007,12,1629,14,GUJARAT,2
1007,1024,179,FALLS,2007,20,828,31,GUJARAT,11
2429,2491,1658,FIRE,2007,67,771,140,GUJARAT,73
2074,2072,347,SUDDEN DEATHS,2007,0,1727,0,GUJARAT,0
1386,1486,492,POISONING,2007,49,894,110,GUJARAT,61
295,293,18,ELECTROCUTION,2007,0,277,0,HARYANA,0
124,124,75,GAS CYLINDER/STOVE BURST,2007,0,49,0,HARYANA,0
11,11,2,FIRE-ARMS,2007,0,9,0,HARYANA,0
375,375,28,SUDDEN DEATHS(HEART ATTACKS),2007,0,347,0,HARYANA,0
58,58,8,EPILEPTIC FITS/GIDDINESS,2007,0,50,0,HARYANA,0
8,8,8,ABORTIONS/CHILD BIRTH,2007,0,0,0,HARYANA,0
190,190,0,INFLUENCE OF ALCOHOL,2007,0,190,0,HARYANA,0
265,265,85,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,180,0,HARYANA,0
81,81,10,SNAKE BITE/ANIMAL BITE,2007,0,71,0,HARYANA,0
662,662,205,OTHER,2007,0,457,0,HARYANA,0
1092,1092,121,RAILWAY ACCIDENTS,2007,249,971,282,HARYANA,33
523,523,87,DROWNING,2007,0,436,0,HARYANA,0
214,214,23,FALLS,2007,0,191,0,HARYANA,0
344,331,199,FIRE,2007,0,145,0,HARYANA,0
631,631,44,SUDDEN DEATHS,2007,0,587,0,HARYANA,0
1066,1066,313,POISONING,2007,0,753,0,HARYANA,0
18,14,0,ELECTROCUTION,2007,0,18,0,HIMACHAL PRADESH,0
15,13,8,GAS CYLINDER/STOVE BURST,2007,0,7,0,HIMACHAL PRADESH,0
0,0,0,FIRE-ARMS,2007,0,0,0,HIMACHAL PRADESH,0
114,114,13,SUDDEN DEATHS(HEART ATTACKS),2007,0,101,0,HIMACHAL PRADESH,0
8,8,1,EPILEPTIC FITS/GIDDINESS,2007,0,7,0,HIMACHAL PRADESH,0
2,2,2,ABORTIONS/CHILD BIRTH,2007,0,0,0,HIMACHAL PRADESH,0
68,68,1,INFLUENCE OF ALCOHOL,2007,0,67,0,HIMACHAL PRADESH,0
105,105,54,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,51,0,HIMACHAL PRADESH,0
6,6,1,SNAKE BITE/ANIMAL BITE,2007,0,5,0,HIMACHAL PRADESH,0
61,61,16,OTHER,2007,0,45,0,HIMACHAL PRADESH,0
17,17,1,RAILWAY ACCIDENTS,2007,0,16,0,HIMACHAL PRADESH,0
111,109,27,DROWNING,2007,0,84,0,HIMACHAL PRADESH,0
236,235,20,FALLS,2007,0,216,0,HIMACHAL PRADESH,0
50,46,17,FIRE,2007,0,33,0,HIMACHAL PRADESH,0
192,192,17,SUDDEN DEATHS,2007,0,175,0,HIMACHAL PRADESH,0
176,173,71,POISONING,2007,0,105,0,HIMACHAL PRADESH,0
18,19,4,ELECTROCUTION,2007,1,14,2,JAMMU & KASHMIR,1
6,6,4,GAS CYLINDER/STOVE BURST,2007,0,2,0,JAMMU & KASHMIR,0
105,139,2,FIRE-ARMS,2007,108,103,111,JAMMU & KASHMIR,3
21,21,2,SUDDEN DEATHS(HEART ATTACKS),2007,0,19,0,JAMMU & KASHMIR,0
5,5,2,EPILEPTIC FITS/GIDDINESS,2007,0,3,0,JAMMU & KASHMIR,0
4,4,4,ABORTIONS/CHILD BIRTH,2007,0,0,0,JAMMU & KASHMIR,0
5,5,0,INFLUENCE OF ALCOHOL,2007,0,5,0,JAMMU & KASHMIR,0
22,23,12,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,3,10,3,JAMMU & KASHMIR,0
0,7,0,SNAKE BITE/ANIMAL BITE,2007,6,0,7,JAMMU & KASHMIR,1
22,22,8,OTHER,2007,0,14,0,JAMMU & KASHMIR,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,JAMMU & KASHMIR,0
48,48,9,DROWNING,2007,1,39,1,JAMMU & KASHMIR,0
49,46,8,FALLS,2007,0,41,0,JAMMU & KASHMIR,0
36,38,12,FIRE,2007,4,24,4,JAMMU & KASHMIR,0
35,35,8,SUDDEN DEATHS,2007,0,27,0,JAMMU & KASHMIR,0
50,59,21,POISONING,2007,10,29,14,JAMMU & KASHMIR,4
94,100,15,ELECTROCUTION,2007,15,79,17,JHARKHAND,2
56,56,26,GAS CYLINDER/STOVE BURST,2007,0,30,1,JHARKHAND,1
48,38,19,FIRE-ARMS,2007,1,29,1,JHARKHAND,0
65,64,11,SUDDEN DEATHS(HEART ATTACKS),2007,3,54,3,JHARKHAND,0
11,11,5,EPILEPTIC FITS/GIDDINESS,2007,0,6,0,JHARKHAND,0
9,9,9,ABORTIONS/CHILD BIRTH,2007,0,0,0,JHARKHAND,0
57,59,6,INFLUENCE OF ALCOHOL,2007,3,51,3,JHARKHAND,0
246,265,94,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,35,152,38,JHARKHAND,3
32,41,15,SNAKE BITE/ANIMAL BITE,2007,7,17,9,JHARKHAND,2
78,74,20,OTHER,2007,0,58,0,JHARKHAND,0
579,586,140,RAILWAY ACCIDENTS,2007,5,439,7,JHARKHAND,2
345,353,84,DROWNING,2007,36,261,44,JHARKHAND,8
131,144,20,FALLS,2007,9,111,13,JHARKHAND,4
354,403,201,FIRE,2007,60,153,87,JHARKHAND,27
142,143,31,SUDDEN DEATHS,2007,6,111,6,JHARKHAND,0
387,410,133,POISONING,2007,44,254,50,JHARKHAND,6
351,354,51,ELECTROCUTION,2007,17,300,18,KARNATAKA,1
292,279,205,GAS CYLINDER/STOVE BURST,2007,6,87,14,KARNATAKA,8
28,21,15,FIRE-ARMS,2007,0,13,0,KARNATAKA,0
564,568,62,SUDDEN DEATHS(HEART ATTACKS),2007,9,502,9,KARNATAKA,0
62,62,18,EPILEPTIC FITS/GIDDINESS,2007,1,44,1,KARNATAKA,0
17,17,17,ABORTIONS/CHILD BIRTH,2007,0,0,0,KARNATAKA,0
251,248,15,INFLUENCE OF ALCOHOL,2007,2,236,2,KARNATAKA,0
68,51,23,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,2,45,2,KARNATAKA,0
637,644,215,SNAKE BITE/ANIMAL BITE,2007,0,422,2,KARNATAKA,2
752,769,176,OTHER,2007,6,576,8,KARNATAKA,2
1232,1232,175,RAILWAY ACCIDENTS,2007,0,1057,0,KARNATAKA,0
1968,1938,500,DROWNING,2007,63,1468,76,KARNATAKA,13
516,518,55,FALLS,2007,10,461,13,KARNATAKA,3
1587,1567,1030,FIRE,2007,13,557,30,KARNATAKA,17
894,895,112,SUDDEN DEATHS,2007,12,782,12,KARNATAKA,0
1619,1623,480,POISONING,2007,8,1139,12,KARNATAKA,4
174,171,31,ELECTROCUTION,2007,0,143,0,KERALA,0
15,15,13,GAS CYLINDER/STOVE BURST,2007,0,2,0,KERALA,0
0,0,0,FIRE-ARMS,2007,0,0,0,KERALA,0
1057,1057,108,SUDDEN DEATHS(HEART ATTACKS),2007,0,949,0,KERALA,0
48,48,11,EPILEPTIC FITS/GIDDINESS,2007,0,37,0,KERALA,0
7,7,7,ABORTIONS/CHILD BIRTH,2007,0,0,0,KERALA,0
54,54,1,INFLUENCE OF ALCOHOL,2007,0,53,0,KERALA,0
20,20,10,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,10,0,KERALA,0
38,38,9,SNAKE BITE/ANIMAL BITE,2007,0,29,0,KERALA,0
53,52,16,OTHER,2007,0,37,0,KERALA,0
345,335,55,RAILWAY ACCIDENTS,2007,0,290,0,KERALA,0
1733,1679,344,DROWNING,2007,0,1389,0,KERALA,0
634,633,58,FALLS,2007,0,576,0,KERALA,0
280,279,175,FIRE,2007,1,105,1,KERALA,0
1166,1166,127,SUDDEN DEATHS,2007,0,1039,0,KERALA,0
113,111,36,POISONING,2007,0,77,0,KERALA,0
1287,1296,250,ELECTROCUTION,2007,20,1037,22,MADHYA PRADESH,2
234,234,130,GAS CYLINDER/STOVE BURST,2007,3,104,7,MADHYA PRADESH,4
83,82,28,FIRE-ARMS,2007,1,55,1,MADHYA PRADESH,0
728,728,125,SUDDEN DEATHS(HEART ATTACKS),2007,0,603,0,MADHYA PRADESH,0
270,270,76,EPILEPTIC FITS/GIDDINESS,2007,0,194,0,MADHYA PRADESH,0
171,171,171,ABORTIONS/CHILD BIRTH,2007,0,0,0,MADHYA PRADESH,0
344,344,8,INFLUENCE OF ALCOHOL,2007,0,336,0,MADHYA PRADESH,0
2021,2031,791,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,10,1230,14,MADHYA PRADESH,4
2155,2155,904,SNAKE BITE/ANIMAL BITE,2007,1,1251,1,MADHYA PRADESH,0
241,239,102,OTHER,2007,0,139,0,MADHYA PRADESH,0
1472,1472,237,RAILWAY ACCIDENTS,2007,4,1235,5,MADHYA PRADESH,1
3951,3956,1247,DROWNING,2007,26,2704,36,MADHYA PRADESH,10
850,846,162,FALLS,2007,8,688,10,MADHYA PRADESH,2
2457,2486,1583,FIRE,2007,39,874,78,MADHYA PRADESH,39
1513,1513,380,SUDDEN DEATHS,2007,0,1133,0,MADHYA PRADESH,0
4457,4465,1804,POISONING,2007,11,2653,15,MADHYA PRADESH,4
1109,1281,173,ELECTROCUTION,2007,146,936,185,MAHARASHTRA,39
220,223,181,GAS CYLINDER/STOVE BURST,2007,2,39,4,MAHARASHTRA,2
16,17,1,FIRE-ARMS,2007,1,15,2,MAHARASHTRA,1
5031,8413,732,SUDDEN DEATHS(HEART ATTACKS),2007,1959,4299,3382,MAHARASHTRA,1423
1340,1822,302,EPILEPTIC FITS/GIDDINESS,2007,326,1038,483,MAHARASHTRA,157
342,366,342,ABORTIONS/CHILD BIRTH,2007,0,0,25,MAHARASHTRA,25
1265,1504,21,INFLUENCE OF ALCOHOL,2007,245,1244,249,MAHARASHTRA,4
1110,2462,338,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,766,772,1382,MAHARASHTRA,616
1095,2747,437,SNAKE BITE/ANIMAL BITE,2007,1102,658,1656,MAHARASHTRA,554
90,650,16,OTHER,2007,447,74,755,MAHARASHTRA,308
5139,8521,547,RAILWAY ACCIDENTS,2007,2990,4592,3413,MAHARASHTRA,423
5145,5258,1405,DROWNING,2007,134,3740,197,MAHARASHTRA,63
2109,3660,304,FALLS,2007,1240,1805,1566,MAHARASHTRA,326
5008,6533,3595,FIRE,2007,644,1413,1667,MAHARASHTRA,1023
7978,12105,1397,SUDDEN DEATHS,2007,2530,6581,4139,MAHARASHTRA,1609
2299,5863,791,POISONING,2007,2315,1508,3793,MAHARASHTRA,1478
11,11,1,ELECTROCUTION,2007,0,10,0,MANIPUR,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,MANIPUR,0
0,0,0,FIRE-ARMS,2007,0,0,0,MANIPUR,0
9,9,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,9,0,MANIPUR,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,MANIPUR,0
6,6,6,ABORTIONS/CHILD BIRTH,2007,0,0,0,MANIPUR,0
0,0,0,INFLUENCE OF ALCOHOL,2007,0,0,0,MANIPUR,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,MANIPUR,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,MANIPUR,0
3,3,0,OTHER,2007,0,3,0,MANIPUR,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,MANIPUR,0
16,11,4,DROWNING,2007,0,12,0,MANIPUR,0
2,2,0,FALLS,2007,0,2,0,MANIPUR,0
1,1,1,FIRE,2007,0,0,0,MANIPUR,0
15,15,6,SUDDEN DEATHS,2007,0,9,0,MANIPUR,0
3,3,0,POISONING,2007,0,3,0,MANIPUR,0
11,12,0,ELECTROCUTION,2007,1,11,1,MEGHALAYA,0
3,3,2,GAS CYLINDER/STOVE BURST,2007,0,1,0,MEGHALAYA,0
2,4,0,FIRE-ARMS,2007,2,2,2,MEGHALAYA,0
3,3,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,3,0,MEGHALAYA,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,MEGHALAYA,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,MEGHALAYA,0
1,1,0,INFLUENCE OF ALCOHOL,2007,0,1,0,MEGHALAYA,0
1,1,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,1,0,MEGHALAYA,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,MEGHALAYA,0
0,0,0,OTHER,2007,0,0,0,MEGHALAYA,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,MEGHALAYA,0
40,40,14,DROWNING,2007,2,26,2,MEGHALAYA,0
13,13,2,FALLS,2007,0,11,0,MEGHALAYA,0
11,10,5,FIRE,2007,0,6,0,MEGHALAYA,0
4,4,0,SUDDEN DEATHS,2007,0,4,0,MEGHALAYA,0
1,1,0,POISONING,2007,0,1,0,MEGHALAYA,0
0,0,0,ELECTROCUTION,2007,0,0,0,MIZORAM,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,MIZORAM,0
0,0,0,FIRE-ARMS,2007,0,0,0,MIZORAM,0
0,0,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,0,0,MIZORAM,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,MIZORAM,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,MIZORAM,0
0,0,0,INFLUENCE OF ALCOHOL,2007,0,0,0,MIZORAM,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,MIZORAM,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,MIZORAM,0
0,0,0,OTHER,2007,0,0,0,MIZORAM,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,MIZORAM,0
1,1,1,DROWNING,2007,0,0,0,MIZORAM,0
7,7,0,FALLS,2007,0,7,0,MIZORAM,0
1,1,0,FIRE,2007,0,1,0,MIZORAM,0
0,0,0,SUDDEN DEATHS,2007,0,0,0,MIZORAM,0
0,0,0,POISONING,2007,0,0,0,MIZORAM,0
0,0,0,ELECTROCUTION,2007,0,0,0,NAGALAND,0
0,0,0,GAS CYLINDER/STOVE BURST,2007,0,0,0,NAGALAND,0
3,3,0,FIRE-ARMS,2007,0,3,0,NAGALAND,0
1,1,0,SUDDEN DEATHS(HEART ATTACKS),2007,0,1,0,NAGALAND,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,NAGALAND,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,NAGALAND,0
2,2,0,INFLUENCE OF ALCOHOL,2007,0,2,0,NAGALAND,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,NAGALAND,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,NAGALAND,0
0,0,0,OTHER,2007,0,0,0,NAGALAND,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,NAGALAND,0
6,5,0,DROWNING,2007,0,6,0,NAGALAND,0
3,3,0,FALLS,2007,0,3,0,NAGALAND,0
6,6,2,FIRE,2007,0,4,0,NAGALAND,0
3,3,0,SUDDEN DEATHS,2007,0,3,0,NAGALAND,0
0,0,0,POISONING,2007,0,0,0,NAGALAND,0
127,126,18,ELECTROCUTION,2007,0,109,0,ODISHA,0
39,39,27,GAS CYLINDER/STOVE BURST,2007,0,12,0,ODISHA,0
9,9,0,FIRE-ARMS,2007,0,9,0,ODISHA,0
60,57,15,SUDDEN DEATHS(HEART ATTACKS),2007,0,45,0,ODISHA,0
39,39,11,EPILEPTIC FITS/GIDDINESS,2007,0,28,0,ODISHA,0
6,6,6,ABORTIONS/CHILD BIRTH,2007,0,0,0,ODISHA,0
32,32,0,INFLUENCE OF ALCOHOL,2007,0,32,0,ODISHA,0
361,330,87,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,274,0,ODISHA,0
434,535,146,SNAKE BITE/ANIMAL BITE,2007,0,288,0,ODISHA,0
395,382,168,OTHER,2007,0,227,0,ODISHA,0
295,295,51,RAILWAY ACCIDENTS,2007,0,244,0,ODISHA,0
655,614,197,DROWNING,2007,0,458,0,ODISHA,0
388,387,69,FALLS,2007,0,319,1,ODISHA,1
260,260,140,FIRE,2007,0,120,0,ODISHA,0
137,134,32,SUDDEN DEATHS,2007,0,105,0,ODISHA,0
1213,1264,405,POISONING,2007,0,808,0,ODISHA,0
254,254,10,ELECTROCUTION,2007,0,244,0,PUNJAB,0
147,147,113,GAS CYLINDER/STOVE BURST,2007,0,34,0,PUNJAB,0
24,24,4,FIRE-ARMS,2007,0,20,0,PUNJAB,0
513,513,60,SUDDEN DEATHS(HEART ATTACKS),2007,0,453,0,PUNJAB,0
75,75,10,EPILEPTIC FITS/GIDDINESS,2007,0,65,0,PUNJAB,0
6,6,6,ABORTIONS/CHILD BIRTH,2007,0,0,0,PUNJAB,0
231,231,0,INFLUENCE OF ALCOHOL,2007,0,231,0,PUNJAB,0
331,331,100,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,231,0,PUNJAB,0
46,46,9,SNAKE BITE/ANIMAL BITE,2007,0,37,0,PUNJAB,0
295,294,79,OTHER,2007,0,216,0,PUNJAB,0
789,686,103,RAILWAY ACCIDENTS,2007,0,686,0,PUNJAB,0
501,500,53,DROWNING,2007,0,448,0,PUNJAB,0
177,177,10,FALLS,2007,0,167,0,PUNJAB,0
380,376,212,FIRE,2007,0,168,0,PUNJAB,0
825,825,76,SUDDEN DEATHS,2007,0,749,0,PUNJAB,0
860,859,240,POISONING,2007,0,620,0,PUNJAB,0
516,517,56,ELECTROCUTION,2007,0,460,0,RAJASTHAN,0
102,102,76,GAS CYLINDER/STOVE BURST,2007,6,26,6,RAJASTHAN,0
3,3,1,FIRE-ARMS,2007,0,2,0,RAJASTHAN,0
422,417,59,SUDDEN DEATHS(HEART ATTACKS),2007,0,363,0,RAJASTHAN,0
120,120,23,EPILEPTIC FITS/GIDDINESS,2007,0,97,0,RAJASTHAN,0
15,15,15,ABORTIONS/CHILD BIRTH,2007,0,0,0,RAJASTHAN,0
208,199,2,INFLUENCE OF ALCOHOL,2007,0,206,0,RAJASTHAN,0
1055,1049,323,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,732,0,RAJASTHAN,0
266,266,88,SNAKE BITE/ANIMAL BITE,2007,0,178,0,RAJASTHAN,0
