MALE KILLED,CASES,YEAR,MALE INJURED,TOTAL KILLED,STATE/UT,FEMALE KILLED,CAUSE,FEMALE INJURED,TOTAL INJURED
378,686,2008,0,686,CHHATTISGARH,308,SNAKE BITE/ANIMAL BITE,0,0
180,293,2008,0,293,CHHATTISGARH,113,OTHER,0,0
407,503,2008,1,503,CHHATTISGARH,96,OTHER RAILWAY ACCIDENTS,0,1
966,1438,2008,0,1438,CHHATTISGARH,472,TOTAL DROWNING,0,0
341,416,2008,0,416,CHHATTISGARH,75,TOTAL FALLS,0,0
240,727,2008,0,728,CHHATTISGARH,488,TOTAL FIRE,0,0
412,537,2008,0,534,CHHATTISGARH,122,TOTAL SUDDEN DEATHS,0,0
820,1376,2008,0,1399,CHHATTISGARH,579,TOTAL POISONING,0,0
18,18,2008,0,18,GOA,0,ELECTROCUTION,0,0
2,14,2008,0,14,GOA,12,GAS CYLINDER/STOVE BURST,0,0
0,0,2008,0,0,GOA,0,FIRE-ARMS,0,0
26,27,2008,0,27,GOA,1,SUDDEN DEATHS(HEART ATTACKS),0,0
3,3,2008,0,3,GOA,0,EPILEPTIC FITS/GIDDINESS,0,0
0,3,2008,0,3,GOA,3,ABORTIONS/CHILD BIRTH,0,0
13,14,2008,0,14,GOA,1,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,GOA,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
1,2,2008,0,2,GOA,1,SNAKE BITE/ANIMAL BITE,0,0
1,2,2008,0,2,GOA,1,OTHER,0,0
30,30,2008,0,30,GOA,0,OTHER RAILWAY ACCIDENTS,0,0
170,174,2008,1,181,GOA,11,TOTAL DROWNING,0,1
97,108,2008,0,108,GOA,11,TOTAL FALLS,0,0
12,51,2008,0,51,GOA,39,TOTAL FIRE,0,0
42,47,2008,0,47,GOA,5,TOTAL SUDDEN DEATHS,0,0
2,4,2008,0,4,GOA,2,TOTAL POISONING,0,0
340,426,2008,6,421,GUJARAT,81,ELECTROCUTION,2,8
217,850,2008,14,804,GUJARAT,587,GAS CYLINDER/STOVE BURST,30,44
3,3,2008,3,3,GUJARAT,0,FIRE-ARMS,10,13
1532,1718,2008,0,1712,GUJARAT,180,SUDDEN DEATHS(HEART ATTACKS),0,0
347,432,2008,0,432,GUJARAT,85,EPILEPTIC FITS/GIDDINESS,0,0
0,35,2008,0,35,GUJARAT,35,ABORTIONS/CHILD BIRTH,0,0
22,25,2008,0,25,GUJARAT,3,INFLUENCE OF ALCOHOL,0,0
282,473,2008,51,451,GUJARAT,169,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,24,75
381,682,2008,26,617,GUJARAT,236,SNAKE BITE/ANIMAL BITE,38,64
234,382,2008,14,346,GUJARAT,112,OTHER,33,47
1003,1147,2008,0,1148,GUJARAT,145,OTHER RAILWAY ACCIDENTS,0,0
1640,1953,2008,36,1961,GUJARAT,321,TOTAL DROWNING,12,48
887,1091,2008,29,1078,GUJARAT,191,TOTAL FALLS,10,39
898,2752,2008,44,2697,GUJARAT,1799,TOTAL FIRE,86,130
1901,2210,2008,0,2204,GUJARAT,303,TOTAL SUDDEN DEATHS,0,0
1011,1687,2008,91,1564,GUJARAT,553,TOTAL POISONING,95,186
300,326,2008,0,326,HARYANA,26,ELECTROCUTION,0,0
41,125,2008,0,125,HARYANA,84,GAS CYLINDER/STOVE BURST,0,0
23,21,2008,0,25,HARYANA,2,FIRE-ARMS,0,0
416,453,2008,0,453,HARYANA,37,SUDDEN DEATHS(HEART ATTACKS),0,0
35,43,2008,0,43,HARYANA,8,EPILEPTIC FITS/GIDDINESS,0,0
0,19,2008,0,19,HARYANA,19,ABORTIONS/CHILD BIRTH,0,0
222,222,2008,0,222,HARYANA,0,INFLUENCE OF ALCOHOL,0,0
161,227,2008,0,229,HARYANA,68,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
40,48,2008,0,48,HARYANA,8,SNAKE BITE/ANIMAL BITE,0,0
199,282,2008,0,282,HARYANA,83,OTHER,0,0
961,1081,2008,0,1081,HARYANA,120,OTHER RAILWAY ACCIDENTS,0,0
482,564,2008,0,565,HARYANA,83,TOTAL DROWNING,0,0
192,223,2008,0,223,HARYANA,31,TOTAL FALLS,0,0
184,378,2008,0,378,HARYANA,194,TOTAL FIRE,0,0
673,737,2008,0,737,HARYANA,64,TOTAL SUDDEN DEATHS,0,0
468,633,2008,0,635,HARYANA,167,TOTAL POISONING,0,0
16,17,2008,0,17,HIMACHAL PRADESH,1,ELECTROCUTION,0,0
1,13,2008,0,14,HIMACHAL PRADESH,13,GAS CYLINDER/STOVE BURST,0,0
2,5,2008,2,3,HIMACHAL PRADESH,1,FIRE-ARMS,0,2
115,123,2008,0,123,HIMACHAL PRADESH,8,SUDDEN DEATHS(HEART ATTACKS),0,0
2,4,2008,0,4,HIMACHAL PRADESH,2,EPILEPTIC FITS/GIDDINESS,0,0
0,3,2008,0,3,HIMACHAL PRADESH,3,ABORTIONS/CHILD BIRTH,0,0
91,88,2008,0,91,HIMACHAL PRADESH,0,INFLUENCE OF ALCOHOL,0,0
76,117,2008,1,137,HIMACHAL PRADESH,61,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,6,7
9,11,2008,0,11,HIMACHAL PRADESH,2,SNAKE BITE/ANIMAL BITE,0,0
100,146,2008,0,146,HIMACHAL PRADESH,46,OTHER,0,0
19,22,2008,0,22,HIMACHAL PRADESH,3,OTHER RAILWAY ACCIDENTS,0,0
107,134,2008,0,143,HIMACHAL PRADESH,36,TOTAL DROWNING,0,0
257,281,2008,0,291,HIMACHAL PRADESH,34,TOTAL FALLS,0,0
37,73,2008,2,73,HIMACHAL PRADESH,36,TOTAL FIRE,0,2
208,218,2008,0,221,HIMACHAL PRADESH,13,TOTAL SUDDEN DEATHS,0,0
186,275,2008,1,295,HIMACHAL PRADESH,109,TOTAL POISONING,6,7
13,15,2008,0,14,JAMMU & KASHMIR,1,ELECTROCUTION,3,3
4,8,2008,0,8,JAMMU & KASHMIR,4,GAS CYLINDER/STOVE BURST,0,0
26,24,2008,8,26,JAMMU & KASHMIR,0,FIRE-ARMS,1,9
41,46,2008,0,49,JAMMU & KASHMIR,8,SUDDEN DEATHS(HEART ATTACKS),0,0
9,14,2008,0,14,JAMMU & KASHMIR,5,EPILEPTIC FITS/GIDDINESS,0,0
0,1,2008,0,1,JAMMU & KASHMIR,1,ABORTIONS/CHILD BIRTH,0,0
6,6,2008,0,6,JAMMU & KASHMIR,0,INFLUENCE OF ALCOHOL,0,0
9,19,2008,1,17,JAMMU & KASHMIR,8,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,1
1,5,2008,1,1,JAMMU & KASHMIR,0,SNAKE BITE/ANIMAL BITE,3,4
22,63,2008,0,37,JAMMU & KASHMIR,15,OTHER,0,0
0,0,2008,0,0,JAMMU & KASHMIR,0,OTHER RAILWAY ACCIDENTS,0,0
20,32,2008,2,34,JAMMU & KASHMIR,14,TOTAL DROWNING,0,2
36,46,2008,1,46,JAMMU & KASHMIR,10,TOTAL FALLS,2,3
23,36,2008,0,36,JAMMU & KASHMIR,13,TOTAL FIRE,0,0
56,67,2008,0,70,JAMMU & KASHMIR,14,TOTAL SUDDEN DEATHS,0,0
35,89,2008,2,58,JAMMU & KASHMIR,23,TOTAL POISONING,3,5
55,75,2008,6,75,JHARKHAND,20,ELECTROCUTION,0,6
7,23,2008,0,24,JHARKHAND,17,GAS CYLINDER/STOVE BURST,2,2
1,1,2008,0,1,JHARKHAND,0,FIRE-ARMS,0,0
65,72,2008,2,78,JHARKHAND,13,SUDDEN DEATHS(HEART ATTACKS),0,2
16,20,2008,0,20,JHARKHAND,4,EPILEPTIC FITS/GIDDINESS,0,0
0,4,2008,0,4,JHARKHAND,4,ABORTIONS/CHILD BIRTH,0,0
56,60,2008,2,60,JHARKHAND,4,INFLUENCE OF ALCOHOL,0,2
124,200,2008,8,201,JHARKHAND,77,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,10
13,25,2008,0,25,JHARKHAND,12,SNAKE BITE/ANIMAL BITE,1,1
10,15,2008,0,15,JHARKHAND,5,OTHER,0,0
395,477,2008,0,478,JHARKHAND,83,OTHER RAILWAY ACCIDENTS,0,0
238,303,2008,14,315,JHARKHAND,77,TOTAL DROWNING,5,19
88,119,2008,11,107,JHARKHAND,19,TOTAL FALLS,5,16
82,210,2008,7,199,JHARKHAND,117,TOTAL FIRE,9,16
137,156,2008,4,162,JHARKHAND,25,TOTAL SUDDEN DEATHS,0,4
163,260,2008,10,261,JHARKHAND,98,TOTAL POISONING,4,14
312,391,2008,11,388,KARNATAKA,76,ELECTROCUTION,0,11
71,277,2008,8,260,KARNATAKA,189,GAS CYLINDER/STOVE BURST,10,18
5,8,2008,0,7,KARNATAKA,2,FIRE-ARMS,0,0
552,645,2008,7,637,KARNATAKA,85,SUDDEN DEATHS(HEART ATTACKS),1,8
51,63,2008,0,63,KARNATAKA,12,EPILEPTIC FITS/GIDDINESS,0,0
0,10,2008,0,10,KARNATAKA,10,ABORTIONS/CHILD BIRTH,0,0
262,284,2008,0,283,KARNATAKA,21,INFLUENCE OF ALCOHOL,0,0
78,102,2008,0,104,KARNATAKA,26,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
421,642,2008,5,658,KARNATAKA,237,SNAKE BITE/ANIMAL BITE,4,9
683,908,2008,114,856,KARNATAKA,173,OTHER,9,123
1226,1411,2008,0,1418,KARNATAKA,192,OTHER RAILWAY ACCIDENTS,0,0
1549,2090,2008,10,2173,KARNATAKA,624,TOTAL DROWNING,5,15
415,472,2008,10,462,KARNATAKA,47,TOTAL FALLS,2,12
582,1614,2008,11,1587,KARNATAKA,1005,TOTAL FIRE,16,27
865,1002,2008,7,993,KARNATAKA,128,TOTAL SUDDEN DEATHS,1,8
1338,1865,2008,119,1838,KARNATAKA,500,TOTAL POISONING,13,132
170,193,2008,15,198,KERALA,28,ELECTROCUTION,0,15
6,27,2008,1,28,KERALA,22,GAS CYLINDER/STOVE BURST,0,1
1,1,2008,0,1,KERALA,0,FIRE-ARMS,0,0
1153,1327,2008,0,1327,KERALA,174,SUDDEN DEATHS(HEART ATTACKS),0,0
79,95,2008,0,95,KERALA,16,EPILEPTIC FITS/GIDDINESS,0,0
0,14,2008,0,14,KERALA,14,ABORTIONS/CHILD BIRTH,0,0
92,96,2008,0,96,KERALA,4,INFLUENCE OF ALCOHOL,0,0
6,11,2008,1,11,KERALA,5,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,2
55,73,2008,0,73,KERALA,18,SNAKE BITE/ANIMAL BITE,0,0
13,18,2008,1,19,KERALA,6,OTHER,0,1
432,513,2008,0,516,KERALA,84,OTHER RAILWAY ACCIDENTS,0,0
1368,1629,2008,0,1683,KERALA,315,TOTAL DROWNING,0,0
623,665,2008,0,667,KERALA,44,TOTAL FALLS,0,0
121,302,2008,6,306,KERALA,185,TOTAL FIRE,2,8
1324,1532,2008,0,1532,KERALA,208,TOTAL SUDDEN DEATHS,0,0
74,102,2008,2,103,KERALA,29,TOTAL POISONING,1,3
992,1195,2008,39,1178,MADHYA PRADESH,186,ELECTROCUTION,5,44
36,167,2008,13,155,MADHYA PRADESH,119,GAS CYLINDER/STOVE BURST,27,40
73,81,2008,12,81,MADHYA PRADESH,8,FIRE-ARMS,2,14
771,948,2008,0,948,MADHYA PRADESH,177,SUDDEN DEATHS(HEART ATTACKS),0,0
208,270,2008,0,270,MADHYA PRADESH,62,EPILEPTIC FITS/GIDDINESS,0,0
0,143,2008,0,143,MADHYA PRADESH,143,ABORTIONS/CHILD BIRTH,0,0
355,362,2008,0,362,MADHYA PRADESH,7,INFLUENCE OF ALCOHOL,0,0
1136,2112,2008,41,2093,MADHYA PRADESH,957,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,15,56
1167,2033,2008,7,2033,MADHYA PRADESH,866,SNAKE BITE/ANIMAL BITE,5,12
281,489,2008,0,504,MADHYA PRADESH,223,OTHER,0,0
1343,1599,2008,0,1599,MADHYA PRADESH,256,OTHER RAILWAY ACCIDENTS,0,0
2515,3794,2008,49,3798,MADHYA PRADESH,1283,TOTAL DROWNING,29,78
719,910,2008,43,897,MADHYA PRADESH,178,TOTAL FALLS,8,51
997,2925,2008,90,2773,MADHYA PRADESH,1776,TOTAL FIRE,101,191
1334,1723,2008,0,1723,MADHYA PRADESH,389,TOTAL SUDDEN DEATHS,0,0
2626,4685,2008,48,4681,MADHYA PRADESH,2055,TOTAL POISONING,20,68
914,1188,2008,82,1098,MAHARASHTRA,184,ELECTROCUTION,20,102
61,300,2008,4,290,MAHARASHTRA,229,GAS CYLINDER/STOVE BURST,7,11
6,6,2008,0,6,MAHARASHTRA,0,FIRE-ARMS,0,0
4520,8539,2008,1925,5263,MAHARASHTRA,743,SUDDEN DEATHS(HEART ATTACKS),1356,3281
1057,1714,2008,249,1348,MAHARASHTRA,291,EPILEPTIC FITS/GIDDINESS,117,366
0,403,2008,0,373,MAHARASHTRA,373,ABORTIONS/CHILD BIRTH,30,30
1346,1649,2008,296,1358,MAHARASHTRA,12,INFLUENCE OF ALCOHOL,2,298
955,3055,2008,1059,1390,MAHARASHTRA,435,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,762,1821
725,2512,2008,897,1155,MAHARASHTRA,430,SNAKE BITE/ANIMAL BITE,466,1363
28,54,2008,9,38,MAHARASHTRA,10,OTHER,8,17
4484,8420,2008,2948,5061,MAHARASHTRA,577,OTHER RAILWAY ACCIDENTS,423,3371
3680,4988,2008,53,5052,MAHARASHTRA,1372,TOTAL DROWNING,26,79
1921,3687,2008,1159,2279,MAHARASHTRA,358,TOTAL FALLS,266,1425
1390,7022,2008,603,5449,MAHARASHTRA,4059,TOTAL FIRE,1020,1623
6923,12305,2008,2470,8342,MAHARASHTRA,1419,TOTAL SUDDEN DEATHS,1505,3975
1748,5652,2008,2038,2635,MAHARASHTRA,887,TOTAL POISONING,1238,3276
7,8,2008,0,9,MANIPUR,2,ELECTROCUTION,0,0
0,0,2008,0,0,MANIPUR,0,GAS CYLINDER/STOVE BURST,0,0
3,3,2008,0,3,MANIPUR,0,FIRE-ARMS,0,0
13,14,2008,0,14,MANIPUR,1,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,2008,0,0,MANIPUR,0,EPILEPTIC FITS/GIDDINESS,0,0
0,1,2008,0,1,MANIPUR,1,ABORTIONS/CHILD BIRTH,0,0
0,0,2008,0,0,MANIPUR,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,MANIPUR,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,MANIPUR,0,SNAKE BITE/ANIMAL BITE,0,0
2,3,2008,0,3,MANIPUR,1,OTHER,0,0
0,0,2008,0,0,MANIPUR,0,OTHER RAILWAY ACCIDENTS,0,0
7,8,2008,0,8,MANIPUR,1,TOTAL DROWNING,0,0
8,9,2008,0,9,MANIPUR,1,TOTAL FALLS,0,0
1,2,2008,0,3,MANIPUR,2,TOTAL FIRE,0,0
13,15,2008,0,15,MANIPUR,2,TOTAL SUDDEN DEATHS,0,0
2,3,2008,0,3,MANIPUR,1,TOTAL POISONING,0,0
6,9,2008,0,9,MEGHALAYA,3,ELECTROCUTION,0,0
3,10,2008,0,10,MEGHALAYA,7,GAS CYLINDER/STOVE BURST,0,0
3,3,2008,2,3,MEGHALAYA,0,FIRE-ARMS,0,2
4,6,2008,0,6,MEGHALAYA,2,SUDDEN DEATHS(HEART ATTACKS),0,0
10,14,2008,0,14,MEGHALAYA,4,EPILEPTIC FITS/GIDDINESS,0,0
0,4,2008,0,4,MEGHALAYA,4,ABORTIONS/CHILD BIRTH,0,0
4,4,2008,0,4,MEGHALAYA,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,MEGHALAYA,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,MEGHALAYA,0,SNAKE BITE/ANIMAL BITE,0,0
53,55,2008,0,55,MEGHALAYA,2,OTHER,0,0
0,0,2008,0,0,MEGHALAYA,0,OTHER RAILWAY ACCIDENTS,0,0
22,26,2008,0,28,MEGHALAYA,6,TOTAL DROWNING,0,0
12,11,2008,0,12,MEGHALAYA,0,TOTAL FALLS,0,0
5,14,2008,0,14,MEGHALAYA,9,TOTAL FIRE,0,0
18,28,2008,0,28,MEGHALAYA,10,TOTAL SUDDEN DEATHS,0,0
53,55,2008,0,55,MEGHALAYA,2,TOTAL POISONING,0,0
3,3,2008,0,3,MIZORAM,0,ELECTROCUTION,0,0
0,0,2008,0,0,MIZORAM,0,GAS CYLINDER/STOVE BURST,0,0
1,1,2008,0,1,MIZORAM,0,FIRE-ARMS,0,0
2,3,2008,1,2,MIZORAM,0,SUDDEN DEATHS(HEART ATTACKS),0,1
0,0,2008,0,0,MIZORAM,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,MIZORAM,0,ABORTIONS/CHILD BIRTH,0,0
0,0,2008,0,0,MIZORAM,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,MIZORAM,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,MIZORAM,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,MIZORAM,0,OTHER,0,0
0,0,2008,0,0,MIZORAM,0,OTHER RAILWAY ACCIDENTS,0,0
15,19,2008,0,21,MIZORAM,6,TOTAL DROWNING,0,0
13,14,2008,0,14,MIZORAM,1,TOTAL FALLS,0,0
3,3,2008,0,5,MIZORAM,2,TOTAL FIRE,0,0
2,3,2008,1,2,MIZORAM,0,TOTAL SUDDEN DEATHS,0,1
4,2,2008,0,4,MIZORAM,0,TOTAL POISONING,0,0
4,4,2008,0,4,NAGALAND,0,ELECTROCUTION,0,0
0,0,2008,0,0,NAGALAND,0,GAS CYLINDER/STOVE BURST,0,0
18,10,2008,2,18,NAGALAND,0,FIRE-ARMS,0,2
4,4,2008,0,4,NAGALAND,0,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,2008,0,0,NAGALAND,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,NAGALAND,0,ABORTIONS/CHILD BIRTH,0,0
0,0,2008,0,0,NAGALAND,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,NAGALAND,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,2008,0,0,NAGALAND,0,SNAKE BITE/ANIMAL BITE,0,0
0,0,2008,0,0,NAGALAND,0,OTHER,0,0
8,10,2008,0,10,NAGALAND,2,OTHER RAILWAY ACCIDENTS,0,0
12,12,2008,0,12,NAGALAND,0,TOTAL DROWNING,0,0
10,2,2008,0,10,NAGALAND,0,TOTAL FALLS,0,0
4,8,2008,0,8,NAGALAND,4,TOTAL FIRE,0,0
4,4,2008,0,4,NAGALAND,0,TOTAL SUDDEN DEATHS,0,0
0,0,2008,0,0,NAGALAND,0,TOTAL POISONING,0,0
136,164,2008,0,166,ODISHA,30,ELECTROCUTION,0,0
1,7,2008,1,7,ODISHA,6,GAS CYLINDER/STOVE BURST,0,1
3,3,2008,2,3,ODISHA,0,FIRE-ARMS,0,2
118,155,2008,1,155,ODISHA,37,SUDDEN DEATHS(HEART ATTACKS),0,1
20,29,2008,0,29,ODISHA,9,EPILEPTIC FITS/GIDDINESS,0,0
0,6,2008,0,6,ODISHA,6,ABORTIONS/CHILD BIRTH,0,0
43,47,2008,3,48,ODISHA,5,INFLUENCE OF ALCOHOL,0,3
43,66,2008,0,66,ODISHA,23,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
326,477,2008,44,478,ODISHA,152,SNAKE BITE/ANIMAL BITE,19,63
213,316,2008,18,317,ODISHA,104,OTHER,6,24
21,25,2008,0,25,ODISHA,4,OTHER RAILWAY ACCIDENTS,0,0
501,664,2008,15,679,ODISHA,178,TOTAL DROWNING,3,18
309,388,2008,44,389,ODISHA,80,TOTAL FALLS,14,58
183,423,2008,58,423,ODISHA,240,TOTAL FIRE,152,210
181,237,2008,4,238,ODISHA,57,TOTAL SUDDEN DEATHS,0,4
587,861,2008,62,866,ODISHA,279,TOTAL POISONING,25,87
274,268,2008,0,289,PUNJAB,15,ELECTROCUTION,0,0
37,151,2008,0,150,PUNJAB,113,GAS CYLINDER/STOVE BURST,0,0
33,24,2008,0,38,PUNJAB,5,FIRE-ARMS,0,0
450,453,2008,0,490,PUNJAB,40,SUDDEN DEATHS(HEART ATTACKS),0,0
60,68,2008,0,68,PUNJAB,8,EPILEPTIC FITS/GIDDINESS,0,0
0,11,2008,0,3,PUNJAB,3,ABORTIONS/CHILD BIRTH,0,0
194,176,2008,0,201,PUNJAB,7,INFLUENCE OF ALCOHOL,0,0
206,257,2008,0,284,PUNJAB,78,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
35,43,2008,0,45,PUNJAB,10,SNAKE BITE/ANIMAL BITE,0,0
159,187,2008,0,206,PUNJAB,47,OTHER,0,0
