FEMALE KILLED,YEAR,MALE KILLED,STATE/UT,CASES,FEMALE INJURED,MALE INJURED,TOTAL INJURED,TOTAL KILLED,CAUSE
114,2011,178,BIHAR,304,27,53,80,292,OTHER
290,2011,1554,BIHAR,1831,0,0,0,1844,OTHER RAILWAY ACCIDENTS
133,2011,390,BIHAR,503,28,62,90,523,TOTAL DROWNING
15,2011,103,BIHAR,137,9,22,31,118,TOTAL FALLS
412,2011,241,BIHAR,628,75,94,169,653,TOTAL FIRE
40,2011,227,BIHAR,281,7,31,38,267,TOTAL SUDDEN DEATHS
298,2011,534,BIHAR,848,62,98,160,832,TOTAL POISONING
86,2011,405,CHHATTISGARH,491,0,1,1,491,ELECTROCUTION
26,2011,6,CHHATTISGARH,32,0,0,0,32,GAS CYLINDER/STOVE BURST
6,2011,90,CHHATTISGARH,109,0,13,13,96,FIRE-ARMS
50,2011,229,CHHATTISGARH,279,0,0,0,279,SUDDEN DEATHS(HEART ATTACKS)
11,2011,66,CHHATTISGARH,77,0,0,0,77,EPILEPTIC FITS/GIDDINESS
13,2011,0,CHHATTISGARH,13,0,0,0,13,ABORTIONS/CHILD BIRTH
31,2011,239,CHHATTISGARH,270,0,0,0,270,INFLUENCE OF ALCOHOL
270,2011,414,CHHATTISGARH,684,0,0,0,684,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
385,2011,438,CHHATTISGARH,823,0,0,0,823,SNAKE BITE/ANIMAL BITE
142,2011,272,CHHATTISGARH,414,0,0,0,414,OTHER
108,2011,500,CHHATTISGARH,584,0,0,0,608,OTHER RAILWAY ACCIDENTS
502,2011,1183,CHHATTISGARH,1685,1,0,1,1685,TOTAL DROWNING
91,2011,384,CHHATTISGARH,475,0,0,0,475,TOTAL FALLS
715,2011,278,CHHATTISGARH,993,0,0,0,993,TOTAL FIRE
105,2011,534,CHHATTISGARH,639,0,0,0,639,TOTAL SUDDEN DEATHS
797,2011,1126,CHHATTISGARH,1923,0,0,0,1923,TOTAL POISONING
2,2011,19,GOA,21,0,0,0,21,ELECTROCUTION
5,2011,0,GOA,5,0,0,0,5,GAS CYLINDER/STOVE BURST
0,2011,0,GOA,1,0,1,1,0,FIRE-ARMS
2,2011,7,GOA,9,0,0,0,9,SUDDEN DEATHS(HEART ATTACKS)
0,2011,4,GOA,4,0,0,0,4,EPILEPTIC FITS/GIDDINESS
0,2011,0,GOA,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,6,GOA,6,0,0,0,6,INFLUENCE OF ALCOHOL
2,2011,3,GOA,5,0,0,0,5,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,4,GOA,4,0,0,0,4,SNAKE BITE/ANIMAL BITE
0,2011,2,GOA,2,0,0,0,2,OTHER
1,2011,41,GOA,42,0,0,0,42,OTHER RAILWAY ACCIDENTS
12,2011,136,GOA,148,0,0,0,148,TOTAL DROWNING
10,2011,103,GOA,113,0,0,0,113,TOTAL FALLS
24,2011,16,GOA,37,0,1,1,40,TOTAL FIRE
2,2011,17,GOA,19,0,0,0,19,TOTAL SUDDEN DEATHS
2,2011,9,GOA,11,0,0,0,11,TOTAL POISONING
125,2011,466,GUJARAT,596,2,10,12,591,ELECTROCUTION
559,2011,176,GUJARAT,762,21,8,29,735,GAS CYLINDER/STOVE BURST
2,2011,1,GUJARAT,3,0,0,0,3,FIRE-ARMS
211,2011,1750,GUJARAT,1952,0,0,0,1961,SUDDEN DEATHS(HEART ATTACKS)
105,2011,489,GUJARAT,594,0,0,0,594,EPILEPTIC FITS/GIDDINESS
39,2011,0,GUJARAT,39,0,0,0,39,ABORTIONS/CHILD BIRTH
2,2011,21,GUJARAT,23,0,0,0,23,INFLUENCE OF ALCOHOL
126,2011,243,GUJARAT,491,59,79,138,369,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
206,2011,341,GUJARAT,569,13,25,38,547,SNAKE BITE/ANIMAL BITE
155,2011,191,GUJARAT,341,0,0,0,346,OTHER
141,2011,929,GUJARAT,1070,0,0,0,1070,OTHER RAILWAY ACCIDENTS
356,2011,1597,GUJARAT,1911,2,7,9,1953,TOTAL DROWNING
189,2011,1056,GUJARAT,1268,7,20,27,1245,TOTAL FALLS
1666,2011,848,GUJARAT,2588,73,37,110,2514,TOTAL FIRE
357,2011,2260,GUJARAT,2608,0,0,0,2617,TOTAL SUDDEN DEATHS
556,2011,983,GUJARAT,1674,72,104,176,1539,TOTAL POISONING
28,2011,318,HARYANA,346,0,0,0,346,ELECTROCUTION
112,2011,58,HARYANA,170,0,0,0,170,GAS CYLINDER/STOVE BURST
0,2011,3,HARYANA,3,0,0,0,3,FIRE-ARMS
49,2011,505,HARYANA,554,0,0,0,554,SUDDEN DEATHS(HEART ATTACKS)
12,2011,60,HARYANA,72,0,0,0,72,EPILEPTIC FITS/GIDDINESS
17,2011,0,HARYANA,17,0,0,0,17,ABORTIONS/CHILD BIRTH
3,2011,306,HARYANA,309,0,0,0,309,INFLUENCE OF ALCOHOL
100,2011,252,HARYANA,352,0,0,0,352,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
11,2011,72,HARYANA,83,0,0,0,83,SNAKE BITE/ANIMAL BITE
48,2011,204,HARYANA,252,0,0,0,252,OTHER
124,2011,1128,HARYANA,1252,0,0,0,1252,OTHER RAILWAY ACCIDENTS
75,2011,501,HARYANA,574,0,0,0,576,TOTAL DROWNING
31,2011,259,HARYANA,290,0,0,0,290,TOTAL FALLS
185,2011,185,HARYANA,370,0,0,0,370,TOTAL FIRE
81,2011,871,HARYANA,952,0,0,0,952,TOTAL SUDDEN DEATHS
164,2011,538,HARYANA,702,0,0,0,702,TOTAL POISONING
1,2011,14,HIMACHAL PRADESH,16,0,1,1,15,ELECTROCUTION
6,2011,1,HIMACHAL PRADESH,7,1,0,1,7,GAS CYLINDER/STOVE BURST
0,2011,4,HIMACHAL PRADESH,4,0,0,0,4,FIRE-ARMS
13,2011,153,HIMACHAL PRADESH,166,0,0,0,166,SUDDEN DEATHS(HEART ATTACKS)
0,2011,2,HIMACHAL PRADESH,2,0,0,0,2,EPILEPTIC FITS/GIDDINESS
4,2011,0,HIMACHAL PRADESH,4,0,0,0,4,ABORTIONS/CHILD BIRTH
0,2011,76,HIMACHAL PRADESH,76,0,0,0,76,INFLUENCE OF ALCOHOL
45,2011,61,HIMACHAL PRADESH,106,0,0,0,106,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
7,2011,10,HIMACHAL PRADESH,17,0,0,0,17,SNAKE BITE/ANIMAL BITE
19,2011,35,HIMACHAL PRADESH,54,0,0,0,54,OTHER
5,2011,22,HIMACHAL PRADESH,27,0,0,0,27,OTHER RAILWAY ACCIDENTS
36,2011,120,HIMACHAL PRADESH,155,0,0,0,156,TOTAL DROWNING
43,2011,298,HIMACHAL PRADESH,341,0,0,0,341,TOTAL FALLS
34,2011,38,HIMACHAL PRADESH,69,1,0,1,72,TOTAL FIRE
17,2011,231,HIMACHAL PRADESH,248,0,0,0,248,TOTAL SUDDEN DEATHS
71,2011,107,HIMACHAL PRADESH,178,0,0,0,178,TOTAL POISONING
3,2011,14,JAMMU & KASHMIR,17,0,3,3,17,ELECTROCUTION
4,2011,1,JAMMU & KASHMIR,8,3,1,4,5,GAS CYLINDER/STOVE BURST
1,2011,15,JAMMU & KASHMIR,18,0,5,5,16,FIRE-ARMS
7,2011,56,JAMMU & KASHMIR,63,0,0,0,63,SUDDEN DEATHS(HEART ATTACKS)
0,2011,2,JAMMU & KASHMIR,2,0,0,0,2,EPILEPTIC FITS/GIDDINESS
2,2011,0,JAMMU & KASHMIR,2,0,0,0,2,ABORTIONS/CHILD BIRTH
0,2011,13,JAMMU & KASHMIR,13,0,5,5,13,INFLUENCE OF ALCOHOL
1,2011,4,JAMMU & KASHMIR,5,0,0,0,5,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
2,2011,1,JAMMU & KASHMIR,3,0,0,0,3,SNAKE BITE/ANIMAL BITE
17,2011,9,JAMMU & KASHMIR,40,2,3,5,26,OTHER
1,2011,19,JAMMU & KASHMIR,20,0,0,0,20,OTHER RAILWAY ACCIDENTS
14,2011,36,JAMMU & KASHMIR,46,0,2,2,50,TOTAL DROWNING
19,2011,64,JAMMU & KASHMIR,66,1,3,4,83,TOTAL FALLS
8,2011,15,JAMMU & KASHMIR,30,6,11,17,23,TOTAL FIRE
9,2011,71,JAMMU & KASHMIR,80,0,5,5,80,TOTAL SUDDEN DEATHS
24,2011,21,JAMMU & KASHMIR,69,10,5,15,45,TOTAL POISONING
14,2011,61,JHARKHAND,75,0,5,5,75,ELECTROCUTION
36,2011,7,JHARKHAND,43,2,1,3,43,GAS CYLINDER/STOVE BURST
11,2011,7,JHARKHAND,18,0,0,0,18,FIRE-ARMS
19,2011,61,JHARKHAND,80,0,3,3,80,SUDDEN DEATHS(HEART ATTACKS)
1,2011,22,JHARKHAND,23,0,0,0,23,EPILEPTIC FITS/GIDDINESS
2,2011,0,JHARKHAND,2,0,0,0,2,ABORTIONS/CHILD BIRTH
3,2011,79,JHARKHAND,81,0,5,5,82,INFLUENCE OF ALCOHOL
76,2011,104,JHARKHAND,169,3,9,12,180,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
15,2011,28,JHARKHAND,43,1,1,2,43,SNAKE BITE/ANIMAL BITE
16,2011,108,JHARKHAND,121,2,2,4,124,OTHER
115,2011,497,JHARKHAND,621,5,7,12,612,OTHER RAILWAY ACCIDENTS
73,2011,314,JHARKHAND,376,9,12,21,387,TOTAL DROWNING
25,2011,161,JHARKHAND,189,1,9,10,186,TOTAL FALLS
232,2011,114,JHARKHAND,344,10,18,28,346,TOTAL FIRE
25,2011,162,JHARKHAND,186,0,8,8,187,TOTAL SUDDEN DEATHS
108,2011,260,JHARKHAND,354,6,12,18,368,TOTAL POISONING
65,2011,340,KARNATAKA,397,3,8,11,405,ELECTROCUTION
290,2011,96,KARNATAKA,355,4,6,10,386,GAS CYLINDER/STOVE BURST
11,2011,20,KARNATAKA,17,4,5,9,31,FIRE-ARMS
91,2011,553,KARNATAKA,617,7,7,14,644,SUDDEN DEATHS(HEART ATTACKS)
33,2011,106,KARNATAKA,114,10,4,14,139,EPILEPTIC FITS/GIDDINESS
12,2011,0,KARNATAKA,12,0,0,0,12,ABORTIONS/CHILD BIRTH
36,2011,268,KARNATAKA,268,10,3,13,304,INFLUENCE OF ALCOHOL
71,2011,190,KARNATAKA,269,4,2,6,261,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
308,2011,572,KARNATAKA,876,2,3,5,880,SNAKE BITE/ANIMAL BITE
329,2011,1108,KARNATAKA,1370,9,32,41,1437,OTHER
244,2011,1422,KARNATAKA,1648,0,0,0,1666,OTHER RAILWAY ACCIDENTS
500,2011,1593,KARNATAKA,2010,7,24,31,2093,TOTAL DROWNING
66,2011,468,KARNATAKA,498,12,35,47,534,TOTAL FALLS
1176,2011,616,KARNATAKA,1593,27,36,63,1792,TOTAL FIRE
172,2011,927,KARNATAKA,1011,27,14,41,1099,TOTAL SUDDEN DEATHS
768,2011,2018,KARNATAKA,2694,22,39,61,2786,TOTAL POISONING
43,2011,234,KERALA,274,0,0,0,277,ELECTROCUTION
42,2011,10,KERALA,48,0,0,0,52,GAS CYLINDER/STOVE BURST
0,2011,0,KERALA,0,0,0,0,0,FIRE-ARMS
228,2011,1573,KERALA,1797,0,0,0,1801,SUDDEN DEATHS(HEART ATTACKS)
37,2011,109,KERALA,146,0,0,0,146,EPILEPTIC FITS/GIDDINESS
8,2011,0,KERALA,8,0,0,0,8,ABORTIONS/CHILD BIRTH
0,2011,103,KERALA,103,0,0,0,103,INFLUENCE OF ALCOHOL
9,2011,9,KERALA,18,0,0,0,18,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
19,2011,49,KERALA,68,0,0,0,68,SNAKE BITE/ANIMAL BITE
35,2011,84,KERALA,119,0,0,0,119,OTHER
60,2011,334,KERALA,390,0,2,2,394,OTHER RAILWAY ACCIDENTS
361,2011,1330,KERALA,1667,0,1,1,1691,TOTAL DROWNING
60,2011,638,KERALA,695,0,0,0,698,TOTAL FALLS
191,2011,107,KERALA,289,0,0,0,298,TOTAL FIRE
273,2011,1785,KERALA,2054,0,0,0,2058,TOTAL SUDDEN DEATHS
63,2011,145,KERALA,208,0,0,0,208,TOTAL POISONING
201,2011,1147,MADHYA PRADESH,1352,15,12,27,1348,ELECTROCUTION
152,2011,35,MADHYA PRADESH,187,3,2,5,187,GAS CYLINDER/STOVE BURST
22,2011,157,MADHYA PRADESH,220,4,37,41,179,FIRE-ARMS
122,2011,730,MADHYA PRADESH,852,0,0,0,852,SUDDEN DEATHS(HEART ATTACKS)
40,2011,126,MADHYA PRADESH,164,2,2,4,166,EPILEPTIC FITS/GIDDINESS
195,2011,0,MADHYA PRADESH,196,0,0,0,195,ABORTIONS/CHILD BIRTH
15,2011,471,MADHYA PRADESH,488,0,0,0,486,INFLUENCE OF ALCOHOL
902,2011,1548,MADHYA PRADESH,2410,7,15,22,2450,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
995,2011,1164,MADHYA PRADESH,2136,2,7,9,2159,SNAKE BITE/ANIMAL BITE
251,2011,324,MADHYA PRADESH,576,0,0,0,575,OTHER
236,2011,1388,MADHYA PRADESH,1615,3,7,10,1624,OTHER RAILWAY ACCIDENTS
1515,2011,3398,MADHYA PRADESH,4909,13,21,34,4913,TOTAL DROWNING
183,2011,745,MADHYA PRADESH,931,1,7,8,928,TOTAL FALLS
2335,2011,1060,MADHYA PRADESH,3383,15,22,37,3395,TOTAL FIRE
372,2011,1327,MADHYA PRADESH,1700,2,2,4,1699,TOTAL SUDDEN DEATHS
2150,2011,3055,MADHYA PRADESH,5143,9,22,31,5205,TOTAL POISONING
181,2011,1088,MAHARASHTRA,1425,33,134,167,1269,ELECTROCUTION
427,2011,114,MAHARASHTRA,560,12,11,23,541,GAS CYLINDER/STOVE BURST
0,2011,0,MAHARASHTRA,2,0,2,2,0,FIRE-ARMS
777,2011,4994,MAHARASHTRA,9926,1710,2453,4163,5771,SUDDEN DEATHS(HEART ATTACKS)
417,2011,1541,MAHARASHTRA,2376,103,317,420,1958,EPILEPTIC FITS/GIDDINESS
345,2011,0,MAHARASHTRA,384,40,0,40,345,ABORTIONS/CHILD BIRTH
18,2011,1167,MAHARASHTRA,1544,1,358,359,1185,INFLUENCE OF ALCOHOL
230,2011,574,MAHARASHTRA,2787,993,1162,2155,804,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
424,2011,637,MAHARASHTRA,5686,2099,2527,4626,1061,SNAKE BITE/ANIMAL BITE
196,2011,323,MAHARASHTRA,1655,545,603,1148,519,OTHER
552,2011,4429,MAHARASHTRA,8584,487,3128,3615,4981,OTHER RAILWAY ACCIDENTS
1279,2011,3670,MAHARASHTRA,4926,34,53,87,4949,TOTAL DROWNING
354,2011,1881,MAHARASHTRA,3625,283,1119,1402,2235,TOTAL FALLS
4089,2011,1523,MAHARASHTRA,7592,1356,702,2058,5612,TOTAL FIRE
1557,2011,7702,MAHARASHTRA,14230,1854,3128,4982,9259,TOTAL SUDDEN DEATHS
853,2011,1540,MAHARASHTRA,10135,3637,4292,7929,2393,TOTAL POISONING
3,2011,9,MANIPUR,12,0,0,0,12,ELECTROCUTION
0,2011,0,MANIPUR,0,0,0,0,0,GAS CYLINDER/STOVE BURST
0,2011,4,MANIPUR,4,0,0,0,4,FIRE-ARMS
0,2011,2,MANIPUR,2,0,0,0,2,SUDDEN DEATHS(HEART ATTACKS)
0,2011,0,MANIPUR,0,0,0,0,0,EPILEPTIC FITS/GIDDINESS
2,2011,0,MANIPUR,2,0,0,0,2,ABORTIONS/CHILD BIRTH
0,2011,0,MANIPUR,0,0,0,0,0,INFLUENCE OF ALCOHOL
5,2011,0,MANIPUR,5,0,0,0,5,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,MANIPUR,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
3,2011,1,MANIPUR,4,0,0,0,4,OTHER
0,2011,0,MANIPUR,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
2,2011,11,MANIPUR,13,0,0,0,13,TOTAL DROWNING
1,2011,3,MANIPUR,4,0,0,0,4,TOTAL FALLS
1,2011,3,MANIPUR,2,0,0,0,4,TOTAL FIRE
2,2011,2,MANIPUR,4,0,0,0,4,TOTAL SUDDEN DEATHS
8,2011,1,MANIPUR,9,0,0,0,9,TOTAL POISONING
0,2011,12,MEGHALAYA,12,0,2,2,12,ELECTROCUTION
0,2011,0,MEGHALAYA,0,0,0,0,0,GAS CYLINDER/STOVE BURST
2,2011,6,MEGHALAYA,8,0,0,0,8,FIRE-ARMS
4,2011,21,MEGHALAYA,25,0,0,0,25,SUDDEN DEATHS(HEART ATTACKS)
1,2011,9,MEGHALAYA,9,0,0,0,10,EPILEPTIC FITS/GIDDINESS
1,2011,0,MEGHALAYA,1,0,0,0,1,ABORTIONS/CHILD BIRTH
0,2011,9,MEGHALAYA,9,0,0,0,9,INFLUENCE OF ALCOHOL
0,2011,0,MEGHALAYA,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,1,MEGHALAYA,1,0,0,0,1,SNAKE BITE/ANIMAL BITE
0,2011,1,MEGHALAYA,1,0,0,0,1,OTHER
0,2011,0,MEGHALAYA,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
6,2011,43,MEGHALAYA,48,0,0,0,49,TOTAL DROWNING
3,2011,18,MEGHALAYA,22,0,4,4,21,TOTAL FALLS
5,2011,9,MEGHALAYA,10,0,0,0,14,TOTAL FIRE
6,2011,39,MEGHALAYA,44,0,0,0,45,TOTAL SUDDEN DEATHS
0,2011,8,MEGHALAYA,10,0,0,0,8,TOTAL POISONING
1,2011,1,MIZORAM,2,0,0,0,2,ELECTROCUTION
0,2011,0,MIZORAM,0,0,0,0,0,GAS CYLINDER/STOVE BURST
0,2011,2,MIZORAM,2,0,0,0,2,FIRE-ARMS
1,2011,10,MIZORAM,11,0,0,0,11,SUDDEN DEATHS(HEART ATTACKS)
0,2011,0,MIZORAM,0,0,0,0,0,EPILEPTIC FITS/GIDDINESS
1,2011,0,MIZORAM,1,0,0,0,1,ABORTIONS/CHILD BIRTH
0,2011,1,MIZORAM,1,0,0,0,1,INFLUENCE OF ALCOHOL
0,2011,1,MIZORAM,1,0,0,0,1,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,MIZORAM,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
3,2011,11,MIZORAM,13,0,0,0,14,OTHER
0,2011,0,MIZORAM,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
6,2011,39,MIZORAM,41,0,0,0,45,TOTAL DROWNING
4,2011,17,MIZORAM,21,0,0,0,21,TOTAL FALLS
2,2011,4,MIZORAM,5,0,0,0,6,TOTAL FIRE
2,2011,11,MIZORAM,13,0,0,0,13,TOTAL SUDDEN DEATHS
3,2011,12,MIZORAM,14,0,0,0,15,TOTAL POISONING
0,2011,2,NAGALAND,2,0,0,0,2,ELECTROCUTION
0,2011,0,NAGALAND,0,0,0,0,0,GAS CYLINDER/STOVE BURST
0,2011,6,NAGALAND,6,0,0,0,6,FIRE-ARMS
0,2011,1,NAGALAND,1,0,0,0,1,SUDDEN DEATHS(HEART ATTACKS)
0,2011,0,NAGALAND,0,0,0,0,0,EPILEPTIC FITS/GIDDINESS
0,2011,0,NAGALAND,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,0,NAGALAND,0,0,0,0,0,INFLUENCE OF ALCOHOL
0,2011,0,NAGALAND,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,NAGALAND,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
0,2011,0,NAGALAND,0,0,0,0,0,OTHER
0,2011,0,NAGALAND,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
2,2011,7,NAGALAND,8,0,0,0,9,TOTAL DROWNING
0,2011,4,NAGALAND,4,0,0,0,4,TOTAL FALLS
3,2011,2,NAGALAND,2,0,0,0,5,TOTAL FIRE
0,2011,1,NAGALAND,1,0,0,0,1,TOTAL SUDDEN DEATHS
0,2011,2,NAGALAND,1,0,0,0,2,TOTAL POISONING
25,2011,159,ODISHA,184,1,3,4,184,ELECTROCUTION
8,2011,5,ODISHA,13,0,0,0,13,GAS CYLINDER/STOVE BURST
0,2011,4,ODISHA,4,0,0,0,4,FIRE-ARMS
24,2011,63,ODISHA,87,0,0,0,87,SUDDEN DEATHS(HEART ATTACKS)
10,2011,11,ODISHA,21,0,0,0,21,EPILEPTIC FITS/GIDDINESS
8,2011,0,ODISHA,8,0,0,0,8,ABORTIONS/CHILD BIRTH
1,2011,40,ODISHA,41,3,4,7,41,INFLUENCE OF ALCOHOL
130,2011,103,ODISHA,236,3,2,5,233,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
185,2011,361,ODISHA,548,3,6,9,546,SNAKE BITE/ANIMAL BITE
232,2011,303,ODISHA,535,12,17,29,535,OTHER
44,2011,161,ODISHA,200,5,2,7,205,OTHER RAILWAY ACCIDENTS
136,2011,440,ODISHA,576,6,5,11,576,TOTAL DROWNING
79,2011,316,ODISHA,397,2,19,21,395,TOTAL FALLS
223,2011,187,ODISHA,419,13,18,31,410,TOTAL FIRE
43,2011,114,ODISHA,157,3,4,7,157,TOTAL SUDDEN DEATHS
547,2011,769,ODISHA,1321,18,25,43,1316,TOTAL POISONING
13,2011,258,PUNJAB,271,0,0,0,271,ELECTROCUTION
146,2011,29,PUNJAB,175,0,0,0,175,GAS CYLINDER/STOVE BURST
1,2011,20,PUNJAB,21,0,0,0,21,FIRE-ARMS
42,2011,493,PUNJAB,535,0,0,0,535,SUDDEN DEATHS(HEART ATTACKS)
9,2011,59,PUNJAB,68,0,0,0,68,EPILEPTIC FITS/GIDDINESS
3,2011,0,PUNJAB,3,0,0,0,3,ABORTIONS/CHILD BIRTH
0,2011,253,PUNJAB,253,0,0,0,253,INFLUENCE OF ALCOHOL
104,2011,214,PUNJAB,318,0,0,0,318,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
13,2011,44,PUNJAB,57,0,0,0,57,SNAKE BITE/ANIMAL BITE
