TOTAL KILLED,CASES,MALE INJURED,STATE/UT,MALE KILLED,TOTAL INJURED,YEAR,CAUSE,FEMALE INJURED,FEMALE KILLED
1,1,0,ARUNACHAL PRADESH,0,0,2012,ABORTIONS/CHILD BIRTH,0,1
4,4,0,ARUNACHAL PRADESH,2,0,2012,INFLUENCE OF ALCOHOL,0,2
0,0,0,ARUNACHAL PRADESH,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
1,1,0,ARUNACHAL PRADESH,1,0,2012,SNAKE BITE/ANIMAL BITE,0,0
20,21,0,ARUNACHAL PRADESH,12,0,2012,OTHER,0,8
0,0,0,ARUNACHAL PRADESH,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
24,21,0,ARUNACHAL PRADESH,22,0,2012,TOTAL DROWNING,0,2
20,18,0,ARUNACHAL PRADESH,20,0,2012,TOTAL FALLS,0,0
17,12,0,ARUNACHAL PRADESH,12,0,2012,TOTAL FIRE,0,5
21,21,0,ARUNACHAL PRADESH,16,0,2012,TOTAL SUDDEN DEATHS,0,5
22,23,0,ARUNACHAL PRADESH,14,0,2012,TOTAL POISONING,0,8
61,61,0,ASSAM,57,0,2012,ELECTROCUTION,0,4
16,15,0,ASSAM,2,0,2012,GAS CYLINDER/STOVE BURST,0,14
10,8,0,ASSAM,10,0,2012,FIRE-ARMS,0,0
37,37,0,ASSAM,28,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,9
0,0,0,ASSAM,0,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
11,11,0,ASSAM,0,0,2012,ABORTIONS/CHILD BIRTH,0,11
0,0,0,ASSAM,0,0,2012,INFLUENCE OF ALCOHOL,0,0
11,11,0,ASSAM,9,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2
4,4,0,ASSAM,4,0,2012,SNAKE BITE/ANIMAL BITE,0,0
220,220,0,ASSAM,127,0,2012,OTHER,0,93
501,500,0,ASSAM,433,0,2012,OTHER RAILWAY ACCIDENTS,0,68
463,459,6,ASSAM,371,9,2012,TOTAL DROWNING,3,92
20,19,0,ASSAM,19,0,2012,TOTAL FALLS,0,1
173,170,0,ASSAM,67,0,2012,TOTAL FIRE,0,106
48,48,0,ASSAM,28,0,2012,TOTAL SUDDEN DEATHS,0,20
238,238,0,ASSAM,141,0,2012,TOTAL POISONING,0,97
234,224,26,BIHAR,201,33,2012,ELECTROCUTION,7,33
138,137,11,BIHAR,28,30,2012,GAS CYLINDER/STOVE BURST,19,110
31,32,6,BIHAR,21,7,2012,FIRE-ARMS,1,10
134,134,0,BIHAR,113,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,21
46,54,8,BIHAR,36,10,2012,EPILEPTIC FITS/GIDDINESS,2,10
10,10,0,BIHAR,0,0,2012,ABORTIONS/CHILD BIRTH,0,10
120,138,14,BIHAR,120,14,2012,INFLUENCE OF ALCOHOL,0,0
446,451,34,BIHAR,250,69,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,35,196
56,58,4,BIHAR,29,4,2012,SNAKE BITE/ANIMAL BITE,0,27
168,180,36,BIHAR,112,86,2012,OTHER,50,56
1380,1366,70,BIHAR,1119,111,2012,OTHER RAILWAY ACCIDENTS,41,261
556,474,72,BIHAR,362,106,2012,TOTAL DROWNING,34,194
148,161,31,BIHAR,121,42,2012,TOTAL FALLS,11,27
577,565,65,BIHAR,193,122,2012,TOTAL FIRE,57,384
310,336,22,BIHAR,269,24,2012,TOTAL SUDDEN DEATHS,2,41
717,733,79,BIHAR,431,164,2012,TOTAL POISONING,85,286
474,474,21,CHHATTISGARH,392,22,2012,ELECTROCUTION,1,82
13,13,0,CHHATTISGARH,2,0,2012,GAS CYLINDER/STOVE BURST,0,11
82,82,5,CHHATTISGARH,78,5,2012,FIRE-ARMS,0,4
176,176,0,CHHATTISGARH,152,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,24
56,56,3,CHHATTISGARH,39,3,2012,EPILEPTIC FITS/GIDDINESS,0,17
26,26,0,CHHATTISGARH,0,0,2012,ABORTIONS/CHILD BIRTH,0,26
271,271,3,CHHATTISGARH,233,3,2012,INFLUENCE OF ALCOHOL,0,38
459,459,27,CHHATTISGARH,295,44,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,17,164
760,759,25,CHHATTISGARH,442,48,2012,SNAKE BITE/ANIMAL BITE,23,318
389,344,0,CHHATTISGARH,249,0,2012,OTHER,0,140
511,509,0,CHHATTISGARH,416,0,2012,OTHER RAILWAY ACCIDENTS,0,95
1581,1580,64,CHHATTISGARH,1112,95,2012,TOTAL DROWNING,31,469
415,416,21,CHHATTISGARH,351,29,2012,TOTAL FALLS,8,64
909,909,2,CHHATTISGARH,233,9,2012,TOTAL FIRE,7,676
529,529,6,CHHATTISGARH,424,6,2012,TOTAL SUDDEN DEATHS,0,105
1647,1601,52,CHHATTISGARH,1015,92,2012,TOTAL POISONING,40,632
23,19,2,GOA,21,4,2012,ELECTROCUTION,2,2
4,2,0,GOA,1,0,2012,GAS CYLINDER/STOVE BURST,0,3
0,0,0,GOA,0,0,2012,FIRE-ARMS,0,0
8,7,0,GOA,8,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,0
2,1,0,GOA,1,0,2012,EPILEPTIC FITS/GIDDINESS,0,1
3,3,0,GOA,0,0,2012,ABORTIONS/CHILD BIRTH,0,3
7,5,0,GOA,7,0,2012,INFLUENCE OF ALCOHOL,0,0
5,5,0,GOA,3,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,2
4,3,0,GOA,2,0,2012,SNAKE BITE/ANIMAL BITE,0,2
2,2,0,GOA,0,0,2012,OTHER,0,2
74,74,0,GOA,65,0,2012,OTHER RAILWAY ACCIDENTS,0,9
128,107,0,GOA,119,0,2012,TOTAL DROWNING,0,9
115,99,0,GOA,104,0,2012,TOTAL FALLS,0,11
26,23,0,GOA,8,0,2012,TOTAL FIRE,0,18
20,16,0,GOA,16,0,2012,TOTAL SUDDEN DEATHS,0,4
11,10,0,GOA,5,0,2012,TOTAL POISONING,0,6
518,516,7,GUJARAT,420,9,2012,ELECTROCUTION,2,98
823,813,4,GUJARAT,203,4,2012,GAS CYLINDER/STOVE BURST,0,620
5,5,0,GUJARAT,3,0,2012,FIRE-ARMS,0,2
2470,2464,0,GUJARAT,2202,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,268
595,593,3,GUJARAT,474,3,2012,EPILEPTIC FITS/GIDDINESS,0,121
41,41,0,GUJARAT,0,0,2012,ABORTIONS/CHILD BIRTH,0,41
18,17,0,GUJARAT,13,0,2012,INFLUENCE OF ALCOHOL,0,5
449,472,19,GUJARAT,271,46,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,27,178
590,618,25,GUJARAT,366,41,2012,SNAKE BITE/ANIMAL BITE,16,224
566,563,0,GUJARAT,396,0,2012,OTHER,0,170
1077,1068,0,GUJARAT,935,0,2012,OTHER RAILWAY ACCIDENTS,0,142
1711,1671,22,GUJARAT,1379,35,2012,TOTAL DROWNING,13,332
1504,1542,40,GUJARAT,1284,51,2012,TOTAL FALLS,11,220
2350,2361,31,GUJARAT,848,77,2012,TOTAL FIRE,46,1502
3124,3115,3,GUJARAT,2689,3,2012,TOTAL SUDDEN DEATHS,0,435
1796,1835,44,GUJARAT,1170,87,2012,TOTAL POISONING,43,626
370,370,0,HARYANA,331,0,2012,ELECTROCUTION,0,39
144,144,0,HARYANA,44,0,2012,GAS CYLINDER/STOVE BURST,0,100
21,20,0,HARYANA,19,0,2012,FIRE-ARMS,0,2
628,628,0,HARYANA,570,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,58
92,92,0,HARYANA,74,0,2012,EPILEPTIC FITS/GIDDINESS,0,18
31,33,0,HARYANA,0,0,2012,ABORTIONS/CHILD BIRTH,0,31
367,367,0,HARYANA,366,0,2012,INFLUENCE OF ALCOHOL,0,1
406,406,0,HARYANA,290,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,116
72,72,0,HARYANA,65,0,2012,SNAKE BITE/ANIMAL BITE,0,7
377,379,0,HARYANA,267,0,2012,OTHER,0,110
1264,1264,0,HARYANA,1119,0,2012,OTHER RAILWAY ACCIDENTS,0,145
691,682,0,HARYANA,611,0,2012,TOTAL DROWNING,0,80
311,311,0,HARYANA,273,0,2012,TOTAL FALLS,0,38
349,354,0,HARYANA,161,0,2012,TOTAL FIRE,0,188
1118,1120,0,HARYANA,1010,0,2012,TOTAL SUDDEN DEATHS,0,108
864,866,0,HARYANA,628,0,2012,TOTAL POISONING,0,236
16,16,0,HIMACHAL PRADESH,14,0,2012,ELECTROCUTION,0,2
11,12,2,HIMACHAL PRADESH,2,2,2012,GAS CYLINDER/STOVE BURST,0,9
1,1,0,HIMACHAL PRADESH,1,0,2012,FIRE-ARMS,0,0
200,200,0,HIMACHAL PRADESH,185,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,15
2,2,0,HIMACHAL PRADESH,2,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
3,3,0,HIMACHAL PRADESH,0,0,2012,ABORTIONS/CHILD BIRTH,0,3
77,77,0,HIMACHAL PRADESH,77,0,2012,INFLUENCE OF ALCOHOL,0,0
160,159,2,HIMACHAL PRADESH,97,5,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,63
18,18,0,HIMACHAL PRADESH,13,0,2012,SNAKE BITE/ANIMAL BITE,0,5
75,75,0,HIMACHAL PRADESH,40,0,2012,OTHER,0,35
14,14,0,HIMACHAL PRADESH,13,0,2012,OTHER RAILWAY ACCIDENTS,0,1
144,143,4,HIMACHAL PRADESH,114,5,2012,TOTAL DROWNING,1,30
360,353,5,HIMACHAL PRADESH,319,6,2012,TOTAL FALLS,1,41
83,85,6,HIMACHAL PRADESH,45,10,2012,TOTAL FIRE,4,38
282,282,0,HIMACHAL PRADESH,264,0,2012,TOTAL SUDDEN DEATHS,0,18
256,255,2,HIMACHAL PRADESH,153,5,2012,TOTAL POISONING,3,103
15,19,4,JAMMU & KASHMIR,14,4,2012,ELECTROCUTION,0,1
7,9,5,JAMMU & KASHMIR,3,9,2012,GAS CYLINDER/STOVE BURST,4,4
18,22,10,JAMMU & KASHMIR,18,10,2012,FIRE-ARMS,0,0
66,70,4,JAMMU & KASHMIR,52,4,2012,SUDDEN DEATHS(HEART ATTACKS),0,14
0,0,0,JAMMU & KASHMIR,0,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
2,3,0,JAMMU & KASHMIR,0,1,2012,ABORTIONS/CHILD BIRTH,1,2
10,10,0,JAMMU & KASHMIR,10,0,2012,INFLUENCE OF ALCOHOL,0,0
13,14,0,JAMMU & KASHMIR,5,1,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,8
3,11,5,JAMMU & KASHMIR,2,8,2012,SNAKE BITE/ANIMAL BITE,3,1
41,57,0,JAMMU & KASHMIR,24,0,2012,OTHER,0,17
15,15,0,JAMMU & KASHMIR,14,0,2012,OTHER RAILWAY ACCIDENTS,0,1
70,71,1,JAMMU & KASHMIR,54,2,2012,TOTAL DROWNING,1,16
50,51,6,JAMMU & KASHMIR,34,8,2012,TOTAL FALLS,2,16
40,46,15,JAMMU & KASHMIR,25,24,2012,TOTAL FIRE,9,15
78,83,4,JAMMU & KASHMIR,62,5,2012,TOTAL SUDDEN DEATHS,1,16
77,126,5,JAMMU & KASHMIR,43,10,2012,TOTAL POISONING,5,34
205,91,7,JHARKHAND,180,8,2012,ELECTROCUTION,1,25
34,43,3,JHARKHAND,7,10,2012,GAS CYLINDER/STOVE BURST,7,27
1,1,0,JHARKHAND,1,0,2012,FIRE-ARMS,0,0
88,88,0,JHARKHAND,72,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,16
26,27,2,JHARKHAND,18,2,2012,EPILEPTIC FITS/GIDDINESS,0,8
6,6,0,JHARKHAND,0,0,2012,ABORTIONS/CHILD BIRTH,0,6
100,100,9,JHARKHAND,90,12,2012,INFLUENCE OF ALCOHOL,3,10
207,185,1,JHARKHAND,106,6,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,101
39,41,3,JHARKHAND,16,5,2012,SNAKE BITE/ANIMAL BITE,2,23
109,110,1,JHARKHAND,73,3,2012,OTHER,2,36
602,602,0,JHARKHAND,489,0,2012,OTHER RAILWAY ACCIDENTS,0,113
352,379,35,JHARKHAND,262,42,2012,TOTAL DROWNING,7,90
180,180,7,JHARKHAND,158,10,2012,TOTAL FALLS,3,22
401,412,11,JHARKHAND,109,35,2012,TOTAL FIRE,24,292
220,221,11,JHARKHAND,180,14,2012,TOTAL SUDDEN DEATHS,3,40
400,377,6,JHARKHAND,226,16,2012,TOTAL POISONING,10,174
357,356,0,KARNATAKA,311,0,2012,ELECTROCUTION,0,46
378,368,0,KARNATAKA,100,0,2012,GAS CYLINDER/STOVE BURST,0,278
5,4,0,KARNATAKA,5,0,2012,FIRE-ARMS,0,0
653,652,0,KARNATAKA,582,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,71
151,148,0,KARNATAKA,131,0,2012,EPILEPTIC FITS/GIDDINESS,0,20
13,13,0,KARNATAKA,0,0,2012,ABORTIONS/CHILD BIRTH,0,13
415,414,0,KARNATAKA,404,0,2012,INFLUENCE OF ALCOHOL,0,11
186,177,2,KARNATAKA,130,2,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,56
668,652,2,KARNATAKA,406,2,2012,SNAKE BITE/ANIMAL BITE,0,262
1134,1138,12,KARNATAKA,864,15,2012,OTHER,3,270
1362,1679,0,KARNATAKA,1195,0,2012,OTHER RAILWAY ACCIDENTS,0,167
1743,1683,2,KARNATAKA,1369,3,2012,TOTAL DROWNING,1,374
517,509,1,KARNATAKA,465,2,2012,TOTAL FALLS,1,52
1507,1429,6,KARNATAKA,501,10,2012,TOTAL FIRE,4,1006
1232,1227,0,KARNATAKA,1117,0,2012,TOTAL SUDDEN DEATHS,0,115
2225,2176,16,KARNATAKA,1566,19,2012,TOTAL POISONING,3,659
196,195,3,KERALA,169,3,2012,ELECTROCUTION,0,27
27,27,0,KERALA,3,0,2012,GAS CYLINDER/STOVE BURST,0,24
1,1,0,KERALA,1,0,2012,FIRE-ARMS,0,0
1810,1810,0,KERALA,1595,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,215
167,167,0,KERALA,131,0,2012,EPILEPTIC FITS/GIDDINESS,0,36
16,16,0,KERALA,0,0,2012,ABORTIONS/CHILD BIRTH,0,16
170,170,0,KERALA,170,0,2012,INFLUENCE OF ALCOHOL,0,0
19,18,0,KERALA,9,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,10
64,64,0,KERALA,44,0,2012,SNAKE BITE/ANIMAL BITE,0,20
119,119,0,KERALA,87,0,2012,OTHER,0,32
544,537,2,KERALA,454,2,2012,OTHER RAILWAY ACCIDENTS,0,90
1578,1554,5,KERALA,1270,6,2012,TOTAL DROWNING,1,308
762,770,8,KERALA,700,8,2012,TOTAL FALLS,0,62
283,281,2,KERALA,100,2,2012,TOTAL FIRE,0,183
2163,2163,0,KERALA,1896,0,2012,TOTAL SUDDEN DEATHS,0,267
203,202,0,KERALA,141,0,2012,TOTAL POISONING,0,62
1499,1492,3,MADHYA PRADESH,1258,3,2012,ELECTROCUTION,0,241
189,189,0,MADHYA PRADESH,34,0,2012,GAS CYLINDER/STOVE BURST,0,155
147,205,86,MADHYA PRADESH,136,96,2012,FIRE-ARMS,10,11
843,839,0,MADHYA PRADESH,710,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,133
112,112,1,MADHYA PRADESH,80,2,2012,EPILEPTIC FITS/GIDDINESS,1,32
151,152,0,MADHYA PRADESH,0,1,2012,ABORTIONS/CHILD BIRTH,1,151
564,564,3,MADHYA PRADESH,548,3,2012,INFLUENCE OF ALCOHOL,0,16
2036,2004,24,MADHYA PRADESH,1172,48,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,24,864
2477,2465,0,MADHYA PRADESH,1318,5,2012,SNAKE BITE/ANIMAL BITE,5,1159
390,387,0,MADHYA PRADESH,247,0,2012,OTHER,0,143
1976,1974,0,MADHYA PRADESH,1751,0,2012,OTHER RAILWAY ACCIDENTS,0,225
4501,4464,11,MADHYA PRADESH,3071,17,2012,TOTAL DROWNING,6,1430
968,968,1,MADHYA PRADESH,755,1,2012,TOTAL FALLS,0,213
3044,3030,11,MADHYA PRADESH,955,19,2012,TOTAL FIRE,8,2089
1670,1667,4,MADHYA PRADESH,1338,6,2012,TOTAL SUDDEN DEATHS,2,332
4924,4875,24,MADHYA PRADESH,2758,53,2012,TOTAL POISONING,29,2166
1235,1456,181,MAHARASHTRA,1023,246,2012,ELECTROCUTION,65,212
434,453,20,MAHARASHTRA,90,40,2012,GAS CYLINDER/STOVE BURST,20,344
4,5,1,MAHARASHTRA,4,1,2012,FIRE-ARMS,0,0
6466,10684,2494,MAHARASHTRA,5566,4229,2012,SUDDEN DEATHS(HEART ATTACKS),1735,900
1583,1843,181,MAHARASHTRA,1249,261,2012,EPILEPTIC FITS/GIDDINESS,80,334
452,475,0,MAHARASHTRA,0,23,2012,ABORTIONS/CHILD BIRTH,23,452
1514,1897,370,MAHARASHTRA,1492,383,2012,INFLUENCE OF ALCOHOL,13,22
902,3514,1492,MAHARASHTRA,620,2657,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1165,282
1075,5739,2575,MAHARASHTRA,631,4685,2012,SNAKE BITE/ANIMAL BITE,2110,444
439,1236,470,MAHARASHTRA,317,827,2012,OTHER,357,122
5118,8564,2982,MAHARASHTRA,4574,3452,2012,OTHER RAILWAY ACCIDENTS,470,544
4702,4730,81,MAHARASHTRA,3555,147,2012,TOTAL DROWNING,66,1147
2448,3604,902,MAHARASHTRA,2136,1165,2012,TOTAL FALLS,263,312
4935,6823,698,MAHARASHTRA,1296,1972,2012,TOTAL FIRE,1274,3639
10015,14899,3045,MAHARASHTRA,8307,4896,2012,TOTAL SUDDEN DEATHS,1851,1708
2442,10514,4537,MAHARASHTRA,1585,8169,2012,TOTAL POISONING,3632,857
6,6,0,MANIPUR,5,0,2012,ELECTROCUTION,0,1
1,1,0,MANIPUR,0,0,2012,GAS CYLINDER/STOVE BURST,0,1
4,4,0,MANIPUR,4,0,2012,FIRE-ARMS,0,0
6,6,0,MANIPUR,6,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,0
1,1,0,MANIPUR,1,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
0,0,0,MANIPUR,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
0,0,0,MANIPUR,0,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,MANIPUR,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,0,MANIPUR,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
2,2,0,MANIPUR,0,0,2012,OTHER,0,2
0,0,0,MANIPUR,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
17,17,0,MANIPUR,14,0,2012,TOTAL DROWNING,0,3
12,11,0,MANIPUR,12,0,2012,TOTAL FALLS,0,0
4,4,0,MANIPUR,2,0,2012,TOTAL FIRE,0,2
7,7,0,MANIPUR,7,0,2012,TOTAL SUDDEN DEATHS,0,0
2,2,0,MANIPUR,0,0,2012,TOTAL POISONING,0,2
16,16,0,MEGHALAYA,11,0,2012,ELECTROCUTION,0,5
2,2,0,MEGHALAYA,0,0,2012,GAS CYLINDER/STOVE BURST,0,2
1,1,0,MEGHALAYA,1,0,2012,FIRE-ARMS,0,0
13,13,0,MEGHALAYA,12,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,1
1,1,0,MEGHALAYA,1,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
1,1,0,MEGHALAYA,0,0,2012,ABORTIONS/CHILD BIRTH,0,1
15,15,0,MEGHALAYA,15,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,MEGHALAYA,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,0,MEGHALAYA,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
0,0,0,MEGHALAYA,0,0,2012,OTHER,0,0
0,0,0,MEGHALAYA,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
56,48,0,MEGHALAYA,47,0,2012,TOTAL DROWNING,0,9
28,26,0,MEGHALAYA,23,0,2012,TOTAL FALLS,0,5
19,19,0,MEGHALAYA,9,0,2012,TOTAL FIRE,0,10
30,30,0,MEGHALAYA,28,0,2012,TOTAL SUDDEN DEATHS,0,2
3,1,0,MEGHALAYA,3,0,2012,TOTAL POISONING,0,0
7,7,0,MIZORAM,6,0,2012,ELECTROCUTION,0,1
0,0,0,MIZORAM,0,0,2012,GAS CYLINDER/STOVE BURST,0,0
3,3,0,MIZORAM,3,0,2012,FIRE-ARMS,0,0
13,13,0,MIZORAM,12,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,1
0,0,0,MIZORAM,0,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
1,1,0,MIZORAM,0,0,2012,ABORTIONS/CHILD BIRTH,0,1
5,5,0,MIZORAM,5,0,2012,INFLUENCE OF ALCOHOL,0,0
2,2,0,MIZORAM,2,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
1,1,0,MIZORAM,1,0,2012,SNAKE BITE/ANIMAL BITE,0,0
24,24,0,MIZORAM,21,0,2012,OTHER,0,3
0,0,0,MIZORAM,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
39,46,0,MIZORAM,34,0,2012,TOTAL DROWNING,0,5
32,32,0,MIZORAM,30,0,2012,TOTAL FALLS,0,2
5,5,0,MIZORAM,3,0,2012,TOTAL FIRE,0,2
19,19,0,MIZORAM,17,0,2012,TOTAL SUDDEN DEATHS,0,2
27,27,0,MIZORAM,24,0,2012,TOTAL POISONING,0,3
1,1,0,NAGALAND,1,0,2012,ELECTROCUTION,0,0
0,0,0,NAGALAND,0,0,2012,GAS CYLINDER/STOVE BURST,0,0
4,4,0,NAGALAND,4,0,2012,FIRE-ARMS,0,0
4,4,0,NAGALAND,4,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,0,NAGALAND,0,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
0,0,0,NAGALAND,0,0,2012,ABORTIONS/CHILD BIRTH,0,0
0,0,0,NAGALAND,0,0,2012,INFLUENCE OF ALCOHOL,0,0
0,0,0,NAGALAND,0,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
0,0,0,NAGALAND,0,0,2012,SNAKE BITE/ANIMAL BITE,0,0
0,0,0,NAGALAND,0,0,2012,OTHER,0,0
0,0,0,NAGALAND,0,0,2012,OTHER RAILWAY ACCIDENTS,0,0
1,1,0,NAGALAND,1,0,2012,TOTAL DROWNING,0,0
4,4,0,NAGALAND,3,0,2012,TOTAL FALLS,0,1
5,2,0,NAGALAND,4,0,2012,TOTAL FIRE,0,1
4,4,0,NAGALAND,4,0,2012,TOTAL SUDDEN DEATHS,0,0
0,0,0,NAGALAND,0,0,2012,TOTAL POISONING,0,0
191,191,2,ODISHA,168,2,2012,ELECTROCUTION,0,23
20,20,0,ODISHA,2,2,2012,GAS CYLINDER/STOVE BURST,2,18
3,3,0,ODISHA,3,0,2012,FIRE-ARMS,0,0
225,225,0,ODISHA,184,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,41
70,70,0,ODISHA,45,0,2012,EPILEPTIC FITS/GIDDINESS,0,25
5,5,0,ODISHA,0,0,2012,ABORTIONS/CHILD BIRTH,0,5
39,39,0,ODISHA,39,0,2012,INFLUENCE OF ALCOHOL,0,0
386,386,0,ODISHA,194,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,192
539,537,0,ODISHA,351,0,2012,SNAKE BITE/ANIMAL BITE,0,188
587,586,0,ODISHA,357,0,2012,OTHER,0,230
42,42,0,ODISHA,32,0,2012,OTHER RAILWAY ACCIDENTS,0,10
632,627,0,ODISHA,451,0,2012,TOTAL DROWNING,0,181
345,345,0,ODISHA,294,0,2012,TOTAL FALLS,0,51
643,638,0,ODISHA,298,2,2012,TOTAL FIRE,2,345
339,339,0,ODISHA,268,0,2012,TOTAL SUDDEN DEATHS,0,71
1556,1553,0,ODISHA,946,0,2012,TOTAL POISONING,0,610
263,260,12,PUNJAB,247,15,2012,ELECTROCUTION,3,16
179,171,6,PUNJAB,41,16,2012,GAS CYLINDER/STOVE BURST,10,138
19,19,0,PUNJAB,18,0,2012,FIRE-ARMS,0,1
656,670,8,PUNJAB,594,8,2012,SUDDEN DEATHS(HEART ATTACKS),0,62
120,120,0,PUNJAB,94,0,2012,EPILEPTIC FITS/GIDDINESS,0,26
13,22,0,PUNJAB,0,3,2012,ABORTIONS/CHILD BIRTH,3,13
273,284,2,PUNJAB,268,2,2012,INFLUENCE OF ALCOHOL,0,5
404,404,0,PUNJAB,274,0,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,130
43,42,2,PUNJAB,36,2,2012,SNAKE BITE/ANIMAL BITE,0,7
254,276,5,PUNJAB,197,7,2012,OTHER,2,57
