CASES,MALE KILLED,CAUSE,YEAR,FEMALE INJURED,TOTAL KILLED,STATE/UT,TOTAL INJURED,MALE INJURED,FEMALE KILLED
1,1,OTHER,2006,0,1,ARUNACHAL PRADESH,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,ARUNACHAL PRADESH,0,0,0
14,11,DROWNING,2006,0,15,ARUNACHAL PRADESH,0,0,4
15,14,FALLS,2006,0,15,ARUNACHAL PRADESH,0,0,1
5,7,FIRE,2006,0,7,ARUNACHAL PRADESH,0,0,0
7,6,SUDDEN DEATHS,2006,0,7,ARUNACHAL PRADESH,0,0,1
1,1,POISONING,2006,0,1,ARUNACHAL PRADESH,0,0,0
62,47,ELECTROCUTION,2006,1,61,ASSAM,3,2,14
15,1,GAS CYLINDER/STOVE BURST,2006,0,17,ASSAM,0,0,16
12,10,FIRE-ARMS,2006,0,12,ASSAM,0,0,2
36,28,SUDDEN DEATHS(HEART ATTACKS),2006,0,35,ASSAM,1,1,7
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,ASSAM,0,0,0
1,0,ABORTIONS/CHILD BIRTH,2006,0,1,ASSAM,0,0,1
4,3,INFLUENCE OF ALCOHOL,2006,0,3,ASSAM,1,1,0
17,7,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,17,ASSAM,0,0,10
13,12,SNAKE BITE/ANIMAL BITE,2006,0,13,ASSAM,0,0,1
226,141,OTHER,2006,0,230,ASSAM,0,0,89
450,391,RAILWAY ACCIDENTS,2006,0,455,ASSAM,0,0,64
328,239,DROWNING,2006,0,331,ASSAM,6,6,92
27,22,FALLS,2006,0,28,ASSAM,0,0,6
74,21,FIRE,2006,0,77,ASSAM,0,0,56
41,31,SUDDEN DEATHS,2006,0,39,ASSAM,2,2,8
256,160,POISONING,2006,0,260,ASSAM,0,0,100
115,98,ELECTROCUTION,2006,11,136,BIHAR,24,13,38
83,17,GAS CYLINDER/STOVE BURST,2006,14,73,BIHAR,24,10,56
13,9,FIRE-ARMS,2006,0,14,BIHAR,9,9,5
97,55,SUDDEN DEATHS(HEART ATTACKS),2006,6,83,BIHAR,15,9,28
13,8,EPILEPTIC FITS/GIDDINESS,2006,0,12,BIHAR,1,1,4
3,0,ABORTIONS/CHILD BIRTH,2006,0,3,BIHAR,0,0,3
32,29,INFLUENCE OF ALCOHOL,2006,0,30,BIHAR,2,2,1
195,116,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,202,BIHAR,8,8,86
37,23,SNAKE BITE/ANIMAL BITE,2006,4,33,BIHAR,7,3,10
163,91,OTHER,2006,0,177,BIHAR,2,2,86
1230,951,RAILWAY ACCIDENTS,2006,0,1234,BIHAR,2,2,283
242,198,DROWNING,2006,5,286,BIHAR,36,31,88
80,73,FALLS,2006,0,84,BIHAR,16,16,11
373,125,FIRE,2006,36,361,BIHAR,95,59,236
145,92,SUDDEN DEATHS,2006,6,128,BIHAR,18,12,36
455,262,POISONING,2006,7,471,BIHAR,28,21,209
398,327,ELECTROCUTION,2006,0,399,CHHATTISGARH,0,0,72
9,2,GAS CYLINDER/STOVE BURST,2006,0,9,CHHATTISGARH,0,0,7
81,76,FIRE-ARMS,2006,0,81,CHHATTISGARH,0,0,5
168,132,SUDDEN DEATHS(HEART ATTACKS),2006,0,168,CHHATTISGARH,0,0,36
73,64,EPILEPTIC FITS/GIDDINESS,2006,0,79,CHHATTISGARH,0,0,15
28,0,ABORTIONS/CHILD BIRTH,2006,0,28,CHHATTISGARH,0,0,28
200,177,INFLUENCE OF ALCOHOL,2006,0,200,CHHATTISGARH,0,0,23
519,311,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,519,CHHATTISGARH,0,0,208
833,470,SNAKE BITE/ANIMAL BITE,2006,0,833,CHHATTISGARH,0,0,363
172,114,OTHER,2006,0,172,CHHATTISGARH,0,0,58
462,386,RAILWAY ACCIDENTS,2006,0,462,CHHATTISGARH,4,4,76
1350,929,DROWNING,2006,0,1350,CHHATTISGARH,0,0,421
294,242,FALLS,2006,0,294,CHHATTISGARH,0,0,52
554,180,FIRE,2006,2,574,CHHATTISGARH,2,0,394
469,373,SUDDEN DEATHS,2006,0,475,CHHATTISGARH,0,0,102
1567,924,POISONING,2006,0,1567,CHHATTISGARH,0,0,643
21,20,ELECTROCUTION,2006,0,22,GOA,0,0,2
6,2,GAS CYLINDER/STOVE BURST,2006,0,6,GOA,0,0,4
0,0,FIRE-ARMS,2006,0,0,GOA,0,0,0
5,4,SUDDEN DEATHS(HEART ATTACKS),2006,0,5,GOA,0,0,1
4,4,EPILEPTIC FITS/GIDDINESS,2006,0,4,GOA,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,GOA,0,0,0
7,7,INFLUENCE OF ALCOHOL,2006,0,7,GOA,0,0,0
1,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,1,GOA,0,0,1
4,3,SNAKE BITE/ANIMAL BITE,2006,0,4,GOA,0,0,1
5,5,OTHER,2006,0,5,GOA,0,0,0
28,27,RAILWAY ACCIDENTS,2006,0,31,GOA,0,0,4
172,166,DROWNING,2006,0,180,GOA,0,0,14
67,76,FALLS,2006,0,86,GOA,0,0,10
29,12,FIRE,2006,0,35,GOA,0,0,23
16,15,SUDDEN DEATHS,2006,0,16,GOA,0,0,1
10,8,POISONING,2006,0,10,GOA,0,0,2
454,373,ELECTROCUTION,2006,3,446,GUJARAT,15,12,73
607,202,GAS CYLINDER/STOVE BURST,2006,10,610,GUJARAT,14,4,408
1,0,FIRE-ARMS,2006,0,1,GUJARAT,0,0,1
1325,1162,SUDDEN DEATHS(HEART ATTACKS),2006,0,1323,GUJARAT,2,2,161
425,356,EPILEPTIC FITS/GIDDINESS,2006,0,427,GUJARAT,0,0,71
27,0,ABORTIONS/CHILD BIRTH,2006,0,27,GUJARAT,0,0,27
15,13,INFLUENCE OF ALCOHOL,2006,0,15,GUJARAT,0,0,2
425,241,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,39,344,GUJARAT,81,42,103
479,261,SNAKE BITE/ANIMAL BITE,2006,28,406,GUJARAT,73,45,145
287,195,OTHER,2006,0,287,GUJARAT,0,0,92
1117,986,RAILWAY ACCIDENTS,2006,9,1124,GUJARAT,13,4,138
1738,1498,DROWNING,2006,1,1788,GUJARAT,3,2,290
1000,829,FALLS,2006,8,971,GUJARAT,35,27,142
2400,748,FIRE,2006,76,2327,GUJARAT,120,44,1579
1792,1531,SUDDEN DEATHS,2006,0,1792,GUJARAT,2,2,261
1274,758,POISONING,2006,67,1125,GUJARAT,154,87,367
238,219,ELECTROCUTION,2006,0,238,HARYANA,0,0,19
117,25,GAS CYLINDER/STOVE BURST,2006,0,117,HARYANA,0,0,92
23,19,FIRE-ARMS,2006,0,23,HARYANA,0,0,4
320,294,SUDDEN DEATHS(HEART ATTACKS),2006,0,320,HARYANA,0,0,26
44,38,EPILEPTIC FITS/GIDDINESS,2006,0,44,HARYANA,0,0,6
4,0,ABORTIONS/CHILD BIRTH,2006,0,4,HARYANA,0,0,4
139,139,INFLUENCE OF ALCOHOL,2006,0,139,HARYANA,0,0,0
213,147,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,213,HARYANA,0,0,66
48,42,SNAKE BITE/ANIMAL BITE,2006,0,48,HARYANA,0,0,6
510,365,OTHER,2006,0,510,HARYANA,0,0,145
1526,1406,RAILWAY ACCIDENTS,2006,0,1526,HARYANA,0,0,120
393,318,DROWNING,2006,0,393,HARYANA,0,0,75
200,175,FALLS,2006,0,200,HARYANA,0,0,25
403,160,FIRE,2006,0,403,HARYANA,0,0,243
507,471,SUDDEN DEATHS,2006,0,507,HARYANA,0,0,36
785,571,POISONING,2006,0,791,HARYANA,0,0,220
3,2,ELECTROCUTION,2006,0,3,HIMACHAL PRADESH,0,0,1
11,3,GAS CYLINDER/STOVE BURST,2006,0,11,HIMACHAL PRADESH,0,0,8
3,0,FIRE-ARMS,2006,0,0,HIMACHAL PRADESH,3,3,0
116,112,SUDDEN DEATHS(HEART ATTACKS),2006,0,116,HIMACHAL PRADESH,0,0,4
9,6,EPILEPTIC FITS/GIDDINESS,2006,0,9,HIMACHAL PRADESH,0,0,3
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,HIMACHAL PRADESH,0,0,0
41,41,INFLUENCE OF ALCOHOL,2006,0,41,HIMACHAL PRADESH,0,0,0
77,40,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,81,HIMACHAL PRADESH,0,0,41
13,8,SNAKE BITE/ANIMAL BITE,2006,0,13,HIMACHAL PRADESH,0,0,5
37,32,OTHER,2006,0,45,HIMACHAL PRADESH,0,0,13
18,17,RAILWAY ACCIDENTS,2006,0,18,HIMACHAL PRADESH,0,0,1
97,92,DROWNING,2006,0,112,HIMACHAL PRADESH,0,0,20
230,220,FALLS,2006,0,250,HIMACHAL PRADESH,0,0,30
35,17,FIRE,2006,0,34,HIMACHAL PRADESH,1,1,17
166,159,SUDDEN DEATHS,2006,0,166,HIMACHAL PRADESH,0,0,7
128,81,POISONING,2006,0,140,HIMACHAL PRADESH,0,0,59
27,22,ELECTROCUTION,2006,0,25,JAMMU & KASHMIR,3,3,3
8,1,GAS CYLINDER/STOVE BURST,2006,3,8,JAMMU & KASHMIR,4,1,7
39,39,FIRE-ARMS,2006,1,43,JAMMU & KASHMIR,25,24,4
80,66,SUDDEN DEATHS(HEART ATTACKS),2006,2,78,JAMMU & KASHMIR,2,0,12
1,1,EPILEPTIC FITS/GIDDINESS,2006,0,1,JAMMU & KASHMIR,0,0,0
7,0,ABORTIONS/CHILD BIRTH,2006,0,6,JAMMU & KASHMIR,0,0,6
9,8,INFLUENCE OF ALCOHOL,2006,0,9,JAMMU & KASHMIR,0,0,1
22,10,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,3,18,JAMMU & KASHMIR,5,2,8
13,10,SNAKE BITE/ANIMAL BITE,2006,0,13,JAMMU & KASHMIR,0,0,3
4,2,OTHER,2006,1,3,JAMMU & KASHMIR,1,0,1
0,0,RAILWAY ACCIDENTS,2006,0,0,JAMMU & KASHMIR,0,0,0
43,30,DROWNING,2006,1,49,JAMMU & KASHMIR,1,0,19
50,37,FALLS,2006,1,46,JAMMU & KASHMIR,4,3,9
39,22,FIRE,2006,5,38,JAMMU & KASHMIR,9,4,16
97,75,SUDDEN DEATHS,2006,2,94,JAMMU & KASHMIR,2,0,19
42,23,POISONING,2006,4,38,JAMMU & KASHMIR,7,3,15
95,78,ELECTROCUTION,2006,0,95,JHARKHAND,0,0,17
81,13,GAS CYLINDER/STOVE BURST,2006,4,82,JHARKHAND,4,0,69
40,25,FIRE-ARMS,2006,0,40,JHARKHAND,0,0,15
73,59,SUDDEN DEATHS(HEART ATTACKS),2006,0,74,JHARKHAND,0,0,15
19,13,EPILEPTIC FITS/GIDDINESS,2006,0,19,JHARKHAND,0,0,6
9,0,ABORTIONS/CHILD BIRTH,2006,0,9,JHARKHAND,0,0,9
73,71,INFLUENCE OF ALCOHOL,2006,0,73,JHARKHAND,0,0,2
161,107,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,1,168,JHARKHAND,6,5,61
28,20,SNAKE BITE/ANIMAL BITE,2006,0,31,JHARKHAND,0,0,11
65,48,OTHER,2006,0,65,JHARKHAND,0,0,17
5,3,RAILWAY ACCIDENTS,2006,0,5,JHARKHAND,0,0,2
387,272,DROWNING,2006,5,378,JHARKHAND,18,13,106
148,105,FALLS,2006,3,135,JHARKHAND,12,9,30
301,95,FIRE,2006,8,298,JHARKHAND,12,4,203
174,143,SUDDEN DEATHS,2006,0,175,JHARKHAND,0,0,32
278,195,POISONING,2006,1,288,JHARKHAND,7,6,93
303,265,ELECTROCUTION,2006,2,306,KARNATAKA,4,2,41
194,42,GAS CYLINDER/STOVE BURST,2006,4,190,KARNATAKA,6,2,148
20,11,FIRE-ARMS,2006,0,21,KARNATAKA,1,1,10
449,409,SUDDEN DEATHS(HEART ATTACKS),2006,0,449,KARNATAKA,0,0,40
69,54,EPILEPTIC FITS/GIDDINESS,2006,0,71,KARNATAKA,2,2,17
6,0,ABORTIONS/CHILD BIRTH,2006,0,6,KARNATAKA,0,0,6
225,217,INFLUENCE OF ALCOHOL,2006,1,225,KARNATAKA,1,0,8
116,78,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,124,KARNATAKA,0,0,46
655,422,SNAKE BITE/ANIMAL BITE,2006,4,654,KARNATAKA,7,3,232
883,666,OTHER,2006,0,897,KARNATAKA,1,1,231
1168,984,RAILWAY ACCIDENTS,2006,0,1169,KARNATAKA,0,0,185
1732,1299,DROWNING,2006,7,1756,KARNATAKA,12,5,457
451,401,FALLS,2006,7,445,KARNATAKA,27,20,44
1091,325,FIRE,2006,17,1085,KARNATAKA,23,6,760
749,680,SUDDEN DEATHS,2006,1,751,KARNATAKA,3,2,71
1710,1208,POISONING,2006,4,1732,KARNATAKA,11,7,524
198,156,ELECTROCUTION,2006,0,198,KERALA,1,1,42
21,4,GAS CYLINDER/STOVE BURST,2006,0,22,KERALA,0,0,18
1,1,FIRE-ARMS,2006,0,1,KERALA,0,0,0
974,874,SUDDEN DEATHS(HEART ATTACKS),2006,0,974,KERALA,0,0,100
49,36,EPILEPTIC FITS/GIDDINESS,2006,0,49,KERALA,0,0,13
14,0,ABORTIONS/CHILD BIRTH,2006,0,13,KERALA,0,0,13
74,68,INFLUENCE OF ALCOHOL,2006,0,74,KERALA,0,0,6
15,12,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,16,KERALA,0,0,4
32,23,SNAKE BITE/ANIMAL BITE,2006,0,32,KERALA,0,0,9
91,71,OTHER,2006,0,95,KERALA,0,0,24
134,113,RAILWAY ACCIDENTS,2006,0,135,KERALA,0,0,22
1533,1277,DROWNING,2006,4,1588,KERALA,4,0,311
600,562,FALLS,2006,0,601,KERALA,0,0,39
243,79,FIRE,2006,1,246,KERALA,2,1,167
1111,978,SUDDEN DEATHS,2006,0,1110,KERALA,0,0,132
140,107,POISONING,2006,0,145,KERALA,0,0,38
1132,890,ELECTROCUTION,2006,1,1137,MADHYA PRADESH,8,7,247
157,28,GAS CYLINDER/STOVE BURST,2006,5,160,MADHYA PRADESH,8,3,132
128,77,FIRE-ARMS,2006,2,87,MADHYA PRADESH,32,30,10
754,598,SUDDEN DEATHS(HEART ATTACKS),2006,0,755,MADHYA PRADESH,0,0,157
111,82,EPILEPTIC FITS/GIDDINESS,2006,0,111,MADHYA PRADESH,0,0,29
193,0,ABORTIONS/CHILD BIRTH,2006,0,190,MADHYA PRADESH,0,0,190
246,240,INFLUENCE OF ALCOHOL,2006,0,246,MADHYA PRADESH,0,0,6
1995,1160,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,16,1965,MADHYA PRADESH,36,20,805
1953,1092,SNAKE BITE/ANIMAL BITE,2006,3,1953,MADHYA PRADESH,8,5,861
317,168,OTHER,2006,0,317,MADHYA PRADESH,0,0,149
1795,1544,RAILWAY ACCIDENTS,2006,0,1795,MADHYA PRADESH,0,0,251
3863,2531,DROWNING,2006,13,3849,MADHYA PRADESH,28,15,1318
745,569,FALLS,2006,3,717,MADHYA PRADESH,22,19,148
1969,628,FIRE,2006,20,2002,MADHYA PRADESH,36,16,1374
1304,920,SUDDEN DEATHS,2006,0,1302,MADHYA PRADESH,0,0,382
4393,2500,POISONING,2006,19,4364,MADHYA PRADESH,44,25,1864
1343,1022,ELECTROCUTION,2006,38,1198,MAHARASHTRA,152,114,176
415,76,GAS CYLINDER/STOVE BURST,2006,146,277,MAHARASHTRA,207,61,201
20,19,FIRE-ARMS,2006,0,19,MAHARASHTRA,2,2,0
5724,4084,SUDDEN DEATHS(HEART ATTACKS),2006,392,4784,MAHARASHTRA,940,548,700
1638,908,EPILEPTIC FITS/GIDDINESS,2006,127,1161,MAHARASHTRA,477,350,253
337,0,ABORTIONS/CHILD BIRTH,2006,2,335,MAHARASHTRA,2,0,335
1294,1116,INFLUENCE OF ALCOHOL,2006,2,1126,MAHARASHTRA,168,166,10
4598,980,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,1651,1410,MAHARASHTRA,3231,1580,430
3397,784,SNAKE BITE/ANIMAL BITE,2006,739,1246,MAHARASHTRA,2155,1416,462
24,17,OTHER,2006,0,24,MAHARASHTRA,0,0,7
8210,4414,RAILWAY ACCIDENTS,2006,384,5009,MAHARASHTRA,3301,2917,595
5481,3955,DROWNING,2006,39,5478,MAHARASHTRA,164,125,1523
2784,1636,FALLS,2006,182,1911,MAHARASHTRA,901,719,275
6194,1370,FIRE,2006,720,4985,MAHARASHTRA,1425,705,3615
8993,6108,SUDDEN DEATHS,2006,523,7406,MAHARASHTRA,1587,1064,1298
8022,1784,POISONING,2006,2390,2683,MAHARASHTRA,5386,2996,899
4,4,ELECTROCUTION,2006,0,4,MANIPUR,0,0,0
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,MANIPUR,0,0,0
5,5,FIRE-ARMS,2006,0,5,MANIPUR,0,0,0
8,7,SUDDEN DEATHS(HEART ATTACKS),2006,0,8,MANIPUR,0,0,1
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,MANIPUR,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,MANIPUR,0,0,0
2,2,INFLUENCE OF ALCOHOL,2006,0,2,MANIPUR,1,1,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,MANIPUR,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,MANIPUR,0,0,0
3,3,OTHER,2006,0,4,MANIPUR,0,0,1
0,0,RAILWAY ACCIDENTS,2006,0,0,MANIPUR,0,0,0
6,10,DROWNING,2006,0,10,MANIPUR,0,0,0
3,3,FALLS,2006,0,3,MANIPUR,0,0,0
3,1,FIRE,2006,1,3,MANIPUR,2,1,2
10,9,SUDDEN DEATHS,2006,0,10,MANIPUR,1,1,1
3,3,POISONING,2006,0,4,MANIPUR,0,0,1
14,11,ELECTROCUTION,2006,0,14,MEGHALAYA,0,0,3
1,1,GAS CYLINDER/STOVE BURST,2006,0,1,MEGHALAYA,0,0,0
6,6,FIRE-ARMS,2006,0,6,MEGHALAYA,0,0,0
3,3,SUDDEN DEATHS(HEART ATTACKS),2006,0,3,MEGHALAYA,0,0,0
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,MEGHALAYA,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,MEGHALAYA,0,0,0
7,7,INFLUENCE OF ALCOHOL,2006,0,7,MEGHALAYA,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,MEGHALAYA,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,MEGHALAYA,0,0,0
1,1,OTHER,2006,0,1,MEGHALAYA,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,MEGHALAYA,0,0,0
27,25,DROWNING,2006,0,27,MEGHALAYA,0,0,2
14,12,FALLS,2006,0,14,MEGHALAYA,0,0,2
8,5,FIRE,2006,0,9,MEGHALAYA,0,0,4
10,10,SUDDEN DEATHS,2006,0,10,MEGHALAYA,0,0,0
1,1,POISONING,2006,0,1,MEGHALAYA,0,0,0
7,7,ELECTROCUTION,2006,0,7,MIZORAM,0,0,0
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,MIZORAM,0,0,0
1,2,FIRE-ARMS,2006,0,2,MIZORAM,0,0,0
2,2,SUDDEN DEATHS(HEART ATTACKS),2006,0,2,MIZORAM,0,0,0
3,3,EPILEPTIC FITS/GIDDINESS,2006,0,3,MIZORAM,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,MIZORAM,0,0,0
1,1,INFLUENCE OF ALCOHOL,2006,0,1,MIZORAM,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,MIZORAM,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,MIZORAM,0,0,0
0,0,OTHER,2006,0,0,MIZORAM,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,MIZORAM,0,0,0
13,13,DROWNING,2006,0,13,MIZORAM,0,0,0
14,12,FALLS,2006,0,14,MIZORAM,0,0,2
3,3,FIRE,2006,0,3,MIZORAM,0,0,0
6,6,SUDDEN DEATHS,2006,0,6,MIZORAM,0,0,0
1,1,POISONING,2006,0,1,MIZORAM,0,0,0
3,3,ELECTROCUTION,2006,0,3,NAGALAND,1,1,0
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,NAGALAND,0,0,0
2,2,FIRE-ARMS,2006,0,2,NAGALAND,0,0,0
0,0,SUDDEN DEATHS(HEART ATTACKS),2006,0,0,NAGALAND,0,0,0
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,NAGALAND,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,NAGALAND,0,0,0
1,1,INFLUENCE OF ALCOHOL,2006,0,1,NAGALAND,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,NAGALAND,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,NAGALAND,0,0,0
0,0,OTHER,2006,0,0,NAGALAND,0,0,0
0,0,RAILWAY ACCIDENTS,2006,0,0,NAGALAND,0,0,0
5,4,DROWNING,2006,0,6,NAGALAND,0,0,2
1,1,FALLS,2006,0,1,NAGALAND,0,0,0
0,0,FIRE,2006,0,0,NAGALAND,0,0,0
1,1,SUDDEN DEATHS,2006,0,1,NAGALAND,0,0,0
0,0,POISONING,2006,0,0,NAGALAND,0,0,0
124,115,ELECTROCUTION,2006,0,124,ODISHA,0,0,9
24,2,GAS CYLINDER/STOVE BURST,2006,0,26,ODISHA,1,1,24
5,5,FIRE-ARMS,2006,0,5,ODISHA,0,0,0
89,72,SUDDEN DEATHS(HEART ATTACKS),2006,0,89,ODISHA,0,0,17
38,30,EPILEPTIC FITS/GIDDINESS,2006,0,38,ODISHA,0,0,8
13,0,ABORTIONS/CHILD BIRTH,2006,0,13,ODISHA,0,0,13
44,43,INFLUENCE OF ALCOHOL,2006,0,44,ODISHA,0,0,1
411,270,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,1,431,ODISHA,3,2,161
415,270,SNAKE BITE/ANIMAL BITE,2006,0,415,ODISHA,0,0,145
453,309,OTHER,2006,0,454,ODISHA,0,0,145
341,280,RAILWAY ACCIDENTS,2006,0,341,ODISHA,0,0,61
525,370,DROWNING,2006,0,540,ODISHA,0,0,170
401,332,FALLS,2006,1,406,ODISHA,2,1,74
248,118,FIRE,2006,1,252,ODISHA,4,3,134
184,145,SUDDEN DEATHS,2006,0,184,ODISHA,0,0,39
1293,862,POISONING,2006,1,1314,ODISHA,3,2,452
243,231,ELECTROCUTION,2006,0,243,PUNJAB,0,0,12
120,26,GAS CYLINDER/STOVE BURST,2006,0,120,PUNJAB,0,0,94
15,14,FIRE-ARMS,2006,0,15,PUNJAB,0,0,1
400,361,SUDDEN DEATHS(HEART ATTACKS),2006,0,400,PUNJAB,0,0,39
84,70,EPILEPTIC FITS/GIDDINESS,2006,0,84,PUNJAB,0,0,14
8,0,ABORTIONS/CHILD BIRTH,2006,0,5,PUNJAB,0,0,5
190,189,INFLUENCE OF ALCOHOL,2006,0,190,PUNJAB,0,0,1
246,188,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,246,PUNJAB,0,0,58
47,41,SNAKE BITE/ANIMAL BITE,2006,0,47,PUNJAB,0,0,6
243,188,OTHER,2006,0,245,PUNJAB,0,0,57
780,687,RAILWAY ACCIDENTS,2006,0,780,PUNJAB,0,0,93
430,356,DROWNING,2006,0,430,PUNJAB,0,0,74
212,194,FALLS,2006,0,212,PUNJAB,0,0,18
304,149,FIRE,2006,0,311,PUNJAB,0,0,162
682,620,SUDDEN DEATHS,2006,0,679,PUNJAB,0,0,59
725,553,POISONING,2006,0,727,PUNJAB,0,0,174
437,382,ELECTROCUTION,2006,1,446,RAJASTHAN,1,0,64
103,24,GAS CYLINDER/STOVE BURST,2006,2,104,RAJASTHAN,2,0,80
2,2,FIRE-ARMS,2006,0,2,RAJASTHAN,0,0,0
437,357,SUDDEN DEATHS(HEART ATTACKS),2006,0,437,RAJASTHAN,0,0,80
84,69,EPILEPTIC FITS/GIDDINESS,2006,0,84,RAJASTHAN,0,0,15
24,0,ABORTIONS/CHILD BIRTH,2006,0,24,RAJASTHAN,0,0,24
207,207,INFLUENCE OF ALCOHOL,2006,0,208,RAJASTHAN,0,0,1
872,583,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,877,RAJASTHAN,0,0,294
218,159,SNAKE BITE/ANIMAL BITE,2006,0,218,RAJASTHAN,0,0,59
