TOTAL KILLED,STATE/UT,MALE KILLED,FEMALE KILLED,MALE INJURED,CAUSE,CASES,FEMALE INJURED,TOTAL INJURED,YEAR
1505,GUJARAT,1011,494,29,TOTAL POISONING,1545,23,52,2013
426,HARYANA,395,31,0,ELECTROCUTION,426,0,0,2013
108,HARYANA,31,77,0,GAS CYLINDER/STOVE BURST,108,0,0,2013
12,HARYANA,10,2,0,FIRE-ARMS,12,0,0,2013
650,HARYANA,594,56,0,SUDDEN DEATHS(HEART ATTACKS),650,0,0,2013
55,HARYANA,48,7,0,EPILEPTIC FITS/GIDDINESS,55,0,0,2013
23,HARYANA,0,23,0,ABORTIONS/CHILD BIRTH,23,2,2,2013
320,HARYANA,320,0,0,INFLUENCE OF ALCOHOL,320,0,0,2013
404,HARYANA,305,99,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,404,0,0,2013
61,HARYANA,48,13,0,SNAKE BITE/ANIMAL BITE,61,0,0,2013
264,HARYANA,176,88,0,OTHER,264,0,0,2013
1331,HARYANA,1189,142,0,OTHER RAILWAY ACCIDENTS,1331,0,0,2013
589,HARYANA,498,91,0,TOTAL DROWNING,588,0,0,2013
329,HARYANA,287,42,0,TOTAL FALLS,329,0,0,2013
325,HARYANA,163,162,0,TOTAL FIRE,325,0,0,2013
1048,HARYANA,962,86,0,TOTAL SUDDEN DEATHS,1048,2,2,2013
733,HARYANA,531,202,0,TOTAL POISONING,733,0,0,2013
17,HIMACHAL PRADESH,13,4,0,ELECTROCUTION,17,0,0,2013
8,HIMACHAL PRADESH,7,1,0,GAS CYLINDER/STOVE BURST,8,0,0,2013
2,HIMACHAL PRADESH,2,0,0,FIRE-ARMS,2,0,0,2013
194,HIMACHAL PRADESH,183,11,0,SUDDEN DEATHS(HEART ATTACKS),194,0,0,2013
4,HIMACHAL PRADESH,4,0,0,EPILEPTIC FITS/GIDDINESS,4,0,0,2013
5,HIMACHAL PRADESH,0,5,0,ABORTIONS/CHILD BIRTH,5,0,0,2013
65,HIMACHAL PRADESH,64,1,0,INFLUENCE OF ALCOHOL,65,0,0,2013
156,HIMACHAL PRADESH,101,55,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,156,0,0,2013
33,HIMACHAL PRADESH,21,12,0,SNAKE BITE/ANIMAL BITE,33,0,0,2013
102,HIMACHAL PRADESH,63,39,0,OTHER,102,0,0,2013
23,HIMACHAL PRADESH,18,5,0,OTHER RAILWAY ACCIDENTS,20,0,0,2013
191,HIMACHAL PRADESH,167,24,0,TOTAL DROWNING,190,0,0,2013
350,HIMACHAL PRADESH,290,60,0,TOTAL FALLS,350,0,0,2013
94,HIMACHAL PRADESH,52,42,0,TOTAL FIRE,93,0,0,2013
268,HIMACHAL PRADESH,251,17,0,TOTAL SUDDEN DEATHS,268,0,0,2013
293,HIMACHAL PRADESH,185,108,0,TOTAL POISONING,293,0,0,2013
24,JAMMU & KASHMIR,24,0,1,ELECTROCUTION,25,0,1,2013
6,JAMMU & KASHMIR,1,5,2,GAS CYLINDER/STOVE BURST,2,0,2,2013
24,JAMMU & KASHMIR,23,1,35,FIRE-ARMS,17,0,35,2013
57,JAMMU & KASHMIR,55,2,0,SUDDEN DEATHS(HEART ATTACKS),57,0,0,2013
0,JAMMU & KASHMIR,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
0,JAMMU & KASHMIR,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
7,JAMMU & KASHMIR,7,0,0,INFLUENCE OF ALCOHOL,7,0,0,2013
18,JAMMU & KASHMIR,9,9,2,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,19,0,2,2013
0,JAMMU & KASHMIR,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
33,JAMMU & KASHMIR,14,19,8,OTHER,96,28,36,2013
7,JAMMU & KASHMIR,7,0,0,OTHER RAILWAY ACCIDENTS,7,0,0,2013
56,JAMMU & KASHMIR,41,15,1,TOTAL DROWNING,57,0,1,2013
43,JAMMU & KASHMIR,41,2,0,TOTAL FALLS,43,0,0,2013
27,JAMMU & KASHMIR,15,12,3,TOTAL FIRE,20,0,3,2013
64,JAMMU & KASHMIR,62,2,0,TOTAL SUDDEN DEATHS,64,0,0,2013
51,JAMMU & KASHMIR,23,28,10,TOTAL POISONING,115,28,38,2013
132,JHARKHAND,104,28,3,ELECTROCUTION,113,2,5,2013
47,JHARKHAND,13,34,0,GAS CYLINDER/STOVE BURST,46,7,7,2013
2,JHARKHAND,2,0,0,FIRE-ARMS,2,0,0,2013
116,JHARKHAND,94,22,0,SUDDEN DEATHS(HEART ATTACKS),114,0,0,2013
32,JHARKHAND,26,6,0,EPILEPTIC FITS/GIDDINESS,32,0,0,2013
21,JHARKHAND,0,21,0,ABORTIONS/CHILD BIRTH,21,0,0,2013
153,JHARKHAND,143,10,0,INFLUENCE OF ALCOHOL,150,0,0,2013
156,JHARKHAND,86,70,11,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,173,8,19,2013
48,JHARKHAND,27,21,1,SNAKE BITE/ANIMAL BITE,45,1,2,2013
88,JHARKHAND,56,32,21,OTHER,88,0,21,2013
493,JHARKHAND,424,69,0,OTHER RAILWAY ACCIDENTS,493,0,0,2013
369,JHARKHAND,271,98,54,TOTAL DROWNING,412,6,60,2013
214,JHARKHAND,178,36,4,TOTAL FALLS,208,1,5,2013
373,JHARKHAND,118,255,1,TOTAL FIRE,365,7,8,2013
322,JHARKHAND,263,59,0,TOTAL SUDDEN DEATHS,317,0,0,2013
324,JHARKHAND,193,131,35,TOTAL POISONING,343,9,44,2013
440,KARNATAKA,365,75,3,ELECTROCUTION,436,1,4,2013
265,KARNATAKA,80,185,0,GAS CYLINDER/STOVE BURST,260,0,0,2013
14,KARNATAKA,11,3,0,FIRE-ARMS,14,0,0,2013
643,KARNATAKA,571,72,0,SUDDEN DEATHS(HEART ATTACKS),641,0,0,2013
153,KARNATAKA,131,22,0,EPILEPTIC FITS/GIDDINESS,152,0,0,2013
21,KARNATAKA,0,21,0,ABORTIONS/CHILD BIRTH,21,0,0,2013
417,KARNATAKA,402,15,0,INFLUENCE OF ALCOHOL,408,0,0,2013
119,KARNATAKA,85,34,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,119,0,0,2013
542,KARNATAKA,340,202,0,SNAKE BITE/ANIMAL BITE,541,0,0,2013
1090,KARNATAKA,806,284,2,OTHER,1076,2,4,2013
1261,KARNATAKA,915,346,0,OTHER RAILWAY ACCIDENTS,1261,0,0,2013
1996,KARNATAKA,1491,505,0,TOTAL DROWNING,1934,0,0,2013
468,KARNATAKA,411,57,1,TOTAL FALLS,469,0,1,2013
1321,KARNATAKA,450,871,0,TOTAL FIRE,1310,0,0,2013
1234,KARNATAKA,1104,130,0,TOTAL SUDDEN DEATHS,1222,0,0,2013
1829,KARNATAKA,1281,548,2,TOTAL POISONING,1813,2,4,2013
224,KERALA,202,22,4,ELECTROCUTION,225,0,4,2013
19,KERALA,4,15,0,GAS CYLINDER/STOVE BURST,18,0,0,2013
1,KERALA,1,0,1,FIRE-ARMS,2,0,1,2013
1983,KERALA,1737,246,0,SUDDEN DEATHS(HEART ATTACKS),1983,0,0,2013
176,KERALA,137,39,0,EPILEPTIC FITS/GIDDINESS,176,0,0,2013
8,KERALA,0,8,0,ABORTIONS/CHILD BIRTH,8,0,0,2013
194,KERALA,192,2,0,INFLUENCE OF ALCOHOL,193,0,0,2013
21,KERALA,13,8,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,21,0,0,2013
74,KERALA,47,27,0,SNAKE BITE/ANIMAL BITE,74,0,0,2013
126,KERALA,85,41,0,OTHER,126,0,0,2013
428,KERALA,373,55,0,OTHER RAILWAY ACCIDENTS,427,0,0,2013
1653,KERALA,1316,337,2,TOTAL DROWNING,1609,0,2,2013
856,KERALA,767,89,10,TOTAL FALLS,862,10,20,2013
328,KERALA,128,200,9,TOTAL FIRE,325,6,15,2013
2361,KERALA,2066,295,0,TOTAL SUDDEN DEATHS,2360,0,0,2013
221,KERALA,145,76,0,TOTAL POISONING,221,0,0,2013
2034,MADHYA PRADESH,1675,359,12,ELECTROCUTION,2030,4,16,2013
174,MADHYA PRADESH,30,144,2,GAS CYLINDER/STOVE BURST,172,0,2,2013
135,MADHYA PRADESH,121,14,51,FIRE-ARMS,179,4,55,2013
919,MADHYA PRADESH,759,160,2,SUDDEN DEATHS(HEART ATTACKS),912,0,2,2013
171,MADHYA PRADESH,122,49,0,EPILEPTIC FITS/GIDDINESS,169,0,0,2013
186,MADHYA PRADESH,0,186,0,ABORTIONS/CHILD BIRTH,186,0,0,2013
522,MADHYA PRADESH,505,17,0,INFLUENCE OF ALCOHOL,518,0,0,2013
2014,MADHYA PRADESH,1177,837,14,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,7,21,2013
2390,MADHYA PRADESH,1336,1054,4,SNAKE BITE/ANIMAL BITE,2385,6,10,2013
231,MADHYA PRADESH,133,98,5,OTHER,232,12,17,2013
1721,MADHYA PRADESH,1435,286,1,OTHER RAILWAY ACCIDENTS,1721,1,2,2013
4941,MADHYA PRADESH,3450,1491,14,TOTAL DROWNING,4921,11,25,2013
1045,MADHYA PRADESH,854,191,5,TOTAL FALLS,1043,1,6,2013
3134,MADHYA PRADESH,898,2236,9,TOTAL FIRE,3130,7,16,2013
1798,MADHYA PRADESH,1386,412,2,TOTAL SUDDEN DEATHS,1785,0,2,2013
4677,MADHYA PRADESH,2684,1993,26,TOTAL POISONING,4666,25,51,2013
1527,MAHARASHTRA,1312,215,214,ELECTROCUTION,1754,45,259,2013
433,MAHARASHTRA,115,318,8,GAS CYLINDER/STOVE BURST,457,31,39,2013
7,MAHARASHTRA,6,1,2,FIRE-ARMS,9,0,2,2013
7283,MAHARASHTRA,6282,1001,2549,SUDDEN DEATHS(HEART ATTACKS),11584,1732,4281,2013
1678,MAHARASHTRA,1299,379,217,EPILEPTIC FITS/GIDDINESS,1993,99,316,2013
502,MAHARASHTRA,0,502,0,ABORTIONS/CHILD BIRTH,546,51,51,2013
1494,MAHARASHTRA,1478,16,352,INFLUENCE OF ALCOHOL,1847,1,353,2013
950,MAHARASHTRA,684,266,952,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2658,807,1759,2013
983,MAHARASHTRA,613,370,2570,SNAKE BITE/ANIMAL BITE,5620,2071,4641,2013
291,MAHARASHTRA,205,86,263,OTHER,707,160,423,2013
4986,MAHARASHTRA,4477,509,2734,OTHER RAILWAY ACCIDENTS,8165,451,3185,2013
4829,MAHARASHTRA,3674,1155,132,TOTAL DROWNING,4874,57,189,2013
2075,MAHARASHTRA,1770,305,460,TOTAL FALLS,2651,127,587,2013
4318,MAHARASHTRA,1219,3099,516,TOTAL FIRE,5894,1140,1656,2013
10957,MAHARASHTRA,9059,1898,3118,TOTAL SUDDEN DEATHS,15970,1883,5001,2013
2283,MAHARASHTRA,1533,750,3792,TOTAL POISONING,9050,3038,6830,2013
13,MANIPUR,12,1,0,ELECTROCUTION,13,0,0,2013
0,MANIPUR,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
6,MANIPUR,5,1,0,FIRE-ARMS,6,0,0,2013
5,MANIPUR,4,1,0,SUDDEN DEATHS(HEART ATTACKS),5,0,0,2013
0,MANIPUR,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
2,MANIPUR,0,2,0,ABORTIONS/CHILD BIRTH,2,0,0,2013
0,MANIPUR,0,0,0,INFLUENCE OF ALCOHOL,0,0,0,2013
2,MANIPUR,0,2,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,0,0,2013
0,MANIPUR,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
4,MANIPUR,1,3,0,OTHER,4,0,0,2013
0,MANIPUR,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
12,MANIPUR,10,2,0,TOTAL DROWNING,12,0,0,2013
12,MANIPUR,12,0,0,TOTAL FALLS,11,0,0,2013
2,MANIPUR,0,2,0,TOTAL FIRE,2,0,0,2013
7,MANIPUR,4,3,0,TOTAL SUDDEN DEATHS,7,0,0,2013
6,MANIPUR,1,5,0,TOTAL POISONING,6,0,0,2013
17,MEGHALAYA,11,6,0,ELECTROCUTION,11,0,0,2013
4,MEGHALAYA,0,4,0,GAS CYLINDER/STOVE BURST,4,0,0,2013
1,MEGHALAYA,1,0,0,FIRE-ARMS,1,0,0,2013
22,MEGHALAYA,17,5,0,SUDDEN DEATHS(HEART ATTACKS),22,0,0,2013
2,MEGHALAYA,2,0,0,EPILEPTIC FITS/GIDDINESS,2,0,0,2013
4,MEGHALAYA,0,4,0,ABORTIONS/CHILD BIRTH,4,0,0,2013
6,MEGHALAYA,6,0,0,INFLUENCE OF ALCOHOL,6,0,0,2013
0,MEGHALAYA,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
0,MEGHALAYA,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
0,MEGHALAYA,0,0,0,OTHER,0,0,0,2013
0,MEGHALAYA,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
44,MEGHALAYA,37,7,3,TOTAL DROWNING,47,0,3,2013
18,MEGHALAYA,15,3,0,TOTAL FALLS,18,0,0,2013
16,MEGHALAYA,10,6,0,TOTAL FIRE,16,0,0,2013
34,MEGHALAYA,25,9,0,TOTAL SUDDEN DEATHS,34,0,0,2013
4,MEGHALAYA,4,0,0,TOTAL POISONING,1,0,0,2013
5,MIZORAM,5,0,0,ELECTROCUTION,5,0,0,2013
0,MIZORAM,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
2,MIZORAM,2,0,0,FIRE-ARMS,2,0,0,2013
5,MIZORAM,5,0,0,SUDDEN DEATHS(HEART ATTACKS),5,0,0,2013
0,MIZORAM,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
0,MIZORAM,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
2,MIZORAM,2,0,0,INFLUENCE OF ALCOHOL,2,0,0,2013
1,MIZORAM,1,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,0,0,2013
0,MIZORAM,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
0,MIZORAM,0,0,0,OTHER,0,0,0,2013
0,MIZORAM,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
37,MIZORAM,34,3,0,TOTAL DROWNING,35,0,0,2013
16,MIZORAM,15,1,0,TOTAL FALLS,16,0,0,2013
2,MIZORAM,1,1,0,TOTAL FIRE,2,0,0,2013
7,MIZORAM,7,0,0,TOTAL SUDDEN DEATHS,7,0,0,2013
1,MIZORAM,1,0,0,TOTAL POISONING,1,0,0,2013
3,NAGALAND,3,0,0,ELECTROCUTION,2,0,0,2013
0,NAGALAND,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
1,NAGALAND,1,0,0,FIRE-ARMS,1,0,0,2013
1,NAGALAND,1,0,0,SUDDEN DEATHS(HEART ATTACKS),1,0,0,2013
0,NAGALAND,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
0,NAGALAND,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
0,NAGALAND,0,0,0,INFLUENCE OF ALCOHOL,0,0,0,2013
0,NAGALAND,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
0,NAGALAND,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
0,NAGALAND,0,0,0,OTHER,0,0,0,2013
5,NAGALAND,5,0,0,OTHER RAILWAY ACCIDENTS,5,0,0,2013
6,NAGALAND,5,1,0,TOTAL DROWNING,5,0,0,2013
3,NAGALAND,3,0,0,TOTAL FALLS,3,0,0,2013
0,NAGALAND,0,0,0,TOTAL FIRE,0,0,0,2013
1,NAGALAND,1,0,0,TOTAL SUDDEN DEATHS,1,0,0,2013
0,NAGALAND,0,0,0,TOTAL POISONING,0,0,0,2013
181,ODISHA,156,25,0,ELECTROCUTION,180,0,0,2013
28,ODISHA,11,17,0,GAS CYLINDER/STOVE BURST,26,0,0,2013
0,ODISHA,0,0,0,FIRE-ARMS,0,0,0,2013
150,ODISHA,122,28,0,SUDDEN DEATHS(HEART ATTACKS),147,0,0,2013
79,ODISHA,49,30,0,EPILEPTIC FITS/GIDDINESS,79,0,0,2013
8,ODISHA,0,8,0,ABORTIONS/CHILD BIRTH,8,0,0,2013
20,ODISHA,20,0,0,INFLUENCE OF ALCOHOL,20,0,0,2013
141,ODISHA,91,50,5,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,139,2,7,2013
518,ODISHA,329,189,3,SNAKE BITE/ANIMAL BITE,516,4,7,2013
1068,ODISHA,708,360,0,OTHER,1068,0,0,2013
258,ODISHA,209,49,0,OTHER RAILWAY ACCIDENTS,245,0,0,2013
717,ODISHA,520,197,24,TOTAL DROWNING,701,11,35,2013
525,ODISHA,423,102,1,TOTAL FALLS,524,1,2,2013
575,ODISHA,307,268,1,TOTAL FIRE,569,0,1,2013
257,ODISHA,191,66,0,TOTAL SUDDEN DEATHS,254,0,0,2013
1745,ODISHA,1143,602,8,TOTAL POISONING,1741,6,14,2013
268,PUNJAB,248,20,6,ELECTROCUTION,265,0,6,2013
137,PUNJAB,33,104,4,GAS CYLINDER/STOVE BURST,129,6,10,2013
30,PUNJAB,26,4,4,FIRE-ARMS,30,0,4,2013
666,PUNJAB,604,62,0,SUDDEN DEATHS(HEART ATTACKS),666,0,0,2013
126,PUNJAB,110,16,0,EPILEPTIC FITS/GIDDINESS,126,0,0,2013
6,PUNJAB,0,6,0,ABORTIONS/CHILD BIRTH,6,0,0,2013
235,PUNJAB,234,1,0,INFLUENCE OF ALCOHOL,235,0,0,2013
367,PUNJAB,257,110,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,366,0,0,2013
63,PUNJAB,53,10,0,SNAKE BITE/ANIMAL BITE,63,0,0,2013
404,PUNJAB,319,85,4,OTHER,407,2,6,2013
